Name,Sector,City,Address,Phone,Email,Lat-Long
Iskcon Food Relief Foundation,Companies(Private),Coimbatore,"19/63, Jaywant Industrial Estate, Tardeo Road, Tardeo, Mumbai 400034, MH",+91-8048250118,,
TechnoMark Solutions,Companies(Private),Coimbatore,"Office No- 4, 4th Floor K Raheja Prime, Marol CHS Rd, Marol, Andheri East,Mumbai 400059,MH",+91-2240108510,,
KAP Global Investment Services Pvt Ltd,Companies(Private),Coimbatore,"Office No. 502, 5th Floor, Eldeco Corporate Towers, Pickup Bldg Rd,Vibhuti Khand, Gomti Nagar, Lucknow, India",+91-8299146550,"kunal@kapconsultancy.com,,investing@kapfinserv.com,",
Data Software Research Company (DSRC),Companies(Private),Coimbatore,"11, Kasturi Towers, Smith Road, Chennai 600002, TN","+91-44-45105000, +91-9840961774",",arathina@in.ibm.com,info@dsrc.com,sushswag@gmail.com,inquiry@dsrc.com,x3einfo@dsrc.com,accounts@dsrc.co.in,",
Bridging Associates,Companies(Private),Coimbatore,"Duplex No.77 Shiv Kripa, Behind Yashodhara Lawn, Bhilgaon, Nagpur 440026,MH","+91-8888324275,+91 7666836338","AAYUSHSHARMA18@GMAIL.COM,,bdgupta.associates@gmail.com,abbiassociates@gmail.com,bdgupta_associates@rediffmail.com,abbis2001@yahoo.co.uk,",
Maxcel Plast,Companies(Private),Coimbatore,"133, Shree Ram, Anup Eng.Compound, B.H. C.M.C.Odhav, Ahmedabad 382415, GJ",+91-79-22970233,",marketing@excelplast.co.in,info@maxcelplast.com,",
Magnetrol International India,Companies(Private),Coimbatore,"506-B, Sagar Tech Plaza, Saaki Naka Junction, Andheri, Mumbai 400072, MH",+91-22-28507903,",jetmal.gour@koso.co,jetmal.gour@koso.co.in,",
LUKE Electronic Devices Pvt Ltd,Companies(Private),Coimbatore,"313-A, 3, Kssidc Industrial Extension, Electronic City, Phase-1, Bangalore 560100, KA",+91-80-09886499303,",lukepvtltd@yahoo.com,",
Lakshmi Electricals,Companies(Private),Coimbatore,"63, 2 Cross, Gandhinagar, Bangalore 560009, KA",+91-80-22263788,"secretary@lecsindia.com,,info@skdcconsultants.com,Investorscell@lecsindia.com,x3esecretary@lecsindia.com,info@lecsindia.com,u003esecretary@lecsindia.com,secretaryhtl@htl.net.in,ledlsec2019@gmail.com,",
Kamal Ganga Exports Pvt Ltd,Companies(Private),Coimbatore,"30-G/31, MIDC, Chikal, Thana, Aurangabad 431210, MH",+91-240-2482049,",info@aakarinnovations.com,shahrakshit27@yahoo.co,info@kinternational.co,siva@awaexports.com,shahrakshit27@yahoo.co.in,kalantri@bom3.vsnl.net.in,info@goelrice.net,",
Jayashree Electron Pvt Ltd,Companies(Private),Coimbatore,"34, J, M.I.D.C., Bhosari, Pune 411026, MH",+91-20-46901300,"jconductors@yahoo.co.in,,d_j@soft-starters.co.in,x3ejeplaccounts@gmail.com,sales@jayashree.co.in,headed@ecil.com.in,jeplaccounts@gmail.com,",
Isotex Corporation Pvt Ltd,Companies(Private),Coimbatore,"181, 2, 3, G.I.D.C Industrial Estate, Naroda, Ahmedabad 382330, GJ",+91-79-22804321,"info@isotexcorp.com,,sales@isotexcorp.com,jane@isotexcorp.com,",
Indusree,Companies(Private),Coimbatore,"13, Gouranga Mandir Road, Baghajatin, Kolkata 700086, WB",+91-33-24258509,",kumar_iso@vsnl.net,",
Hitech Switchgear India,Companies(Private),Coimbatore,"132-A, 133, Ansa Industrial Estate, Sakivihar Road, Sakinaka Andheri, Mumbai 400072, MH",+91-22-28473748,",raghuraman_279_in@yahoo.com,infodesk@larsentoubro.com,x3eraghuraman_279_in@yahoo.com,",
Gemini Instratech Pvt Ltd,Companies(Private),Coimbatore,"83-B, Midc, Ambad, Nashik 422010, MH",+91-253-2385710,",admin@geminiinstratech.com,marketing@geminiinstratech.com,accounts@geminiinstratech.com,",
Gem Telergon Switchgears Pvt Ltd,Companies(Private),Coimbatore,"22, Textool Feeder Industrial Estate, Ganapathy, Coimbatore 641006, TN",+91-422-4376841,",info@gtswitches.com,india@gorlanteam.com,",
Eurofab Electronics Pvt Ltd,Companies(Private),Coimbatore,"7-B, Bavana Industrial Area, Sector 4, New Delhi 110039, DL",+91-11-27892020,",dheeraj@eurofabindia.com,jane@eurofabindia.com,sales@eurofabindia.com,simranchugh3200@gmail.com,",
Elico Ltd,Companies(Private),Coimbatore,"90-B, Apie, Sanathnagar, Hyderabad 500018, TS",+91-40-44451212,",finance@elico.co,x3efinance@elico.co,",
CatVision Ltd,Companies(Private),Coimbatore,"14-E, 15, Sector 8, Noida 201301, UP",+91-120-4936750,",cs@wirefabrik.com,vccn.pvt.ltd@gmail.com,pcmc.pvt.ltd@gmail.com,arunsharmapcn@gmail.co,",
Brilliant International,Companies(Private),Coimbatore,"Brilliant Complex, Unit A & B Western Express Highway, Miragaon, Mira Road, Mumbai 401104, MH",+91-22-29452101,",info@kritiindia.com,radhika.ramabhadran@careratings.com,",
