Name,Sector,City,Address,Phone,Email,Lat-Long
Zivon Fitness - Coimbatore,Gym,Coimbatore,"7, Manikaraj Thottam, Kalapatti Main Rd, Sharp Nagar, Nehru Nagar West, Coimbatore, Tamil Nadu 641048",099449 44999,,"11.0662298,77.0350001"
Winner Gym & Fitness Centre - Coimbatore,Gym,Coimbatore,"No: 385, Second Floor, Avinashi Road, Peelamedu, opposite to PSG Tech College, Coimbatore, Tamil Nadu 641004",098941 54727,,"11.0233235,76.999788"
Vyaan Fitness Studio - Coimbatore,Gym,Coimbatore,"V Tone Fitness Studio Unisex Gym 345, 346 1st Floor, near Gopalnaidu School, Rajagopal Layout, Avarampalayam, Coimbatore, Tamil Nadu 641004",+91-9944177223,,"11.0282502,76.9917037"
Vanaalayam - Coimbatore,Gym,Coimbatore,"Vanam India Foundation, Trichy Rd, Palladam, Tamil Nadu 641662",,",aisraja88@gmail.com,","11.0021865,77.252254"
The Sailor Man Fitness Centre - Coimbatore,Gym,Coimbatore,"109/1-A, Near Thudiyalur, Mettupalayam Road, Vadamadurai, Kurudampalayam, Coimbatore 641017, TN",+91-9360002542,",os@snsspine.in,","11.0365111,76.8846807"
The Power Fitness - Coimbatore,Gym,Coimbatore,"Periyasamy Layout, Sanganoor Main Road, Rathinapuri, Coimbatore 641027, TN",,",os@snsspine.in,aisraja88@gmail.com,royalfitnesscbe@gmail.com,","11.0086428,76.8021099"
The Corinthian Fitness - Coimbatore,Gym,Coimbatore,"No 1, 1, behind cms school, Ganapathy Housing Unit, Nehru Nagar, Ganapathy, Coimbatore, Tamil Nadu 641006",07397 507 100,",royalfitnesscbe@gmail.com,","11.0449275,76.9767943"
Temple Crossfit Gym - Coimbatore,Gym,Coimbatore,"No.5, Texpark, Sitra, Kalapatti Main Rd, behind City Union Bank, Nehru Nagar West, Coimbatore, Tamil Nadu 641014",098428 74478,",jaganganapathi73@gmail.com,ninfo@templecrossfitgym.com,info@templecrossfitgym.com,","11.0454651,77.0351679"
T Cube Excersise Medicine Centre - Coimbatore,Gym,Coimbatore,"4-B, Mahalakshmi Complex, MGR Nagar, Ganapathy, Coimbatore 641006, TN",+91-6384489410,,"10.9966278,76.901413"
Supergym Profitness and K1kickboxing - Coimbatore,Gym,Coimbatore,"Sri Kaumara Madalayam, near TRA High school, opposite TKS Play Ground, Chinnavedampatti, Coimbatore, Tamil Nadu 641049",098944 98433,,"11.0660929,76.9831686"
Stars Fitness Centre - Coimbatore,Gym,Coimbatore,"320/9, Aarpee Centre, Saibaba Colony, N S R Road, Coimbatore 641011, TN",+91-9894252101,",star-gym-coimbatore-@q53cws6j.html,","11.0248236,76.9401125"
Sparrc Institute - Coimbatore,Gym,Coimbatore,"104, Bashyakaralu Road, Rs Puram, Coimbatore 641002, TN",+91-9659650000,",sparrc@gmail.com,","11.0105903,76.9420025"
Slv Gym Care Service Center - Coimbatore,Gym,Coimbatore,"400, Thadagam Main Rd, RS Puram, Lakshmi Ammal Layout, Lakshmipuram, R.S. Puram, Coimbatore, Tamil Nadu 641002",+91-6384476405,",servicefb0000@gmail.com,","11.009313,76.9418393"
Slam Lifestyle and Fitness Studio - Coimbatore,Gym,Coimbatore,"3/1, 2nd Floor, Hopes, Avinashi Road, Coimbatore 641004, TN",+91-6384494067,,"11.0303937,76.8805236"
Siranjeevi Anjaneya Fitness Gym - Coimbatore,Gym,Coimbatore,"rvs arts clg, Ramana Complex, Trichy Rd, Mathiyalagan Nagar, Sulur, Tamil Nadu 641402",+91-9698796074,,"11.0278576,77.1296884"
Shape Up Fitness Studio - Coimbatore,Gym,Coimbatore,"2nd Floor, Mayanz Forum, 27, Mettupalayam Rd, above Dominos Pizza, Thudiyalur, Tamil Nadu 641034",095667 22822,",shapeupfitnessstudio@gmail.com,","11.0692665,76.9403704"
Sculpt Unisex Fitness Centre - Coimbatore,Gym,Coimbatore,"3/2, South Street No 2, MG Road, Avarampalayam, Coimbatore 641006, TN",+91-7904623747,",support@gymcompany.co.za,","11.0822096,76.9057497"
Sanesh Fitness Studio and Gym - Coimbatore,Gym,Coimbatore,"Nggo Colony, Thudiyalur, Athipalayam, Coimbatore 641110, TN",+91-6384469611,",royalfitnesscbe@gmail.com,","11.0497684,76.8231125"
Sams Gym And Slimming Studio - Coimbatore,Gym,Coimbatore,"16, MGR Nagar, 4th Street, Krishna Colony, Singanallur, Coimbatore 641005, TN",+91-8300498136,,"10.9910778,76.9438951"
Rumbble Fitness - Coimbatore,Gym,Coimbatore,"Viswaram warehouse, Kanuvai - Thudiyalur Rd, Thudiyalur, Kurudampalayam, Tamil Nadu 641034",089739 18004,"info@rummblefitness.com,,ninfo@rummblefitness.com,","11.0787833,76.9376622"
Royal Fitness Club - Coimbatore,Gym,Coimbatore,"1/30, Gandhi Street, Vilankurichi Main Road ,Cheran Managar, Coimbatore, Tamil Nadu 641035",077089 91121,",royalfitnesscbe@gmail.com,","11.0581733,77.0127701"
Rosi Fit Prenatal And Postnatal Fitness Center - Coimbatore,Gym,Coimbatore,"Palaniappa Rd, T Nagar, Ramanathapuram, Coimbatore, Tamil Nadu 641045",080989 01333,",PregnancyCoachRosy@Gmail.com,","10.9923069,76.9963947"
Rocks Health Club And Fitness Centre - Coimbatore,Gym,Coimbatore,"Karur Vysya Bank, 93, Palakkad Main Rd, opposite Kuniyamuthur, Kuniyamuthur, Tamil Nadu 641008",080569 61313,",aisraja88@gmail.com,","10.958026,76.9513804"
