Name,Sector,City,Address,Phone,Email,Lat-Long
"Smart Value Products And Services, Kolkata",Companies(Private),Delhi,"76, Incenarator Road, Dum Dum, Kolkata 700028, WB",+91-9874381973,"accounts@svpsl.in,,support@svpsl.in,x3eaccounts@svpsl.in,x22accounts@svpsl.in,rxxxxxxxxxxr@smartvalue.biz,","22.6028739,88.4131811"
Bada Business,Companies(Private),Delhi,"15, Okhla Phase 3, Okhla, New Delhi 110020, DL",+91-9810544443,",accounts@vivekbindra.in,fincontrol@badabusiness.com,u003efincontrol@badabusiness.com,care@badabusiness.com,","14.5146934,34.9762924"
Ethinos Digital Marketing,Companies(Private),Delhi,,,",info@ethinos.com,",
Dream To Fame,Companies(Private),Delhi,"56/10, Pushpanjali Apartments, Sector 10, Dwarka, New Delhi 110078, DL",+91-9810701669,",info@connecting-dreams.org,akash@kjeo.net,",
Tyche Industries Ltd,Companies(Private),Delhi,"C21/A, Road No 9, Film Nagar, Jubilee Hills, Hyderabad 500033, TS","+91-40-23541688, +91-40-23540733",",jayantac@icraindia.com,cs@tycheindustries.net,tyche@tycheindusties.com,hr@tycheindustries.net,sales@tycheindustries.net,Cs@tycheindustries.net,",
Collegedunia Web Pvt Ltd,Companies(Private),Delhi,"A1/17, 1st Floor, Prashant Vihar, Sector 14, New Delhi 110085, DL",+91-11-45588657,",accounts@collegedunia.com,u003eaccounts@collegedunia.com,sahil.chalana@collegedunia.com,",
Girija Welfare Association,Companies(Private),Delhi,,,",support@girijawelfare.org,",
Shyam Advisory Ltd,Companies(Private),Delhi,"Shyam House, Near Ambika Park Society, Hanuman Madhi Chowk, Limda Chowk, Raiya Road, Rajkot 360007, GJ",+91-281-6455555,",customercare@shyamadvisory.com,contact@shyamadvisory.com,",
XOR Solutions,Companies(Private),Delhi,,,",last@xortechnologies.in,arnav.mutneja@xortechnologies.in,rajat.kapoor@xortechnologies.in,",
Vanshik Clothing Pvt Ltd,Companies(Private),Delhi,"E-11/12, SV Road, Khira Nagar, Santacruz West, Mumbai 400054, MH",+91-22-26614632,"vanshikltd@gmail.com,,",
Tradebulls,Companies(Private),Delhi,,,"x3ewecare@tradebulls.in,incidentreports@tradebulls.in,,wecare@tradebulls.in,",
KaaShiv InfoTech,Companies(Private),Delhi,"16/1, Round Building, Near To Chennai Public School, Radial Colony, Anna Nagar, Chennai 600101, TN",+91-7667668009,",kaashiv.info@gmail.com,",
Telesense Digital,Companies(Private),Delhi,,,",info@intellisense.in,",
Designing Mafia,Companies(Private),Delhi,"G-62, Near Temple Govindpuram, 201013 Ghaziabad",+91-9818941798,",talwarshalini@yahoo.com,knshnakabir1977@rediffmail.com,",
