Name,Sector,City,Address,Phone,Email,Lat-Long
FitnessKinds - Chhatarpur - Delhi,Gym,Delhi,,,"contact@dronacharyathegym.com,,","28.5564756,77.1568884"
Component Fitness - Malviya Nagar - Delhi,Gym,Delhi,"D-80, First Floor, Malviya Nagar Rd, above Punjab National Bank, Main Market, New Delhi, Delhi 110017",088001 17699,"info@componentfitness.co.in,componentfitnessindia@gmail.com,,","28.5348263,77.2076452"
The Sweat Yard - Delhi,Gym,Delhi,"The Sweat Yard, Near meerut sweets, 701, Banda Bahadur Marg, opposite to Satija Building, Mukherjee Nagar, New Delhi, Delhi 110009",084482 25254,,"28.7109318,77.211962"
Superb Gym And Spa - Delhi,Gym,Delhi,,,",vikranttyagi.superbgym@gmail.com,",
Anytime Fitness - Rohini - Delhi,Gym,Delhi,,,",memberexperience@anytimefitness.in,",
Eden Gym N Spa - Burari - Delhi,Gym,Delhi,,,",bajajssky@gmail.com,",
Evolution Fitness - Punjabi Bagh - Delhi,Gym,Delhi,,,",response.evopb@gmail.com,contact@ufcgym.in,",
Ampower Fitness - Delhi,Gym,Delhi,,,",youremail@yourdomain.com,conact@ampowerfitness.in,",
Zeus Gym & Spa - Gujranwala Town - Delhi,Gym,Delhi,"A-199, Opposite Saya Automobiles, Gujranwala Town, Delhi 110009, DL","+91-9810553044, +91-8860906090, +91-11-27463000",,
Yogalife - Jungpura Extension - Delhi,Gym,Delhi,"H-33, Basement, Jungpura Extension, Delhi 110014, DL",+91-9999365557,",delhi@yogaindailylife.org,smitayoga@ymail.com,",
Yoga Vidya Foundation - Katwaria Sarai - Delhi,Gym,Delhi,"F-94, 1st Floor, Katwaria Sarai, Delhi 110016, DL",+91-11-66538619,",delhiretreat2024@gmail.com,karnataka@pranichealing.co.in,",
Yoga Studio - Surajmal Vihar-Anand Vihar - Delhi,Gym,Delhi,"A-264, Opposite Shiksha Sadan, Main Road, Anand Vihar, Delhi 110092, DL",+91-9873509916,",yscdda@yahoo.com,",
Yoga Shodhan - Raj Nagar - Delhi,Gym,Delhi,"102, H Block, Street 5, Palam Colony, Part 2, Raj Nagar, Delhi 110045, DL","+91-8595131418, +91-8010471890",",dhyan@dhyanfoundation.com,hello@cultfit.com,",
Yoga Naturopathy Study & Health Care Centre - Karol Bagh - Delhi,Gym,Delhi,"8, Joshi Road, Karol Bagh, Delhi 110005, DL",+91-9899895997,,
Yoga Naturopathy Education Sanstha - Sidharth Nagar - Delhi,Gym,Delhi,"D-16, Sidharth Nagar, Ashram Road, Delhi 110014, DL",+91-9868241610,",vijaynishi77@yahoo.co.in,hello@cultfit.com,chairmanbnysd@gmail.com,registrarbnysd@gmail.com,",
Yoga Meditation Delhi - Defence Colony - Delhi,Gym,Delhi,"C-162, Defence Colony, Delhi 110024, DL",+91-9811998983,,
Yoga Meditation & Ayurveda Centre - South Extension Part I - Delhi,Gym,Delhi,"D-41, Near Dana Bank, South Extension Part 1, Delhi 110049, DL","+91-11-24643344, +91-9818927367, +91-9310603911",,
Yoga An Art Of Living - Dwarka - Delhi,Gym,Delhi,"21, A/105, Himachal Apartment, Sector 5, Dwarka, Delhi 110075, DL","+91-9810210802, +91-8800605465","support@us.artofliving.org,,",
Yoga & Natural Health Care Centre - RK Puram - Delhi,Gym,Delhi,"357, Sector 6, RK Puram, Delhi 110022, DL","+91-9873557557, +91-11-26192687",,
Yog Power Studio - New Rajinder Nagar - Delhi,Gym,Delhi,"H-333, Basement, New Rajinder Nagar, Delhi 110008, DL","+91-11-45545102, +91-9650795103",,
Yog Power Studio - Janakpura - Delhi,Gym,Delhi,"A-2/140, Main Pankha Road, Janakpuri, Delhi 110058, DL","+91-11-43755101, +91-11-65364541, +91-9650795101",,
VLCC - Vasant Vihar - Delhi,Gym,Delhi,"22, Community Centre, Basant Lok, Priya Complex, Vasant Vihar, Delhi 110057, DL","+91-11-26155561, +91-11-26155562, +91-11-26155563, +91-11-26155564",",southex.dl@vlccwellness.com,",
