Name,Sector,City,Address,Phone,Email,Lat-Long
Marwar Carpets International,Companies(Private),Dharapuram,"A-96, Neeti Bagh, New Delhi 110049, DL","+91-11-41740431, +91-11-41619633",",exim@kgfabrics.com,",
D I Plast India Pvt Ltd,Companies(Private),Dharapuram,"Plot No 26, HSIDC Complex, Phase 1, Kundli, Sonepat 131028, HR","+91-130-2371078, +91-9811033912",",investors@lincpen.com,corollablossoms@hotmail.com,diplastindia@yahoo.co.in,indigenousfarms@outlook.com,shirish.sj@gmail.com,jotwani.shivgangaindustries@gmail.com,",
Tranz Mannequins Pvt Ltd,Companies(Private),Dharapuram,"302, 2nd Floor, HM Basi Reddy Complex, HRBR Layout, Bangalore 560043, KA",+91-80-33081363,",info@tranzmannequins.com,",
Regency Exports Pvt Ltd,Companies(Private),Dharapuram,"14, Maker Chamber, Nariman Point, Mumbai 400021, MH","+91-22-22835117, +91-22-22851801",",hsv@britsurdventures.com,x3eSreeji@sreeragamexports.com,Sreeji@sreeragamexports.com,x3ejignesh@jaykal.com,jignesh@jaykal.com,sanjaygupta6@hotmail.com,royalxpt@gmail.com,Plohia@lccimpex.com,x22Sreeji@sreeragamexports.com,",
Purple Panda Fashions Pvt Ltd (Clovia),Companies(Private),Dharapuram,"G-52, Sector 6, Noida 201301, UP",+91-120-4842222,",legal@clovia.com,x3elegal@clovia.com,",
Hosley India Pvt Ltd,Companies(Private),Dharapuram,"C-24, 25, & 26, Hosiery Complex, Phase 2, Noida 201301, UP",+91-9871079665,",sales1@HosleyIndia.com,",
Fulchand & Sons,Companies(Private),Dharapuram,"208, Creative Industrial Estate NM Joshi Marg, Lower Parel, Mumbai 400013, MH",+91-22-23067261,,
Ahuja Overseas,Companies(Private),Dharapuram,"B-8-A, Malviya Industrial Area, Jaipur 302017, RJ","+91-141-4199000, +91-141-2754529","smpl@shusbindu.com,,",
Ceenik Exports India Ltd,Companies(Private),Dharapuram,"10-A, Jeevan Jagruti, DR Ambedkar Road, Bandra West, Mumbai 400050, MH",+91-22-61439600,",ceenikexports@gmail.com,",
Wellknown Polyester Ltd,Companies(Private),Dharapuram,"18th Floor, B Wing, Nirmal, Backbay Reclamation, Nariman Point, Mumbai 400002, MH",+91-22-66207000,"rohillas@bhilosa.com,compliances@wellknown.net.in,exports@bhilosa.com,x3ecompliances@wellknown.net.in,",
