Name,Sector,City,Address,Phone,Email,Lat-Long
Essae Teraoka Pvt Ltd (Essae),Companies(Private),Dombivli,"410, 4, 100Ft Road, Koramangala, Bangalore 560034, KA",+91-80-30213000,",etplmca@essae.com,x3eetplmca@essae.com,",
Consolidated Consultants & Engineers Pvt Ltd (CCEPL),Companies(Private),Dombivli,"5, 6, 1, Venkateshwara Tower, Katraj, Pune 411046, MH",+91-20-24378704,,
Alcon Electronics Pvt Ltd,Companies(Private),Dombivli,"34-B, MIDC Industrial Estate, Satpur, Nashik 422007, MH",+91-253-2350533,"alcon@exxelia.com,,siddharth.sachdev@alconelectronics.com,roc@exxelia.com,x3eroc@exxelia.com,mail.alcon@exxelia.com,",
Diamond Overseas,Companies(Private),Dombivli,"C-68, Indutrial Area Phase 2, Mayapuri, New Delhi 110064, DL","+91-11-41833291, +91-11-41833391",",jainchopra.company@gmail.com,ambicaint@vsnl.net,enquiry@dnsb.co,international.shippingcorp@gmail.com,jainchopra.company@yahoo.com,",
PowerWind Ltd,Companies(Private),Dombivli,"3, GL Business Center, Udhyog Vihar, Phase 1, Gurgaon 122016, HR",+91-124-4984455,",legal.pwppl@gmail.com,jdcindialtd@satyam.net.in,",
Hydro-Tech Enterprises Pvt Ltd,Companies(Private),Dombivli,"B-9, 706, ITL Twin Towers, Netaji Subhash Palace, Ring Road, Pitampura, New Delhi 110034, DL",+91-11-42240075,",admin@hitechboilers.com,info@hydrotechindia.com,Email-admin@hitechboilers.com,hydrotechenterprises@gmail.com,","19.2196954,72.8704992"
Pluss Polymers Pvt Ltd,Companies(Private),Dombivli,"610-A, Phase 5, Udyog Vihar, Gurgaon 122016, HR",-4309523,"united.nano@gmail.com,MAIL@CMIMPEX.COM,united.nano@gmail.com,",
Indo Borax & Chemicals Ltd,Companies(Private),Dombivli,"302, Link Rose, Linking Road, Santacruz, West, Mumbai 400059, MH","+91-22-28504493, +91-22-28504012","mathewphilip570@hotmail.com,icppvtltd@gmail.com,j_tvm@hotmail.com,roc.chennai@mca.gov.in,mathewphilip570@hotmail.com,icppvtltd@gmail.com,j_tvm@hotmail.com,info@indusnovateur.com,icare@industowers.com,roc.chennai@mca.gov.in,",
Chenitan Color Chem Pvt Ltd,Companies(Private),Dombivli,"S-2, Goverment Talco Industrial Estate, Madhavaram, Chennai 600060, TN","+91-44-25594946, +91-44-25594947","anurag@chopraretec.com,chopra@chopraretec.com,chopraretecindia@gmail.com,",
Abhinav Electrical Industries,Companies(Private),Dombivli,"3B, Pil Court, 3 MK Road, Mumbai 400020, MH",+91-22-32425491,"axx@acropaints.net,support@acropaints.net,axx@acropaints.net,j.d@acropaints.net,",
Reval India Pvt Ltd,Companies(Private),Dombivli,"4th Floor, Silokhera, Sector-30, Gurgaon 122002, HR",+91-124-7168200,,
The Ahmedabad Mercantile Co-op. Bank Ltd,Companies(Private),Dombivli,"Amco House, Near Stadium Circle, Navrangpura, Ahmedabad 380009, GJ",+91-79-26426588,"x3errshinde@mumbaidistrictbank.com,rrshinde@mumbaidistrictbank.com,",
