Name,Sector,City,Address,Phone,Email,Lat-Long
Manish Art and Crafts,Companies(Private),Durg,"F-542, 8th Lane, 2nd Phase, Jodhpur 342005, RJ","+91-291-2741935, +91-9829026830",",sales@manishcrafts.com,Singh@fonterrafuture.in,Manish.Singh@fonterrafuture.in,finance@merlinprojects.com,",
Mahabir Industries & Allied Works Pvt Ltd,Companies(Private),Durg,"1, Barauni Industrial Area, Begusarai 851122, BR",+91-6243-244271,,
Shree Vinayaka Life Sciences Pvt Ltd,Companies(Private),Durg,"39 & 40, S V Co-operative Society, Jeedimetla, Hyderabad 500055, TS",,"u003esivareddy_kalakoti@yahoo.com,,sivareddy_kalakoti@yahoo.com,shreesaiseed@gmail.com,asrprasad@vinayakalifesciences.com,x3esivareddy_kalakoti@yahoo.com,chandu@svls.in,",
Quality Nexgen Pharmaceuticals Pvt Ltd,Companies(Private),Durg,"Near Malwani Church, Chikuwadi, Malad West, Mumbai 400095, MH",,"x3edr.santosh@prowillpharma.com,,x3enrpharmaceutical@gmail.com,nrpharmaceutical@gmail.com,x3eglobinpharma@gmail.com,globinpharma@gmail.com,x3ehyeto@rediffmail.com,u003einfo@qualitynexgen.com,info@qualitynexgen.com,dr.santosh@prowillpharma.com,hyeto@rediffmail.com,",
Royalmalabar Foods Pvt Ltd,Companies(Private),Durg,"Plot No 10, CSEZ, Kakkanad, Kochi 682037, KL",+91-484-2413383,",k.padmanabhan@nestgroup.net,",
Bengal Tea & Fabrics Ltd,Companies(Private),Durg,"45, 4th Floor, Century Towers, Shakespeare Sarani, Kolkata 700017, WB","+91-33-22836417, +91-33-22836416",,"21.1923587,81.2005178"
Viskan Logistics Services Pvt Ltd,Companies(Private),Durg,"4, Vijay Market Building, Sambhaji Chowk, Sector 26, Pradhikaran, Nigdi, Pune 411044, MH",-7755994121,",manimaran@viskanlogistics.com,",
Angel Ceramics Pvt Ltd,Companies(Private),Durg,"105, Old Ghuntu Road, Morbi 363642, GJ",+91-2822 243 804,",info@angelceramics.com,ipsita.ganguli.ceramics@gmail.com,",
City Advertising (Laserking Technologies),Companies(Private),Durg,"20/6/15, Near Kaushambi Metro Station, Industrial Area, Site 4, Sahibabad, Ghaziabad 201010, UP","+91-120-4139986, +91-120-4101500",,
Techno Brain Ltd,Companies(Private),Durg,"36, S V Square Road, Jubilee Hills, Hyderabad 500033, TS",,"vishysk@gmail.com,vishysk@gmail.com,vishysk@gmail.com,btofficial@outlook.com,ankit@junio.in,technologies.tmp@gmail.com,x22vishysk@gmail.com,x3evishysk@gmail.com,x3evishysk@gmail.com,x3ebtofficial@outlook.com,x3eankit@junio.in,",
Ilbsg Professional Services Pvt Ltd,Companies(Private),Durg,"2-Q, 3-A, 10, Cyber tower, Madhapur, Hyderabad 500081, TS",,"vidishagarg@gmail.com,info@aegisjurist.com,contact@alayalegal.com,trademark@Irswami.com,vidishagarg@gmail.com,info@aegisjurist.com,contact@alayalegal.com,n@amclawfirm.com,trademark@Irswami.com,",
Uttam Air Products Pvt Ltd,Companies(Private),Durg,"Plot No 41, Sector 6, Faridabad 121006, DL",-46194320,,
Pioneer Jellice India Pvt Ltd (Pioneer Asia),Companies(Private),Durg,"23-A, Vallabhai Road, Chokkikulam, Madurai 625002, TN",-2534460,"admin@plussat.eu,info@electrocom.in,admin@plussat.eu,info@electrocom.in,",
Glue Farm India Pvt Ltd,Companies(Private),Durg,"16, 5th Main Road, Chikka Adugodi, Thavarekere Main Road, Bengaluru 560029, KA",-25504878,"sales@goldenchemicals.in,sales@goldenchemicals.in,info@companydetails.in,cs@ccplantimony.com,sales@goldenchemicals.in,sales@goldenchemicals.in,accounts@goldenchemicals.in,info@companydetails.in,dr.keertigupta@gmail.com,x3ecs@ccplantimony.com,",
Duroplast Extrusion Pvt Ltd,Companies(Private),Durg,"41 & 42, Phase III, Kasba Industrial Estate, Kolkata 700107, WB",-40126542,"roc.chennai@mca.gov.in,ajay@eagle-grp.com,shailjagupta@eaglegroupindia.com,roc.chennai@mca.gov.in,",
Jobs Square Recruitment Solutions,Companies(Private),Durg,"115-E, Raj Sunderam Society, Ashok Van, Maruti Marg, Dahisar East, Mumbai 400068, MH",+91-22-32159586,"last@js.com,jacobmmrice@gmail.com,roc.chennai@mca.gov.in,",
FutureGenz HR Solutions Pvt Ltd,Companies(Private),Durg,"13-C, Diamond Appartments, Near 24 Karat Cinema, S.V. Road, Jogeshwari West, Mumbai 400102, MH",+91-9892057007,"JOHRIRAVI.CA@GMAIL.COM,chennai@kaplindia.com,",
ECPS Pvt Ltd,Companies(Private),Durg,"22, 1st Floor, NJ Chambers, Near Shivajinagar Bus Stand, Bangalore 560042, KA","+91-80-40689596, +91-80-40689595",,
Balasore Bhadrak Central Co-Operative Bank Ltd,Companies(Private),Durg,"OT Road, Balasore, 756001, OD","+91-6782-263022, +91-6782-262436","ho@bbccb.in,sadar@bbccb.in,",
