Name,Sector,City,Address,Phone,Email,Lat-Long
Kreationn,Companies(Private),Erode,"7, Cancer Piscesdivya Park, Marve Road, Jankalyan Nagar, Malad West, Mumbai 400095, MH",+91-9867267256,",x3egururaj.kashi@givaudan.com,abicreations29@gmail.com,clifford.pinto@roquette.com,sharanca@gmail.com,hiroshi_sumi@toyobo.jp,x3ehiroshi_sumi@toyobo.jp,x3eclifford.pinto@roquette.com,x3eshyam.mahadik@omya.com,nila_mdu@yahoo.co.in,dksiroffice@gmail.com,shyam.mahadik@omya.com,gururaj.kashi@givaudan.com,",
Cords Cable Industries Ltd,Companies(Private),Erode,"94, 1, Old Ishwar Nagar, Okhla Industrial Area, Phase 3, New Delhi 110020, DL",+91-11-40551200,"ccil@cordscable.com,,ccil@cardscable.com,csco@cordscable.com,",
Sri Dhanalakshmi Cotton & Rice Mills Pvt Ltd,Companies(Private),Erode,"Guntur DT, Chilakaluripet, Narasaraopet 522619, AP","+91-8647-254921, +91-8647-254924",,
Pioneer Apparels,Companies(Private),Erode,"SF-245, Thattangadu Pioneer Garden, Behind Amarjothi Gardern, Velampalayam, Tirupur 641652, TN",+91-421-2255251,",info@pioneergroupbd.com,keshav_singh@welspun.com,fm@vilanapparels.com,jananibleacherserode@gmail.com,ssp@jansonsgroup.com,amd@arvind.in,",
Gravity India Ltd,Companies(Private),Erode,"Unit No 131, 5-B, Mittal Estate, Andheri Kurla Road, Andheri East, Mumbai 400059, MH","+91-22-66949715, +91-22-66949716",,
Available Design House Pvt Ltd,Companies(Private),Erode,"14/A, Paper Box Estate, Mahal Industrial Area, Mahakali Caves Road, Andheri East, Mumbai 400093, MH",+91-22-26870077,",sabarinath.g@tactivesoft.com,",
Art Home,Companies(Private),Erode,"4, Jerbai Baug, Above Bank Of India, Byculla, Mumbai 400027, MH","+91-22-65009169, +91-22-23729176",",feedback@eatmanfoods.com,",
AG Fashions,Companies(Private),Erode,"167, Mahaveer Nagar, Sanganer, Jaipur 302029, RJ","+91-141-2733813, +91-141-2733812",",sairammask@gmail.com,sharanca@gmail.com,prasanna.j@yukbafashion.com,",
Genesis Colors Pvt Ltd,Companies(Private),Erode,"51-52, Phase 4, Udyog Vihar, Gurgaon 122001, HR",+91-124-4181111,",madhvendra.shukla@ril.com,suresh.hr@loocustincorp.net,satyapaul@genesiscolors.net,",
Sri Kannapiran Mills Ltd,Companies(Private),Erode,"1, Sowripalayam, Coimbatore 641028, TN",+91-422-3019111,"gurunathan.ao@kgfabriks.com,,gkk@kannapiran.co.in,tnprivatejobs@gmail.com,",
Sreepriya Exports Pvt Ltd,Companies(Private),Erode,"31, Topsia Road, Kolkata 700046, WB","+91-33-23440089, +91-33-23440090",",sreemanknitwear2018@gmail.com,admin@sreepriyaexports.com,jane@sreepriyaexports.com,",
Suraj Agro Products Pvt Ltd,Companies(Private),Erode,"3rd Floor, St. Thomas Building, 150, Luz Church Road, Chennai 600004, TN",+91-44-24671820,",ramakrishnan@surajagro.co.in,",
Sparrow Oilz Pvt Ltd,Companies(Private),Erode,"O-6, Star Trade Centre, 1st Floor, Sodawala Lane, Borivili West, Mumbai 400092, MH",+91-22-28910383,",suresh.hr@loocustincorp.net,",
SKM Egg Products Exports India Ltd,Companies(Private),Erode,"185, Chennimalai Road, Erode 638001, TN","+91-424-2351534, +91-424-2351532",",shares@skmegg.com,cfo@skmegg.com,technical@skmegg.com,shree@skmegg.com,x3eshree@skmegg.com,",
sakthi sugars ltd sakthi coimbatore,Companies(Private),Erode,"180, Race Course Road, Coimbatore 641018, TN","+91-422-2221551, +91-422-2221552",",u003eshares@sakthisugars.com,shares@sakthisugars.com,info@sakthisugars.com,x3einfo@sakthisugars.com,groupcs@renukasugars.com,coimbatore@linkintime.co.in,",
Qureshi International Pvt Ltd,Companies(Private),Erode,"Plot No 118, Industrial Complex, Kattedan, Hyderabad 500077, TS","+91-40-24360661, +91-40-24360660",",qureshiinternational@gmail.com,accounts@wonderproducts.co.in,x3eaccounts@wonderproducts.co.in,",
Nanopix Integrated Software Solutions Pvt Ltd,Companies(Private),Erode,"Plot No 1 & 2, 3rd Floor, Akshay Plaza, Behind Bharat Petrol Pump, Chetan College Road, Hubli 580031, KA",+91-7204036524,"first@nanopix-iss.com,,director@chitkara.edu.in,info@nanopix-iss.com,",
Millmore Engineering Pvt Ltd,Companies(Private),Erode,"1F, PTR Apartment, 153, Habibullah Road, Chennai 600017, TN",+91-44-28344602,",karthiyeng@gmail.com,memillmore@gmail.com,",
GRM Overseas Ltd,Companies(Private),Erode,"Naultha, Panipat 132103, HR",+91-180-2652476,"Investor.grm@gmail.com,cs@wirefabrik.com,,investor.grm@gmail.com,x3einvestors.relations@grmrice.com,info@grmrice.com,investors.relations@grmrice.com,bestotradelink@rediffmail.com,","11.3465804,77.550579"
Cifal Herbal Pvt Ltd,Companies(Private),Erode,"5th KM, Gudur Venkatgiri Road, Goginenipuram, Gudur, Nellore 524103, AP",+91-8624-222428,",info@cifalherbal.com,info@citrusextracts.com,scitrus@yahoo.com,","14.1575834,79.8082148"
Sun Paper Mill Ltd,Companies(Private),Erode,"86, E.V.K. Sampath Road, Chennai 600007, TN",+91-44-26618503,",x3einfo@khannapaper.com,abhuwania@infomerics.com,ro@sunpaper.in,info@khannapaper.com,x3erajeev@bestpaper.co.in,partha_rb97@rediffmail.com,rajeev@bestpaper.co.in,info@supremepaper.com,","11.3353179,77.7088511"
Media Fusion India Pvt Ltd,Companies(Private),Erode,"50-A, 3-2, Palace Road, Bangalore 560052, KA",+91-80-22254850,"info@24mediafusion.com,,cs@rites.com,partha.saradhi@in.g4s.com,","12.9880529,77.5842792"
Eco Nirvana,Companies(Private),Erode,"A10, Raj Industrial Complex, Military Road, Marol, Andheri East, Mumbai 400059, MH",+91-22-29208472,",email@anandandanand.com,chennaianandandanand@yahoo.co.in,info@digital-nirvana.com,email@sashram.org,","11.3489787,77.7089776"
SUN Advertising Pvt Ltd,Companies(Private),Erode,"B-503, Trishla, Sant Gadge Lane, Dada Saheb Phalke Road, Dadar East, Mumbai 400014, MH",-8959909897,",vvsmarketing@gmail.com,",
Allegis Services India Pvt Ltd,Companies(Private),Erode,"3, 12, Commerce Mantri Level, 1 N S Walia Banerghatta, Bangalore 560076, KA","+91-80-30705002, +91-80-30705160","info@altacit.com,",
The Kerala State Co-Operative Bank Ltd,Companies(Private),Erode,"PB 6515, COBANK Towers, Palayam, Thiruvananthapuram 695033, KL","+91-471-2317081, +91-471-2316829","contact@bgss.in,cs@nainitalbank.co.in,",
