Name,Sector,City,Address,Phone,Email,Lat-Long
Marco Cables Pvt Ltd,Companies(Private),Faridabad,"108, 1, Ashoka Shopping Centre, Mumbai 400001, MH",+91-22-22633537,",investors@hmtcable.com,mcpl@hmtcable.com,",
JLC Electromet Pvt Ltd,Companies(Private),Faridabad,"11-H, Vishwakarma Industrial Area, Jaipur 302013, RJ",+91-141-2330375,"sales@jlcelectromet.com,,harshraj.sankhla@careratings.com,jlc@jlcelectromet.com,last@jlcelectromet.com,JLC@JLCELECTROMET.COM,x3eJLC@JLCELECTROMET.COM,",
Gloster Cables Ltd,Companies(Private),Faridabad,"5, 3, 372, R.P.Road, Secunderabad 500003, AP",+91-40-27534985,",last@glostercable.com,gclnagpur@glostercable.co.in,arvind.kumar@apar.com,corporate@glostercable.com,apar.baroda@apar.com,",
Globe Scott Motors Pvt Ltd,Companies(Private),Faridabad,"1-A, 19, G.I.D.C. Industrial Estate, Killa Pardi, Valsad, Vapi 396125, GJ",+91-260-2373538,",info@globescott.net,gsmpl@yahoo.com,",
Globe Rectifiers,Companies(Private),Faridabad,"211, Sector 24, Faridabad 121005, HR",+91-129-4060708,",gr@globerectifiers.com,",
Galaxy Transmission Pvt Ltd,Companies(Private),Faridabad,"3-N, Midc Kupwad Block, Sangli 416436, MH",+91-233-2645672,",info@galaxycorp.in,puneet.kumar@kei-ind.com,x3einfo@galaxycorp.in,galaxy.instr@gmail.com,info@galaxyinstruments.com,",
EMC Ltd,Companies(Private),Faridabad,"11, 8, Constantia Office Complex, Dr. U.N. Brahmachari Street, Kolkata 700017, WB",+91-33-22893122,",ambujapipesjaipur@gmail.com,",
Elmec Speciality Heaters,Companies(Private),Faridabad,"16/58/1, Dhanakotiraja Street, Ekkattuthangal, Chennai 600032, TN",+91-44-22251931,"sales@elmecheaters.com,,selvaraj@elmecheaters.com,elmec.sundar@gmail.com,",
Ecotek Schema Pvt Ltd,Companies(Private),Faridabad,"211, 2, R.R Realty, Tank Road, Bhandup 400078, MH",+91-22-67746000,",ncompany@gmail.com,mehboob@crescentvalves.com,lab.kol@balticcontrolindia.com,rajeev@retaildetailz.com,",
Digiline Systems Pvt Ltd,Companies(Private),Faridabad,"38, 2, 15, Dsidc, Site 4, Industrial Area, Sahibabdad, Ghaziabad 201010, UP",+91-120-09818744288,",umeshbabuagrawal@yahoo.com,",
Connector Point,Companies(Private),Faridabad,"8, 375, Babu Building, Lamington Road, Mumbai 400007, MH",+91-22-23807035,,
Compaq International Pvt Ltd,Companies(Private),Faridabad,"Shadipur, Guru Nanak Nagar, Khajuri Road, Yamuna Nagar 135001, HR",+91-1732-268258,",contact@compaqinternational.com,info@compaqinternational.com,",
Cable Corporation Of India Ltd,Companies(Private),Faridabad,"4, 6, Laxmi Building, Shoorji Vallabhdas Marg, Ballard Estate, Mumbai 400001, MH",+91-22-66144000,",ajitelect@rediffmail.com,surajcables@gmail.com,manoj.patil@cablecorporation.com,ajiteshelectricals@gmail.com,rnt.helpdesk@linkintime.co,rnt.helpdesk@linkintime.co.in,x3emanoj.patil@cablecorporation.com,",
Allied Wire Industry,Companies(Private),Faridabad,"P-7, KSSIDC Industrial Estate, Pilagumpa Hoskote, Bangalore 562114, KA",+91-80-09845032788,",wire@vandanaglobal.com,",
Alien Energy Pvt Ltd,Companies(Private),Faridabad,"16-A, 6, Om Sai Complex, Site 4, Opposite Sai Mandir, Sahibabad, Ghaziabad 201010, UP",+91-120-2895502,",adnan@drs-energy.com,akashjain@alienenergy.in,energy.kaushal@gmail.com,sharad.kumar@securemeters.com,monikazain28@gmail.com,",
Seasons Textiles Ltd,Companies(Private),Faridabad,"B-18, Sector? 5, Noida 201301, UP",+91-120-4690000,",cs.stl@seasonsworld.com,grievances@skylinerta.com,rajeev@nzseasonalwear.com,",
