Name,Sector,City,Address,Phone,Email,Lat-Long
Sabs Exports,Companies(Private),Gandhinagar,"C-103, Sector 63, Noida 201301, UP",+91-120-4029999,",u003ecsab999@gmail.com,x22info@vineetaz.com,x3einfo@vineetaz.com,info@vineetaz.com,vishal@zybra.in,exports.bts@gmail.com,contact@zybra.in,csab999@gmail.com,",
Teciza Web Solutions,Companies(Private),Gandhinagar,"518, Rhythm Plaza, Amar Jawan Circle, Nikol, Ahmedabad 382350, GJ",+91-9033040506,,
Master Flex Cables,Companies(Private),Gandhinagar,"23, Diwan Udyog Nagar, Behind Sundaram Central School, Mahim Road, Palghar, Mumbai 401404, MH",+91-22-09987017949,",info@masterflexcables.com,prem.youdug@yahoo.co.in,atul1966@gmail.com,mascotenterprise@yahoo.co.in,",
Intrans Electro Components Pvt Ltd,Companies(Private),Gandhinagar,"298-D, Industrial Development Area, Erumathala, Aluva 683112, KL",+91-484-2839506,",intranselectro@gmail.com,aftersales@intranselectro.com,marketing@intranselectro.com,",
Hitachi Metals India Pvt Ltd (Hitachi),Companies(Private),Gandhinagar,"94-95, Sector 8, Imt Manesar, Gurgaon 122004, HR",+91-124-4124800,",K.K.Krishnan@hitachimetals.co.in,",
Gem Electro Mechanicals Pvt Ltd,Companies(Private),Gandhinagar,"155-E, 11-H, Vishwakarma Industrial Area, Jaipur 302013, RJ",+91-141-2330298,",jlc@jlcelectromet.com,",
Elektrolites Power Pvt Ltd,Companies(Private),Gandhinagar,"9-F, S-758-A, Vishwakarma Industrial Area, Jaipur 302013, RJ",+91-141-2331624,",premcables@premcables.in,director@elektrolites.com,x3eaccounts@elektrolites.com,accounts@elektrolites.com,",
Electroconnect Systems,Companies(Private),Gandhinagar,"111-J, Ansa Industrial Estate, Saki Vihar Road, Andheri 400072, MH",+91-22-28471917,,
Sunstar Graphics Pvt Ltd,Companies(Private),Gandhinagar,"B-305, Neelam Centre, SK Ahire, Worli, Mumbai 400025, MH","+91-22-24901981, +91-22-24901982",,
Santaram Spinners Ltd,Companies(Private),Gandhinagar,"259, 3rd Floor, New Cloth Market, Outside Raipur Gate, Naryanpura, Ahmedabad 380002, GJ","+91-79-22167030, +91-79-22167040",,
SM Windsol Pvt Ltd,Companies(Private),Gandhinagar,"704-F, Usha Complex, Khandelwal Marg, Bhandup 400078, MH",+91-22-25660619,",sabaricorporateservices@gmail.com,pnreddy163@gmail.com,smwindsol@gmail.com,",
Kamath Transformers Pvt Ltd,Companies(Private),Gandhinagar,"155-A, 1, 3, Peenya Industrial Estate, Bangalore 560058, KA",+91-80-28392896,"info@vardhaman.net,,x3eaccounts@nissar.co.in,accounts@nissar.co.in,ACCOUNTS@KAMATHTRAFO.COM,",
Gujarat Energy Transmission Corporation Ltd,Companies(Private),Gandhinagar,"Sardar Patel Vidyut Bhavan, Race Course, Vadodara 390007, GJ",+91-265-2310582,",feedback.getco@gebmail.com,director@geda.org.in,",
Bhilwara Energy Ltd,Companies(Private),Gandhinagar,"12-A, Sector 1, Bhilwara Towers, Noida 201301, UP",+91-120-4390300,"ame.bhilwara@rajasthan.gov.in,,dmdesaivikas@gmail.com,1963mubarik@gmail.com,info@lnjbhilwara.com,",
Biochem India Ltd,Companies(Private),Gandhinagar,"B/06, Lopes Residency, Near Syndicate Bank, Navagam, L M Road, Dahisar West, Mumbai 400068, MH",,",dhavalsoni@zyduslife.com,hiranya.deshmukh@zyduslife.com,upen.shah@zyduscadila.com,mihir.j.mehta@zyduslife.com,dhavalsoni@zyduscadila.com,x3eshyam.mahadik@omya.com,shyam.mahadik@omya.com,",
Western India Cashew Company Pvt Ltd,Companies(Private),Gandhinagar,"Opposite Collector's Bungalow, Post Box No 75, Beach Road, Kollam 691001, KL","+91-474-2760943, +91-9447119054","jane@wenders.com,,weorexteam@gmail.com,compliance@wenders.com,",
Shree Ambica Agro Industries Pvt Ltd,Companies(Private),Gandhinagar,"Club Road, Bolangir 767001, OD","+91-6652-234696, +91-9937535301",",ambicacotton@gmail.com,",
Kriti Nutrients Ltd,Companies(Private),Gandhinagar,"Chetak Chambers, 14, R. N. T. Marg, Indore 452001, MP",+91-731-2719126,",cs@kritiindia.com,complianceofficer@sharekhan.com,info@kritiindia.com,",
Gujarat Ambuja Exports Ltd,Companies(Private),Gandhinagar,"Ambuja Tower, Opposite Memnagar Fire Station, Navjivan, Ahmedabad 380014, GJ","+91-79-26423316, +91-79-26405535",",soyakadi@ambujagroup.com,export@ambujagroup.com,info@ambujagroup.com,jayvijay@ambujagroup.com,x3einfo@ambujagroup.com,","23.3109162,71.3268449"
Umasree Texplast Pvt Ltd,Companies(Private),Gandhinagar,"309, Safal Prelude, Opposite Prahladnagar AUDA Garden, Off S.G. Highway, Corporate Road, Ahmedabad 380015, GJ",-29296102,",u003eworks@umasree.com,works@umasree.com,info@umasree.com,jane@umasree.com,mail@umasree.com,vivek@icraindia.com,",
Shree Shantinath Enterprises,Companies(Private),Gandhinagar,"4, Chandubhai House, Ram Nagar, Chincholi Link Road, Malad West, Mumbai 400064, MH",-28892043,",jamil.78663@gmail.com,",
Gordon Woodroffe Logistics Ltd,Companies(Private),Gandhinagar,"42, Kuber's, 2nd Floor, Pantheon Road, Egmore, Chennai 600008, TN","+91-44-28192207, +91-44-28192206",",pjain@gordonwoodroffe.com,ganeshji@mantraonline.com,info@himalayanshipping.com,delhi@bbcargo.com,",
Art India Publishing Co. Pvt Ltd,Companies(Private),Gandhinagar,"5/A, Jindal Mansion, Dr G Deshmukh Marg, Mumbai 400026, MH","+91-22-23513000, +91-22-43437166","artindia.info@gmail.com,,x3eartindia.info@gmail.com,tushar.kashmiri@jsw.in,",
Eurus Network Services Pvt Ltd,Companies(Private),Gandhinagar,"6-B, 9, 4, Safdarjung Enclave Commercial Complex, New Delhi 110029, DL",,"ashwin.prasad@fnf.com,",
Vimal Flexsol Ltd (Vimal),Companies(Private),Gandhinagar,"219, GIDC Estate Highway Phase 1, Mehsana Highway, Mehsana 384002, GJ","+91-2762-231839, +91-2762-255190","cs.vinylchemicals@pidilite.com,cs.vinylchemicals@pidilite.com,cs.vinylchemicals@pidilite.com,cs.vinylchemicals@pidilite.com,nvinylchemicals@pidilite.com,cs.vinylchemicals@pidilite.com,cs.vinylchemicals@pidilite.com,cs.pcpatel@pidilite.com,",
Ram-Nath and Co Pvt Ltd,Companies(Private),Gandhinagar,"C-16 & 17, Thiru-Vi-Ka Industrial Estate, Guindy, Chennai 600032, TN","+91-44-22502022, +91-44-22502023","legal@arcl.in,legal@arcl.in,legal@arcl.in,goldistillery@gmail.com,akapoor@rishiroop.com,rolorg251001@gmail.com,rolorg251001@gmail.com,rolorg251001@gmail.com,shuchigupta.gupta394@gmail.com,ravi@lordschloro.com,akapoor@rishiroop.com,x22legal@arcl.in,x3elegal@arcl.in,x3elegal@arcl.in,x3egoldistillery@gmail.com,",
Khushnoor Enterprises,Companies(Private),Gandhinagar,"Plot No 160, Shanti Niketan Colony, Mahendra Hills East, Marredpally, Secunderabad 500026, AP","+91-40-27734979, +91-40-27730713","kamlesh@kkpc.in,saransh.jain@hindustantimes.com,info@kkpc.in,kamlesh@kkpc.in,saransh.jain@hindustantimes.com,info@kkpc.in,",
Gorwara Chemical Industries,Companies(Private),Gandhinagar,"4-C, New Fatehpura, Near Sukhadia Circle, Udaipur 313004, RJ",-2584665,"viswesh.k@saint-gobain.com,sharecmpt.gno@saint-gobain.com,sharecmpt.gno@saint-gobain.com,sharecmpt.gno@saint-gobain.com,x3eviswesh.k@saint-gobain.com,",
Giant Sales Corporation,Companies(Private),Gandhinagar,"270, Urban Estate, Sector 31, Gurgaon 122002, HR",-2381156,"glowpaintsgoa@sbsshirsatgroup.in,glowpaintsgoa@sbsshirsatgroup.in,glowpaintsgoa@sbsshirsatgroup.in,",
Devi Polymers Pvt Ltd,Companies(Private),Gandhinagar,"NP-23, & 24, Developed Plot, Ekkatuthangal, Chennai 600097, TN","+91-44-28555661, +91-44-28555662","info@dibhapolymols.com,info@dibhapolymols.com,contact@fortunecoat.com,sandesh@fortuneprocurators.com,director@contipaints.com,mailus@contipaints.com,finance1@berryalloys.in,info@dibhapolymols.com,info@dibhapolymols.com,contact@fortunecoat.com,sandesh@fortuneprocurators.com,director@contipaints.com,mailus@contipaints.com,finance1@berryalloys.in,",
Career Avenues India Pvt Ltd,Companies(Private),Gandhinagar,"403-C, Remi Bizcourt, Veera Desai Road, Andheri West, Mumbai 400058, MH","+91-9324646180, +91-22-66920713","jivan.pant@careershapers.in,",
Clarity Financial Services Ltd,Companies(Private),Gandhinagar,"29, Ganesh Chandra Avenue, 4th Floor, Kolkata 700013, WB","+91-33-40038082, +91-8420007004","investorgrievance@clarityforex.com,support@clarityforex.com,",
