Name,Sector,City,Address,Phone,Email,Lat-Long
Spartans Gym - Govindpuram - Ghaziabad,Gym,Ghaziabad,,,",support@spartanfitnesscenter.com,way2fitness1989@gmail.com,nway2fitness1989@gmail.com,",
Talwalkars Gym - Raj Nagar - Ghaziabad,Gym,Ghaziabad,"3rd Floor, Mahalaxmi Mall, C-2 Road, Rajnagar, Ghaziabad 201001, UP",+91-120-4566644,,
Satyanand Yoga Centre - Vaishali - Ghaziabad,Gym,Ghaziabad,"4/376, Near Vaishali Main Market, Vaishali, Ghaziabad 201001, UP","+91-9811410981, +91-9811845134",,
Sahaja Yoga - Loni - Ghaziabad,Gym,Ghaziabad,"Vardhman International School, Near Neelam Factory, Arya Nagar, Nai Pura, 100 Feet Road, Loni, Ghaziabad 201102, UP","+91-9868437920, +91-9555265429, +91-9313262345",",chirag.patel@aryangreens.com,Abansal375@gmail.com,info@sasge.co.in,",
Sahaja Yoga - Bundahara - Ghaziabad,Gym,Ghaziabad,"Behind A. B. E. S. Engineering College, National Highway 24, Bundahara, Ghaziabad 201010, UP","+91-120-2703012, +91-9560544188, +91-9868046564",,
Max Power Health Club - Jawahar Nagar East - Ghaziabad,Gym,Ghaziabad,"I-526, Jawahar Nagar East, Loni, Ghaziabad 201001, UP",+91-9990838371,",shrinivas.hari@zcltd.com,",
Lion Gym - Sanjay Nagar - Ghaziabad,Gym,Ghaziabad,"M-320-A, Jagriti Vihar, Near Post Staff College, Sector 23, Sanjay Nagar, Ghaziabad 201001, UP",+91-9990735389,,
La Fitnesse - Indirapuram - Ghaziabad,Gym,Ghaziabad,"3, Second Floor, Shipra Mall, Indirapuram, Ghaziabad 201001, UP",+91-9654900525,,
Gym Enigma - Vaishali - Ghaziabad,Gym,Ghaziabad,"460, Sector 4, Vaishali, Ghaziabad 201010, UP","+91-9711900891, +91-9891206626",",memberexperience@anytimefitness.in,",
Golds Gym - Raj Nagar - Ghaziabad,Gym,Ghaziabad,"B-24, 25, 3rd Floor, R. D. C, Raj Nagar, Ghaziabad 201001, UP","+91-120-4205444, +91-120-4205446, +91-8527804441, +91-8527804442","rajnagar.ghaziabad@goldsgymindia.com,rajnagar.ghaziabad@goldsgym.in,,rajnagarextension.ghaziabad@goldsgym.in,u003erajnagar.ghaziabad@goldsgymindia.com,gk.delhi@goldsgym.in,",
Golds Gym - Indirapuram - Ghaziabad,Gym,Ghaziabad,"4-5, 8, LGF Basement, Gaur Gravity, Vaibhav Khand, Indirapuram, Ghaziabad 201014, UP","+91-9560097167, +91-9560097166","WeCare@GoldsGym.in,,",
Golds Gym - Ghaziabad,Gym,Ghaziabad,,,"rajnagar.ghaziabad@goldsgymindia.com,rajnagar.ghaziabad@goldsgym.in,,WeCare@GoldsGym.in,u003erajnagar.ghaziabad@goldsgymindia.com,",
Fitness Gym - Brij Vihar - Ghaziabad,Gym,Ghaziabad,"Main Market, Brij Vihar, Ghaziabad 201011, UP","+91-9811251179, +91-9910523321",",support@gymcompany.co.za,",
Blue Gym - Vaishali - Ghaziabad,Gym,Ghaziabad,"3rd Floor, Shopprix Mall, Sector 5, Vaishali, Ghaziabad 201010, UP","+91-9953888942, +91-120-6587576",,
