Name,Sector,City,Address,Phone,Email,Lat-Long
V Fitness - Goa,Gym,Goa,"443, Deulwada Marcel, Near Kadamba Transports Bus Stand, Koda Road, Orgao, Goa 403107, GA",+91-7875003616,,"15.601473,73.6719784"
Unique Gym - Goa,Gym,Goa,"Opposite Don Bosco School, Mahatma Gandhi Road, Panjim, Goa 403001, GA",+91-9423311922,",support@gymcompany.co.za,Coaching@isahilkhan.com,online@herald-goa.com,","15.4353902,73.7206582"
Unique Fitness Gym - Goa,Gym,Goa,"Aquem Alto, Margao, Goa 403601, GA",,",Coaching@isahilkhan.com,","15.3863912,73.8160604"
TSF Fitness Studio - Goa,Gym,Goa,"House No 92, Borchem Bhatt, near Martins Landscape, Caranzalem, Goa 403002",+91-7947336272,,"15.4688217,73.8050134"
Tripod Gym - Goa,Gym,Goa,"Vodlem Bhat, Ritu Apartments, Shop no. 1/2, Panaji, Goa 403002",+91-9923490739,",info@tmfitness.online,","15.4783613,73.8215895"
Training Room Gym - Goa,Gym,Goa,"Training Room ,Queeny Visions,Queeny Nagar, Velsao, Pale, Goa 403712",088881 22740,,"15.371738,73.8887712"
The Gym Fitness Forever - Goa,Gym,Goa,"1792/7, Vidya Nagar, Porvorim, Aradi Socorro, Goa 403521",094224 39614,,"15.5267552,73.8281341"
Technofit - Goa,Gym,Goa,"Aarkay Pearl, Near Yahama Showshroom, Dangui Colony, Duler Ground Road, Duler, Mapusa, Goa 403507, GA",+91-9860194701,,"15.4931625,73.7559209"
Talwalkars Hifi Gym - Goa,Gym,Goa,"Shop no. 3, Xenia, Opp Basket Ball Ground, Off Kadamba Depot Road Porvorim, Alto Porvorim, Porvorim, Goa 403521",0832 241 7122,,"15.5366914,73.8231012"
Super Universal Health Club & Beauty - Goa,Gym,Goa,"7X48+X6V, Navelim, Benaulim, Goa 403707",098221 21803,,"15.257484,73.962961"
Strong Arm Fitness - Goa,Gym,Goa,"PQFQ+2P3, Pernem, Pernam Municipal Area, Goa 403512",079723 71842,",gaureshkinlekar007@gmail.com,","15.7225009,73.7867288"
Strikers Mma Fitness - Goa,Gym,Goa,"Kamat Holiday Homes, Gauravaddo, Calangute, Goa 403516, GA",+91-9115596065,,"15.4678879,73.7016843"
Sk Fitness Formula - Goa,Gym,Goa,"Shop No.5 Sanctum Adwalpalkar, Cabesa Road, St Cruz, Goa 403005",098349 53257,,"15.46994,73.8439337"
Shape Shifters Gym - Goa,Gym,Goa,"Xenia Building, OFF, Kadamba Depot Rd, OPP BASKETBALL COURT, Church Street, Defence Colony, Porvorim, Aradi Socorro, Goa 403521",070200 51835,"events@gogoanow.com,,civil.goa@gmail.com,","15.53659,73.8230431"
Science Fitness - Goa,Gym,Goa,"Gaonkar Wado, Bambolim Curca, Panaji, Goa 403108",094233 07866,,"15.4556958,73.8672462"
Repulse Fitness Studio - Goa,Gym,Goa,"Bella Vista, Chogm Rd, Porvorim, Sangolda, Goa 403511",088887 61967,,"15.5437821,73.8123997"
Rajs Slim and Trim Fitness Center - Goa,Gym,Goa,"GQC9+33J, Aguada - Siolim Rd, Football Ground, Candolim, Goa 403515",098907 10296,",rajslimtrim@gmail.com,","15.5202169,73.7650604"
Rahim's Ultimate Fight Factory - Goa,Gym,Goa,"#-31/B, Bobteawaddo, Davorlim Rd, Navelim, Goa 403707",+91-6384464203,,"15.2650829,73.9863663"
Rafik Fitness - Goa,Gym,Goa,"Colva - Benaulim Rd, Benaulim, Vanelim, Goa 403708",096579 31489,,"15.2732536,73.9246494"
R Fitness Studio - Goa,Gym,Goa,"R Fitness Studio, Muslimwada, Bicholim, Goa 403504",098236 89518,",Coaching@isahilkhan.com,","15.5880465,73.9523358"
Pro Fitness - Goa,Gym,Goa,"Varca, Benaulim, Goa 403721",098607 33178,",stjudeproftness28@gmail.com,","15.2328634,73.94064"
Powerpack Fitness Center - Goa,Gym,Goa,"Opposite Quality Winding, near Sai Service, Curti, Ponda, Goa 403401",094038 18621,,"15.4153394,74.0084821"
Powerfit Gym - Goa,Gym,Goa,"Morjim, Goa 403512, GA",+91-6384478159,",online@herald-goa.com,","15.6151435,73.7357474"
Power Gym - Goa,Gym,Goa,"Igramall, Quepem, Goa 403705, GA",+91-9822382669,",info@powermaxfitness.net,fitnessonegoa@gmail.com,","15.3577475,73.7705333"
Platinum Gym - Goa,Gym,Goa,"7XQ9+RV8, Murida, Navelim, New Zariwaddo, Borda, Margao, Goa 403602",097645 36635,,"15.2895393,73.9671414"
