Name,Sector,City,Address,Phone,Email,Lat-Long
Bhagyashree Industries,Companies(Private),Gondal,"144, 62, 1, A, Bahadurpally, Qutubullapur, Hyderabad 500055, TS",+91-40-27842142,",ccbendigeri@gmail.com,vishal@zybra.in,balajikrupaestates@gmail.com,contact@zybra.in,silicon@bhagyashreeindustries.in,kulbeer_walia@cfpl.net.in,",
Devi Exports Corporation,Companies(Private),Gondal,"46, Razak Garden Road, Chennai 600106, TN","+91-44-23634341, +91-44-2363434",",royalindiaenterprise@gmail.co,rakesh.shejwal@aartigroup.cominfo,817elephantrice@gmail.com,DEBA.PATI@GMAIL.COM,exports.bts@gmail.com,sachin@westerncoffeecurers.com,",
Kitchen Solutions.Com,Companies(Private),Gondal,"17, Flat No 1, Florencia, Amritwan Complex, Goregaon East, Mumbai 400063, MH",+91-22-28407147,",kitchensolutions@gmail.com,",
MGS Group,Companies(Private),Gondal,"11, MG Marg, Hazratganj, Lucknow 226001, UP",+91-522-2610125,",mgslko@rediffmail.com,",
RPE Fashions Pvt Ltd (Vitruvien),Companies(Private),Gondal,"215, 2nd Floor, Wadala Udyog Bhavan, Naigaon Cross Road, Wadala, Mumbai 400031, MH",+91-22-40064949,",info@aacs.in,",
Ayurchem Products,Companies(Private),Gondal,"W-74, MIDC, Phase 2, Dombivali, Thane 421201, MH",,",sarvoayu1983@gmail.com,tripta.garg@nic.in,skdpande@nic.in,",
Apotex Pharmachem India Pvt Ltd,Companies(Private),Gondal,"1-A, Bommasandra Industrial Area, Phase 4, Bengaluru 560099, KA",,",mktgapipl@apotex.co.in,makbarali@apotex.co.in,x3eibose@apotex.co.in,info@apotexpharmachem.com,ibose@apotex.co.in,last@apotexpharmachem.com,",
Rowin Equipments Pvt Ltd,Companies(Private),Gondal,"Opposite Lokesh Theatre, Bearys Anugraha, Lingarajapuram, Bangalore 560084, KA","+91-80-25472425, +91-80-25480477",",x3einfo@decoepl.com,rowinequipments@gmail.com,x3efinance@tritorc.com,",
Rahat Industries Ltd,Companies(Private),Gondal,"34, Industrial Colony, Naini, Allahabad 211008, UP",+91-532-2697124,",frmecwan@gmail.com,sdtripathi2289@gmail.com,",
Harihar Foods Pvt Ltd,Companies(Private),Gondal,"A-16, Mohan Estate, Opposite Anupam Theatre, Khokra, Ahmedabad 380008, GJ","+91-79-22934293, +91-79-22935292","marketing@shreeganeshmasala.com,,x3eviren@deepkiran.co.in,x3eaccounts@shreeganeshmasala.com,accounts@chhajedfoods.com,jdoe@shreeganeshmasala.com,x3eaccounts@chhajedfoods.com,accounts@shreeganeshmasala.com,haritradingcom@yahoo.com,viren@deepkiran.co.in,",
Harihar Agro Enterprise,Companies(Private),Gondal,"Opposite Perfect TATA Showroom, Gondal Road, National Highway 8B, Rajkot 360002, GJ",+91-9979622650,",info.hotlogistic@gmail.com,hariharmachinetools@gmail.com,",
Dhathri Ayurveda Pvt Ltd,Companies(Private),Gondal,"33/1882-A, Adappilly Road, Vennala, Kochi 682028, KL","+91-484-2803073, +91-484-2803072","care@dhathri.com,,x3ecare@dhathri.com,","21.966569,70.7017788"
Aishwarya Agri Products,Companies(Private),Gondal,"30, Old M. I. D. C. Co-Operative Building, M. I. D. C, Jalgaon 425003, MH",+91-257-2272594,",rakesh.shejwal@aartigroup.cominfo,aishagri@gmail.com,n@dataone.in,mail@avtspice.com,atozfoodtrader@gmail.com,armagro81@gmail.com,Bcl@mittalgroup.co.in,","21.966569,70.7017788"
Ramans Enviro Services Pvt Ltd,Companies(Private),Gondal,"SF, 23, 24, Camps Corner, Near Auda Garden, Prahladnagar, Ahmedabad 380051, GJ",+91-79-40063330,",ramans.acct@gmail.com,vijkumk@indianoil.in,acct@gmail.com,bkpatel@elecon.com,","23.0121483,72.4974589"
Gold Silver Arts Pvt Ltd,Companies(Private),Gondal,"9, Jagmohan Mullick Lane, Kalakar Street, Burra Bazar, Kolkata 700007, WB","+91-33-22681741, +91-33-22685905",",qualityassay@yahoo.com,bkgarodia@hotmail.com,",
Neycer India Ltd,Companies(Private),Gondal,"33/24/A, Ranjith Road, Kotturpuram, Chennai 600085, TN","+91-44-24471642, +91-44-28171092","shilpabeverages@gmail.com,,sales@neycer.in,",
