Name,Sector,City,Address,Phone,Email,Lat-Long
YMCA - Greater Noida,Gym,Greater Noida,"2-R, Recreation Sector, Near Jaypees Golf Course, Greater Noida, 201306, UP",,",info@greaternoidaweb.com,greaternoida@newdelhiymca.in,authority@gnida.in,syctc.newdelhiymca@gmail.com,","28.4716183,77.5159975"
Urban Tactical Combat - Greater Noida,Gym,Greater Noida,"A-53, SCHS, P-4, Sector, Phi II, Greater Noida, Uttar Pradesh 201310",+91-9115568929,,"28.451564,77.5118471"
The Warrior Gym - Greater Noida,Gym,Greater Noida,"main road,near tvs showroom,1st floor, Surajpur, Greater Noida, Uttar Pradesh 201306",072898 99489,,"28.5168839,77.4848086"
The Power House Gym - Greater Noida,Gym,Greater Noida,"Jalpura, Greater Noida 201310, UP",+91-6384018897,",basic@hunchfree.com,","28.5504771,77.2963435"
The Garage Fitness - Greater Noida,Gym,Greater Noida,"Amritpuram Market, Near Pragyan School, Chandila, Gamma 1, Greater Noida, 201310, UP",,"greaternoidaweb@gmail.com,info@fitlineindia.com,,","28.4760124,77.4884837"
Pump Up Arena - Greater Noida,Gym,Greater Noida,"29-T, 1st Floor, Near Gn Hostel & Bakson Homeopathy College, Knowledge Park, Greater Noida 201308, UP",,",pumpup89@gmail.com,","28.4670954,77.498103"
Pulse Fitness Gym - Greater Noida,Gym,Greater Noida,"Praveen Plaza, Amritpuram, Block E, Chandila, Gamma 1, Greater Noida, Uttar Pradesh",072178 65448,,"28.4801329,77.4980267"
Om dance academy - Greater Noida,Gym,Greater Noida,"61-B, Alpha I, Greater Noida 201310, UP",,"greaternoidaweb@gmail.com,,sachindanceforever@gmail.com,","28.5031535,77.4888808"
National Martial Arts Academy- India - Greater Noida,Gym,Greater Noida,"Pusta Road, near Skyline College, Knowledge Park II, Greater Noida, Uttar Pradesh 201310",092109 74860,",nmaaindia@gmail.com,Info@nmaaindia.com,info@nmaaindia.com,","28.4564245,77.4892596"
Muscle in Mania - Greater Noida,Gym,Greater Noida,"5-6-7-8-9-10, AR Plaza, Greater Noida 201310, UP",+91-7506080707,,"28.6910828,76.7405832"
Msk Fitness Club - Greater Noida,Gym,Greater Noida,"GF8C+4V6, Mahamedha wali gali, Surajpur, Greater Noida, Uttar Pradesh 201306",097735 27401,,"28.5152853,77.4695667"
Millennium Dance and Fitness Studio - Greater Noida,Gym,Greater Noida,"I-23, Beta 2 Rd, Block I, Beta II, Greater Noida, Rampur Jagir, Uttar Pradesh 201310",079824 42596,,"28.4844889,77.5126151"
Max Power Gym - Greater Noida,Gym,Greater Noida,"Near By Oriental Bank ATM, Jagat Farm, Greater Noida 201310, UP",,"info@maxpower.com,,","28.4997274,77.4090547"
Martial Arts & Fitness Academy India - Greater Noida,Gym,Greater Noida,"62-I, Beta-2, Greater Noida 201308, UP",+91-8448067411,,"23.7366363,70.0168397"
Lotus Yoga Classes - Greater Noida,Gym,Greater Noida,"FGXC+555, Unnamed Road, Zeta I, Greater Noida, Uttar Pradesh 201306",,",admissions@lotusvalleynoidaextension.com,info@lotusvalleynoidaextension.com,","28.4978991,77.5179043"
Kingym & Spa - Greater Noida,Gym,Greater Noida,"Arcadia Shopping Complex,Sector ,Pi ,1, Greater Noida, Uttar Pradesh 201308",097161 80014,,"28.4682447,77.5335916"
JGB Health Club - Greater Noida,Gym,Greater Noida,"GF6M+592, Surajpur, Greater Noida, Uttar Pradesh 201306",088607 60116,,"28.5103987,77.4808025"
Iron Bull Gym - Greater Noida,Gym,Greater Noida,"Pt. Daulat Ram Mkt, Main, Dadri Main Rd, Surajpur, Greater Noida, Uttar Pradesh 201306",072106 82399,,"28.51284,77.4759981"
Hyper Gym - Greater Noida,Gym,Greater Noida,"Near ICICI Bank, Alpha-I Commercial Belt, Alpha Road, Greater Noida 201310, UP",+91-7419853769,"greaternoidaweb@gmail.com,,satendrasingh512@gmail.com,","28.4604321,77.5042155"
Health Club Shiv Shakti PG - Greater Noida,Gym,Greater Noida,"302, Near Neha Apartments, Sector 31, Swarn Nagari, Greater Noida 201310, UP",+91-9871411840,"info@pggrabber.com,,","28.4614631,77.5349687"
Gold's Gym - Greater Noida,Gym,Greater Noida,"SNG Vardhman Plaza, 2nd Floor, Near Galgotias College, Ansal Golf Links 1, Greater Noida 201308, UP",,",sector30.noida@goldsgymindia.com,ihdp.noida@goldsgym.in,","28.541536,77.3953786"
Fit King's Academy - Greater Noida,Gym,Greater Noida,"stanza living boys hostel, Knowledge Park III, Greater Noida, Uttar Pradesh 201310",,",fitexpo.marketing@gmail.com,fitexpo.info@gmail.com,","28.4777817,77.4962363"
