Name,Sector,City,Address,Phone,Email,Lat-Long
Srinivasa Textile Equipment Company,Companies(Private),Guntur,"1/407, Thoppampatti Pirivu, Kothari Nagar, Vadamadurai, Coimbatore 641017, TN",+91-422-2461770,",balajeetextiles@yahoo.co,",
Rangi International Pvt Ltd,Companies(Private),Guntur,"D3/4, Industrial Area Phase 2, Okhla, New Delhi 110020, DL",+91-11-40600150,",info@vinergy.in,legal@karam.in,x3elegal@karam.in,gaurandcompany@gmail.com,aman@rangiintl.com,x3einfo@vinergy.in,",
Surat Textile Mills Ltd,Companies(Private),Guntur,"3rd Floor, Tulsi Krupa Arcade, Near Aai Mata Chowk, Kumbharia Road, Surat 395010, GJ","+91-261-2311197, +91-261-2311198","x3esharedepartment@stml.in,,sharedepartment@stml.in,exim@kgfabrics.com,svsguntur@yahoo.co.in,mradul.mishra@careratings.com,guntur-rotxc@gov.in,scmrjpm@gmail.com,",
Siyaram Silk Mills Ltd,Companies(Private),Guntur,"5th Floor, Tradeworld, B Wing, Kamala City, Senapati, Lower Parel, Mumbai 400013, MH",+91-22-30400500,",jnailesh@rediffmail.com,sharedept@siyaram.com,unicode@siyaram.com,atul1966@gmail.com,enquiries@siyaram.com,jane.doe@siyaram.com,",
Kalyan Silks Trichur Pvt Ltd,Companies(Private),Guntur,"4/621/2, Kuriachira, Thrissur 680006, KL",+91-487-2253975,",roundnorth@kalyansilks.com,cfo@kalyansilks.com,",
Boston Scientific India Pvt Ltd,Companies(Private),Guntur,"Bestech Business Tower, Sector 48, Sohna Road, Gurgaon 122002, HR",,",John.Smith@bsci.com,BSXInvestorRelations@bsci.com,x3eJohn.Smith@bsci.com,x3elipika.arora@bsci.com,lipika.arora@bsci.com,",
Tunip Agro Ltd,Companies(Private),Guntur,"65, Bajaj Bhawan, Nariman Point, Mumbai 400021, MH",+91-22-40736300,",onjus@tunip.com,ipo@shareproservices.com,shadabalikhan27@gmail.com,naidumm007@gmail.com,tunip.ipo@shareproservices.com,",
Tulasi Seeds Pvt Ltd,Companies(Private),Guntur,"6-4-6, Arundelpet 4/5, Guntur 522001, AP","+91-863-2223254, +91-863-2224947",",x3eseeds@tulasigroup.com,seeds@tulasigroup.com,contact@tulasiseeds.com,",
Sakthi Coir Exports,Companies(Private),Guntur,"Unit No 9/2, Sakthi Industrial Estate, Udumalpet Road, Pollachi 642003, TN",+91-9842251234,",royalindiaenterprise@gmail.co,",
RND Automation Pvt Ltd,Companies(Private),Guntur,"1/4, Shiv Complex, Kondhwa Budruk, Pune 411048, MH",+91-20-26930100,",rndoffice@gmail.com,vivek@brijchemicals.com,last@rndautomation.com,",
Ravikumar Distilleries Ltd,Companies(Private),Guntur,"17, Kamaraj Salai, Puducherry 605011, PY","+91-413-2343278, +91-413-2331032",",einward.ris@karvy.com,cs@ravikumardistilleries.com,",
GEM Group of Companies,Companies(Private),Guntur,"10/C, 3rd Floor, Middleton Row, Kolkata 700071, WB",+91-33-22177328,"accounts@gemgranites.com,,hr.gpsguntur@gemspublicschools.co.in,Ganji.Gems.Garments@Gmail.Com,x3ehiroshi_sumi@toyobo.jp,hiroshi_sumi@toyobo.jp,","16.3850043,80.5124338"
Bonn Food Industries,Companies(Private),Guntur,"217/A-1, Hiran, Chandigarh Road, Ludhiana 141112, PB",+91-161-6615100,",x3erocfilling@bonn.in,customercare@bonn.in,INDIA@UNITEDSALT.CO.IN,rocfilling@bonn.in,bonn@bonn.in,","16.3235067,80.2697011"
Jayem Logistics Pvt Ltd (Jayem Group),Companies(Private),Guntur,"7, Logistics Park, Export Promotion Industrial Park, Road 10, Whitefield, Bangalore 560066, KA",-41353489,",legalone@gomassystems.com,",
DPS Polymers,Companies(Private),Guntur,"68, Shiv Ganga Industrial Complex, Lankeshwari, Roorkee 247667, UK",-8057900745,,
Chakiat Shipping Services Pvt Ltd,Companies(Private),Guntur,"40, Rajaji Salai, Chennai 600001, TN","+91-44-42961601, +91-44-42961750",",info@chakiat.net,srinivasarao@chakiat.net,",
SAP Media Worldwide Ltd,Companies(Private),Guntur,"509 & 511, Dilkap Chambers, Veera Industrial Estate, Veera Desai Road, Andheri West, Mumbai 400053, MH","+91-22-40401919, +91-22-26731295",",s_ajayan@sapmagazines.com,",
Key Organics Pvt Ltd,Companies(Private),Guntur,,,"legal@arcl.in,x22legal@arcl.in,chcsreddy46@gmail.com,x3elegal@arcl.in,vijaypalkar@indoaminesltd.com,",
