Name,Sector,City,Address,Phone,Email,Lat-Long
Dexterity TechSys,Companies(Private),Gurgaon,"575/4 & 5, Shankar Chatra Apartment, 4th Floor, Opposite Kesari Wada, Shaniwarpeth, Pune 411030, MH","+91-7350000921, +91-20-24499444","webarenatechnology@gmail.com,sameer@dexterityindia.in,amc.tally@gmail.com,,","28.4225605,76.6600766"
Alacriti Infosystems Pvt Ltd,Companies(Private),Gurgaon,"80, 84, 8, Melange Tower, Madhapur White Fields, Kondapur, Hyderabad 500032, TS",+91-40-42617000,"last@alacriti.com,,info@alacriti.com,admin.india@alacriti.com,",
Digital Mahendra Marketing Agency,Companies(Private),Gurgaon,"GET DIRECTIONS 185, Khajuri Kalan Road Khanta Sarwan Bhgwati Bhopal, Madhya Pradesh 462022 India",+9189892 64923,,
Maxworth Electronic Systems Pvt Ltd,Companies(Private),Gurgaon,"909, 58-C, Shahpuri's Tirath Singh Tower, Community Centre Pankha Road, Janakpuri, New Delhi 110058, DL",+91-11-25552171,"ajay@maxworthsystem.com,,Ajay@maxworthsystem.com,u003eajay@maxworthsystem.com,",
Lynx,Companies(Private),Gurgaon,"101-103, Sector 22, Backside, Chandigarh 160011, CG",+91-172-4628643,",info@diverselynx.com,info@mastersindia.co,info@lynxdesigners.com,alokyadav@lynxcomponents.in,",
Luthria Industries (Leon Switches),Companies(Private),Gurgaon,"304, Owners Industrial Estate, Gabriel Road, Mahim, Mumbai 400016, MH",+91-22-24449393,,
KSE Electricals Pvt Ltd,Companies(Private),Gurgaon,"33-A, 7, 2, 3, 9, Chowringhee Road, Kolkata 700071, WB",+91-33-22887601,",j_doe@kse.in,janedoe@kse.in,cs@kse.in,info@kse.in,",
Jindal Rectifiers,Companies(Private),Gurgaon,"195, Sector-24, Faridabad 121005, HR",+91-129-4318001,",contacts@jindaldrilling.in,vik12876@yahoo.co.in,x3evik12876@yahoo.co.in,",
Insucon Cables & Cond Pvt Ltd,Companies(Private),Gurgaon,"314-A, 3, City Centre, Sansar Chandra Road, Jaipur 302001, RJ",+91-141-3919092,,
Icon Controls Pvt Ltd,Companies(Private),Gurgaon,"127, Fie Patparganj Industrial Area, New Delhi 110092, DL",+91-11-22143924,",info@iconcontrols.net,iconfacilities@gmail.com,india.service@valmet.com,last@iconcontrols.net,info@incontrols.net,",
Hitco Electricals Pvt Ltd,Companies(Private),Gurgaon,"50-B, Sector-67, Noida 201301, UP",+91-120-09810008907,",CA.SUSHIL.TAYAL@GMAIL.COM,",
Hita Technology Pvt Ltd,Companies(Private),Gurgaon,"Millennium City, It Park, 8-E, Tower 2, Dn 62, Sector-5, Kolkata 700091, WB",+91-33-40032403,"admin@hitaups.com,,j_doe@hitaups.com,ankit.bhatia.va@infra-systems.hitachi.com,",
Helukabel India Pvt Ltd,Companies(Private),Gurgaon,"305-F, Kailash Complex, Hiranandani Gardens Link Road, Vikhroli, Mumbai 400079, MH",+91-22-25185841,"j-doe@helukabel.in,,hbsingh@helukabel.in,",
Hella India Lighting Ltd,Companies(Private),Gurgaon,"1-S, 6, 184, Platinum Tower, Gurgaon 122016, HR",+91-124-4991700,"sales.india@hella.com,,j-d@hella.com,x3esales.india@hella.com,",
Grid Power Conversion Pvt Ltd,Companies(Private),Gurgaon,"3, 2, 9, A, West Of Chord Road, Mahalaxmi Puram, Bangalore 560086, KA",+91-80-23196030,",dtandon@powergridindia.com,satpalynsl015@gmail.com,panth@gridpowerconversion.com,",
Frontline Electronics & Machinery Pvt Ltd,Companies(Private),Gurgaon,"49, Basement, Kamdhenu Complex, Opposite Sahjanand College, Panjrapole Ambawadi, Ahmedabad 380015, GJ",+91-79-26304066,,
Evans Electric Pvt Ltd,Companies(Private),Gurgaon,"430, 3, Aarey Milk Colony, Orchard Mall, Royal Palms Estate, Mumbai 400065, MH",+91-22-28729506,",evanselectric.mumbai@gmail.com,sales@evanselectric.co.in,jane@evanselectric.co.in,",
Entesla,Companies(Private),Gurgaon,"2, Saravana Complex, Gautham Nagar, Bowenpally, Hyderabad 500011, TS",+91-40-9953363990,",andamanfiart.private@gmail.com,",
Eleics Design,Companies(Private),Gurgaon,"241-B, Gidc Electronic Estate, Sector 25, Gandhinagar 382010, GJ",+91-79-09974304590,",rakesh@concordia-ind.com,jane.d@eleics.com,design@eleics.com,",
Electro Magnetic Flux Industries,Companies(Private),Gurgaon,"501, 14, East Cross Road, Mkb Nagar, Chennai 600039, TN",+91-44-9444025269,",eSales@radix.co.in,kolkata@electrofluxpvtltd.com,",
Economic Research India Pvt Ltd,Companies(Private),Gurgaon,"5, 7, Sterling House, Sorabji Santuk Lane, Dr. Cawasji Hormasji Street, Marine Lines 400002, MH",+91-22-61011700,",j_d@eril.co.in,",
Diac Spaa Technologies Pvt Ltd,Companies(Private),Gurgaon,"D, Ikon Appartment, Chii-3, Noida 201310, UP",+91-120-4340625,",ajain@diacspaa.com,",
Delta Transformers Pvt Ltd,Companies(Private),Gurgaon,"5, 4, Kirti Nagar, Industrial Area, New Delhi 110015, DL",+91-11-41425616,",info@deltatransformer.com,itma_2006@itma.org.in,rxtepl@cal3.vsnl,",
Delta Power Solutions India Pvt Ltd,Companies(Private),Gurgaon,"43, Sector 35, Gurgaon 122001, HR",+91-124-4874900,",u003edeepak.sharma@deltaww.com,ups.india@deltaww.com,info@deltaelectronicsindia.com,",
Daksh Energy Systems,Companies(Private),Gurgaon,"95-W, Annupuram Ecil Post, Hyderabad 500062, TS",+91-40-09885329900,",dakshenergy@yahoo.co.in,info@dakshiiot.com,",
Byte Electro Pvt Ltd,Companies(Private),Gurgaon,"437-C, Sector 10, Noida 201301, UP",+91-120-4246517,,
Bhutoria Refrigeration Pvt Ltd,Companies(Private),Gurgaon,"340, 2722, Motilal Nagar, Opposite Bangur Nagar, 2 Link Road, Goregaon, Mumbai 400090, MH",+91-22-28788849,"pearl.ptc@gmail.com,,zen@zenac.com,akhil@bria.net.in,info@bria.net.in,u003einfo@bria.net.in,",
Berlia Electricals Polymer Pvt Ltd,Companies(Private),Gurgaon,"1826, Amarnath Building, Bhagirath Palace, New Delhi 110006, DL",+91-11-23866099,",beppldelhi@gmail.com,yellowindia@gmail.com,berliapipes1@gmail.com,x3eberliapipes1@gmail.com,",
Bergen Systems Pvt Ltd,Companies(Private),Gurgaon,"690, Phase 5, Udyog Vihar, Gurgaon 122016, HR",+91-124-4599124,"x3eashish.puri@bergenengines.com,,ajay@bergensys.com,last@bergengroupindia.com,ashish.puri@bergenengines.com,x3eajay@bergensys.com,sales@bergensys.com,",
Belimo Actuators India Pvt Ltd,Companies(Private),Gurgaon,"23, ABCD Government Industrial Estate, Charkop, Kandivali 400067, MH",+91-22-40254800,",Sunil.Agre@belimo.ch,info.india@belimo.ch,",
Atotech India Pvt Ltd,Companies(Private),Gurgaon,"66, K.M.Stone, Delhi Jaipur Highway, Sidhrawali, Gurgaon 123413, HR",+91-124-2679620,",x3eatotech.mnsr-legal@atotech.com,atotech.mnsr-legal@atotech.com,atotech.hary-admin@atotech.com,ishant.baranwal@atotech.com,atotech.at@atotech.com,u003eishant.baranwal@atotech.com,",
A. H. Enterprise,Companies(Private),Gurgaon,"1-E, 10, Bharat Nagar Co-Op, Housing Society, Grant Road, Mumbai 400007, MH",+91-22-23009885,",raj@rajinfo.co.in,vikas@cabhay.co.in,info.india@ocs.co.uk,",
Zoom Fabrics Pvt Ltd,Companies(Private),Gurgaon,"2nd Floor, Super Tex Tower, Opposite Kinnary Cinema, Aanjada Nagar, Bhatena, Surat 395002, GJ","+91-261-2326362, +91-261-2323970",",vishal.ahuja@sterlingtrimds.com,info@zoomfabrics.com,accounts@gmfabrics.com,HMehta@audaxprofab.com,x3eaccounts@gmfabrics.com,x3eHMehta@audaxprofab.com,",
Vishesh Apparels,Companies(Private),Gurgaon,"D-107, Sector 63, Noida 201301, UP","+91-120-4217777, +91-9811448121",",visheshapparels@gmail.com,yogesh@asfashions.com,rakesh@visheshapparels.com,jane@visheshapparels.com,",
Viram Plastic Industries,Companies(Private),Gurgaon,"Santokbai Compound, Nari Road, Kumbharwada, Bhavnagar 364006, GJ","+91-278-2523111, +91-278-2428683","machinopl@vsnl.com,marketing@vikasecotech.com,relwood.reliance@ril.com,,",
Sree Ayyanar Spinning & Weaving Mills Ltd (Pioneer Asia),Companies(Private),Gurgaon,"Mill Premises, Mallanginar, Aruppukottai 626109, TN",+91-4566-304100,,
Usha Garments Mfg. Co. Pvt Ltd,Companies(Private),Gurgaon,"13, Western Industrial Estate, MIDC, Andheri East, Mumbai 400093, MH",+91-22-40773737,",hr@usha.co.in,kumarbros1971@gmail.com,accounts@usha.co.in,raj@usha.co.in,corporate@ushainternational.com,",
The Crystal Clothing Company,Companies(Private),Gurgaon,"4/688, Nochipalayam Road, Veerapandi, Tirupur 641605, TN","+91-421-2214545, +91-9894950055",",madya@greenlightcorp.net,akshaybansal.ab1@gmail.com,",
Oswal Woolen Mills Ltd (Nahar Group) (Nahar),Companies(Private),Gurgaon,"GT Road, Sherpur, Ludhiana 141001, PB","+91-161-2542501, +91-161-2542507",",x3eowmipo@owmnahar.com,oswal@owmnahar.com,x3emsood@owmnahar.com,csowm@owmnahar.com,owmipo@owmnahar.com,msood@owmnahar.com,",
Supreme Impex,Companies(Private),Gurgaon,"S-59, Industrial Area Phase 2, Okhla, New Delhi 110020, DL","+91-11-26385074, +91-11-26385075",",bikaner_agrico@yahoo.co.in,Marketing@supremeimpex.biz,ipo@supremeexports.com,supreme_india@hotmail.com,",
Sarvesh Spinners Pvt Ltd,Companies(Private),Gurgaon,"Ludhiana Barnala Highway, Trident Towards, Barnala 148101, PB","+91-1679-941704, +91-1679-262666","keshav_singh@welspun.com,,amd@arvind.in,",
Jharkhand Silk Textile and Handicraft Development Corporation Ltd (JHARCRAFT),Companies(Private),Gurgaon,"DIC Campus, Ratu Road, Ranchi 834001, JH",+91-651-2280042,"jharcraft@gmail.com,,",
Gokak Textiles Ltd (SP),Companies(Private),Gurgaon,"Belgaum, Gokak Falls, Gokkak 591308, KA","+91-8332-226971, +91-8332-225154",",jane@gokakmills.com,marketing@gokaktextiles.com,doejane@gmail.com,",
Gangamani Fashions (Art & Crafts),Companies(Private),Gurgaon,"B-4, Rela Chambers, Near Galta Gate Police Station, Raghunath Colony, Jaipur 302003, RJ","+91-141-2641341, +91-141-3262341",,
Orient Apparels Pvt Ltd,Companies(Private),Gurgaon,"E-46/2, Phase 2, Industrial Area, Okhla, New Delhi 110020, DL","+91-11-26386800, +91-11-41613632",",x3ealok.pandey@orientcraft.com,ravisingh@orientfashions.com,x3eravisingh@orientfashions.com,info@orientfashions.com,alok.pandey@orientcraft.com,sameer@orientknits.com,",
New Hosiery Impex Pvt Ltd,Companies(Private),Gurgaon,"38/A, Kansaripara Road, Kolkata 700025, WB",+91-8046041048,"debasis@newhosiery.com,,manoj@swayamindia.com,vistar_in@yahoo.co.in,",
Neel Kamal Sharma Designs Export,Companies(Private),Gurgaon,"2296, Hudson Lane, Kingsway Camp, New Delhi 110009, DL",+91-11-27443153,",neelkamalsharma84@gmail.com,neelkamalsharma1@rediffmail.com,info@reedandshuttle.com,",
Malwa Cotton Spinning Mills Ltd,Companies(Private),Gurgaon,"230, Industrial Area-A, Ludhiana 141003, PB",+91-161-2224201,",ipo@kotak.com,malwa.ipo@kotak.com,x3ecompany.secretary@malwagroup.com,company.secretary@malwagroup.com,djane@vsogroup.com,",
