Name,Sector,City,Address,Phone,Email,Lat-Long
The Fitness Box - New Colony - Gurgaon,Gym,Gurgaon,"P21 , Variman Point, Circular Rd, New Colony, Gurgaon Rural, Gurugram, Haryana 122001",098990 31192,",nconnect@thefitnessbox.in,connect@thefitnessbox.in,","28.4686551,77.0117589"
VLCC - DLF Phase 1 - Gurgaon,Gym,Gurgaon,"A-14/23, DLF Phase 1, Gurgaon 122002, HR","+91-124-2354900, +91-124-2354901, +91-124-2352839",",feedback@vlccwellness.com,aman.fatima@vlccwellness.com,gurgaon.hr@vlccwellness.co,",
VLCC - Gurgaon,Gym,Gurgaon,,,",vxxxxa@vlccwellness.com,aman.fatima@vlccwellness.com,feedback@vlccwellness.com,gurgaon.hr@vlcc.co.in,mxxxxxxe@vlccwellness.com,",
The Westin Sohna Resort And Spa - Sohna Road - Gurgaon,Gym,Gurgaon,"Vatika Complex, Near DT Cinema, Sohna Road, Gurgaon 122003, HR",+91-11-4508888,",westin.sohna@westin.com,",
Sports Fit World - Golf Course Road - Gurgaon,Gym,Gurgaon,"1st Floor, Global Foyer, Golf Course Road, Sector 43, Gurgaon 122002, HR","+91-124-4209191, +91-124-4219191",,
Deen Dayal Yoga At Home - Sector 39 - Gurgaon,Gym,Gurgaon,"612, Near Unitech Cyber Park, Sector 39, Gurgaon 122001, HR",+91-11-66217389,,
Aditya Yoga - Sector 23 - Gurgaon,Gym,Gurgaon,"C-1, Palam Vihar, Near By Tau Devilal Park, Sector 23, Gurgaon 122015, HR",+91-11-66720146,"23@rediffmail.com,,",
Gold Gym - Gurgaon,Gym,Gurgaon,,,"WeCare@GoldsGym.in,Palamvihar.gurgoan@goldgymindia.com,mgroad.gurgaon@goldsgymindia.com,,",
Golds Gym - Palam Vihar - Gurgaon,Gym,Gurgaon,"1, 2, 3rd Floor, Vaishali Arcade, Near Axis Bank, H Block, Palam Vihar, Gurgaon 122017, HR",+91-11-66433598,",Palamvihar.gurgoan@goldgymindia.com,",
Elixir Salon - Gurgaon,Gym,Gurgaon,,,",info@ozoneclubs.com,elixir@gmail.com,ozonetheluxurysalon@gmail.com,",
Elemention Health and Sport - Gurgaon,Gym,Gurgaon,"3/A, Sri Aurobindo Marg, Adchini, Delhi 110017, DL",+91-11-26514311,",infinity@elemention.com,pannu.vikram88@gmail.com,",
Ministry of Fitness - Gurgaon,Gym,Gurgaon,,,",info@mofgym.in,",
Beauty Channel - Gurgaon,Gym,Gurgaon,,,",info@beautychannel.co.in,",
Anjum Beauty Parlour - Gurgaon,Gym,Gurgaon,,,",makeupbyanjumk@gmail.com,",
