Name,Sector,City,Address,Phone,Email,Lat-Long
Ampersand Group,Companies(Private),Guwahati,,,",info@ampersandgroup.in,",
Global Electronics,Companies(Private),Guwahati,"3-5-331, Narayanaguda, Hyderabad 500029, TS",+91-40-23221391,",pradip.kar@cgglobal.com,cginvestors@datamaticsbpm.com,x3ecginvestors@datamaticsbpm.com,warranty@euronics.co.in,md@amtron.in,apscguntur@gmail.com,x3emd@amtron.in,surat@jaquar.com,",
Bhagwati Auto Industries,Companies(Private),Guwahati,"102, Udhyognagar Colony, Opposite Ganesh Machine Tools, Gondal Road, Bal Adalat, Rajkot 360002, GJ",+91-281-2374757,",bhatoliajsr@sify.com,ethixgroup@gmail.com,",
MachinePulse Tech Pvt Ltd,Companies(Private),Guwahati,"3, AFL House, Lok Bharati Complex, Maroshi Road, Marol, Andheri 400059, MH",+91-22-61741608,",info@nesolindia.com,joshi.mandar@mahindra.com,",
BF Utilities Ltd,Companies(Private),Guwahati,"Mundhwa Pune Cantonment, Pune 411036, MH",+91-20-66292550,"Bmitkari@bfutilities.com,secretarial@bfutilities.com,Secretarial@bfutilities.com,,",
Associated Electrical Construction Company,Companies(Private),Guwahati,"14, Bepin Behari Ganguly Street, Kolkata 700012, WB",+91-33-22369514,"n@hplindia.com,aeccpl@gmail.com,Uttranchal@hplindia.com,,",
Dorizoe Lifesciences Ltd,Companies(Private),Guwahati,"Sydney House, Opposite Satyagraha Chavni, Old Premchandnagar Road, Bodakdev, Ahmedabad 380054, GJ",,",cphicustomerservice@informa.com,secretarial.corp@altheonenterprises.com,",
Vet needs Group,Companies(Private),Guwahati,"1150, 5th Main, A Block, 2nd Stage, Rajaji Nagar, Bangalore 560010, KA","+91-80-23375564, +91-9980005801",,
Novus Animal Nutrition India Pvt Ltd,Companies(Private),Guwahati,"1st Floor, ? Tower ?B, India Land Tech Park, No 14, 3rd Main Road, Ambattur Industrial Estate, Chennai 600058, TN","+91-44-26880782, +91-44-26880786",",cs@nexdigm.com,",
Eatelish,Companies(Private),Guwahati,"A/5, 201, Lok Yamuna, Military Road, Marol, Andheri East, Mumbai 400059, MH",+91-9930782685,,"26.1505347,91.3966792"
Department of Animal Husbandry Dairying & Fisheries (DADF),Companies(Private),Guwahati,"Krishi Bhawan, Parliament Street, New Delhi 110001, DL",+91-11-23389340,,"26.1535008,91.6977574"
Associated Alcohol & Breweries Ltd,Companies(Private),Guwahati,"4th Floor, BPK Star Tower, Above Shopper Stop, A. B. Road, Indore 452008, MP","+91-731-6662500, +91-731-6662400",,"26.1519144,91.7305698"
Opal,Companies(Private),Guwahati,"116-A, R.S.Puram, Venkatasamy Road, Coimbatore 641002, TN",+91-422-4399322,",x3evenkatesh.bangera@resources-in.com,rajan.kk@opalindia.in,venkatesh.bangera@resources-in.com,","26.1754639,91.7144504"
Bhagwati Printers,Companies(Private),Guwahati,"114, Adhiyaru Industrial Estate, New Sun Mill Compound, Lower Parel, Mumbai 400013, MH",+91-22-40821211,",bhagwatiprinters57@gmail.com,","26.1656931,91.6762779"
Enhanced WAPP Systems India Pvt Ltd,Companies(Private),Guwahati,"914-B, 9th Floor, Park Centra, National Highway 8, Sector 30, Gurgaon 122001, HR",+91-124-6710000,",finance@wappsys.com,","26.1415472,91.0433618"
Detox Corporation Pvt Ltd,Companies(Private),Guwahati,"3rd Floor, K. G. Chambers, Opposite Gujarat Samachar, Udhna Darwaja, Ring Road, Surat 395002, GJ","+91-261-2351248, +91-261-2346181","siby.mathew@kdhptea.co.in,,cyrixqa@gmail.com,accounts@detoxgroup.in,","21.1830924,72.8189261"
Webdunia.com India Pvt Ltd,Companies(Private),Guwahati,"582, Labh Ganga, MG Road, Indore 452003, MP",+91-731-4273409,",corporatewebdunia@webdunia.net,corporate.india@rws.com,swati.mittal@webdunia.net,","26.1630419,91.7424631"
Printers Den Packaging,Companies(Private),Guwahati,"9, IDA, Balanagar, Hyderabad 500037, TS","+91-40-23079541, +91-40-23078143",",teamlabelsindiapltd@gmail.com,",
Adarsh Udyog,Companies(Private),Guwahati,"2, Nangli Sakrawati Industrial Area, New Delhi 110043, DL","+91-11-25321632, +91-11-25324797",",jainchopra.company@gmail.com,adarshudyog@yahoo.com,jainchopra.company@yahoo.com,",
Naseba Communication Pvt Ltd,Companies(Private),Guwahati,"89, SVR Complex, Madiwala Hosur Main, Bangalore 560068, KA",-30280546,",admin@naseba.com,",
Endemol India,Companies(Private),Guwahati,"Lotus Grandeur, 16th Floor, Veera Desai Road, Andheri West, Mumbai 400053, MH",-42163931,",contact@endemolshineindia.co.in,x3eFinance@endemolshine.co.in,Finance@endemolshine.co.in,",
Associated Broadcasting Co. Pvt Ltd (TV9),Companies(Private),Guwahati,"97, Road 3, Banjara Hills, Hyderabad 500034, TS","+91-40-23490000, +91-9948290901",,
JV Plastic Industries,Companies(Private),Guwahati,"Plot No 9, DIF Industrial Area, Najafgarh Road, Moti Nagar, New Delhi 110015, DL",-8586986710,"info@kpatelgroup.com,info@kpatelgroup.com,",
Proactive Universal Group,Companies(Private),Guwahati,"7, Barakhamba Road, New Delhi 110001, DL",+91-11-43616263,"service2.universal@gmail.com,tool.universal@gmail.com,",
Northeast Broking Services Ltd,Companies(Private),Guwahati,"5-9-22, My Home, Sarovar Plaza, 3rd Floor, Secretariat Road, Saifabad, Hyderabad 500063, TS",+91-40-30216666,"grievance@northeastltd.com,",
