Name,Sector,City,Address,Phone,Email,Lat-Long
Krishna Electronics,Companies(Private),Gwalior,"25, Engineer Campus Garden, Arambakkam, Chennai 600106, TN",+91-44-23632498,",ajay@krishncables.com,",
Sagar Ratna Restaurant Pvt Ltd,Companies(Private),Gwalior,"C-2, 2nd Floor, Malviya Nagar, New Delhi 110017, DL",+91-11-47377300,",jobs@sagarratna.in,",
Chiros Pharma,Companies(Private),Gwalior,"Bye Pass Road, Kather, Solan 173212, HP",,",ea@criuslife.com,",
TT Ltd,Companies(Private),Gwalior,"879, Master Prithvi, Nath Marg, Karol Bagh, New Delhi 110005, DL",+91-11-45060708,",ttionlinebuzines@gmail.com,baghelcssdm@gmail.com,",
Gyan Flavours Export,Companies(Private),Gwalior,"HCMR Complex, Main Wazirabad Road, East Gokul Pur, New Delhi 110094, DL",+91-11-22814681,",ojasvi.gfepl@gmail.com,flavoursgyan@gmail.com,overaconst@rediffmail.com,","28.7011582,77.2855534"
B P Oil Mills Ltd,Companies(Private),Gwalior,"17/194, Maithan, Mantola, Agra 282003, UP",+91-562-6544128,",raju@libertyoilmills.com,x3econtact@rajoilmillsltd.com,INFO@BPOILMILLS.COM,contact@rajoilmillsltd.com,x3eraju@libertyoilmills.com,info@bpoilmills.com,","26.2474433,78.2226709"
Ambience Refrigeration Pvt Ltd,Companies(Private),Gwalior,"Plot No 33, Bidadi Industrial Area, Sector 2, Phase2, Mysore Road, Bangalore 562109, KA","+91-80-49357769, +91-9686697816",",binnyambience@gmail.com,","26.2149716,78.1716622"
"Agro Tech Foods Ltd (ConAgra Foods, Inc.)",Companies(Private),Gwalior,"15th Floor, Tower C, Building No 10, Phase II, DLF Cyber City, Gurgaon 122002, HR",+91-124-4593700,",jyoti.chawla@atfoods.com,x3ejyoti.chawla@atfoods.com,","26.2643722,78.198814"
Abhi Impact Logistics Solutions Pvt Ltd,Companies(Private),Gwalior,"76/3, 16, Primrose The Mall, 3rd Floor, Building B, Pune 411045, MH","+91-20-40032121, +91-20-40034237","jitendra.joshi@abhigroup.co.in,,business@abhigroup.co.in,",
Live Wire Entertainment Services,Companies(Private),Gwalior,"3, Fern Place, Fern Road, Gariahat, Kolkata 700019, WB",-32921587,,
Aadarsh Advertising,Companies(Private),Gwalior,"A-374, Double Storey, Kalkaji, New Delhi 110019, DL","+91-11-41605556, +91-9818317736",",accounts@aadarsh.com,digicorp@rediffmail.com,ajaykumarrav0@gmail.com,vinodkumarpandey1271@gmail.com,info@aadarsh.com,",
Garib Nawaz Polymer Pvt Ltd,Companies(Private),Gwalior,"DR Morepen Road, Thana, Baddi, Nalagarh 173205, HP",-9654308214,"info@geepee.in,partap.malik@geepee.in,info@geepee.in,partap.malik@geepee.in,sunil.raisinghani@geepee.in,info@geepee.in,",
