Name,Sector,City,Address,Phone,Email,Lat-Long
Fine Cab Wires & Cables Pvt Ltd,Companies(Private),Hubli,"2, 3, 465, 7, Minister Road, Secunderabad 500003, AP",+91-40-27840525,,
Nectar Lifesciences Ltd,Companies(Private),Hubli,"SCO 38/39, Sector 9-D, Madhya Marg, Chandigarh 160009, CH",,"cs@neclife.com,,x3ecs@neclife.com,einward.ris@karvy.com,contact@safetyfuse.in,info.cavikas@gmail.com,",
Naprod Life Sciences Pvt Ltd,Companies(Private),Hubli,"304, Town Centre, 3rd Floor, Andheri Kurla Road, Andheri East, Mumbai 400059, MH",,"info@milanlabs.com,,last@naprodgroup.com,mohan.jain@naprodgroup.com,jane-d@naprodgroup.com,x3emohan.jain@naprodgroup.com,",
Eli Lilly and Company India Pvt Ltd,Companies(Private),Hubli,"92, Institutional Area, Sector 32, Gurgaon 122001, HR",,",x3esinghal_aditya@lilly.com,birinc_yusuf_bilal@lilly.com,singhal_aditya@lilly.com,dhoot_vishal@lilly.com,",
Srinivasa Hatcheries Ltd (Srinivasa),Companies(Private),Hubli,"Plot No 512, Road No 31, Jubilee Hills, Hyderabad 500033, TS","+91-40-23633501, +91-40-23633500",",corpfiling@srinivasa.co,",
Shri Varalakshmi Company,Companies(Private),Hubli,"Sri Varalakshmi Divyaa Tower, 320, Vivekananda Street, New Fairlands, Salem 636016, TN","+91-427-2332955, +91-427-4041660",",mail@varalakshmisago.com,pradeep.kumar@careedge.in,",
Narasus Exports,Companies(Private),Hubli,"Post Box No 701, 16 Court Road, Johnsonpet, Salem 636007, TN",+91-427-2417560,",vijay_rao@nsail.com,",
Kepra Industries,Companies(Private),Hubli,"A-301, Anjelina Apartment, Old Police Lane End Off Sarojini Road, Vile Parle West, Mumbai 400056, MH",+91-22-26191182,,
Arun Art Printers Pvt Ltd,Companies(Private),Hubli,"109-A, SK Kapoor Premises, Opposite Nehru Garden, Sion East, Mumbai 400022, MH",+91-22-24073451,",biren.shah@arunart.co.in,","15.3573462,74.7794667"
Practo Technologies Pvt Ltd,Companies(Private),Hubli,"165, 4th Place, RPS Green, Krishna Raju, Panduranga Nagar, Bangalore 560076, KA","+91-80-49568555, +91-8880588999",",JohnSmith@instahms.com,compliance-team@practo.com,John@instahms.com,shashank@practo.com,","15.3573462,74.7794667"
VSB Logistic India Pvt Ltd,Companies(Private),Hubli,"19/405, Ganesh Villa, 4th Floor, Sector 21, Kamothe, Navi Mumbai 410209, MH",-64144793,",samir.raval@jmcprojects.com,vlexport@yahoo.com,cs@jmcprojects.com,expdoc@vsblogistics.com,vsblogisticsindia@gmail.com,partha.saradhi@in.g4s.com,",
Murugappa Morgan Thermal Ceramics Ltd (Murugappa Group),Companies(Private),Hubli,"Old No 234, New No 2, Dare House Complex, Post Office Box 1570, NSC Bose Road, Chennai 600001, TN","+91-44-25345986, +91-44-25306875","x3eRamkumar.Rajasekharan@morganplc.com,Raja.Mukherjee@morganplc.com,Ramkumar.Rajasekharan@morganplc.com,,",
Vmg Bpo,Companies(Private),Hubli,"2-C, 286, Domlur 2 Stage, Bangalore 560071, KA",,"Compliance@xchanging.com,einward.ris@karvy.com,magicmaheshsg@yahoo.com,magicmaheshsg@yahoo.com,magicmaheshsg@yahoo.com,magicmaheshsg@yahoo.com,Compliance@xchanging.com,einward.ris@karvy.com,magicmaheshsg@yahoo.com,magicmaheshsg@yahoo.com,",
Welding Specialities India Pvt Ltd,Companies(Private),Hubli,"50-D, MIDC Industrial Area, Ambad, Nashik 422010, MH",-6697994,"finance@wynnsmekuba.com,finance@wynnsmekuba.com,finance@wynnsmekuba.com,finance@wynnsmekuba.com,finance@wynnsmekuba.com,finance@wynnsmekuba.com,",
Bond Chem India Pvt Ltd,Companies(Private),Hubli,"59, Biplabi Anukul, Chandra Street, Kolkata 700072, WB","+91-33-65335486, +91-33-65335485","brahmaputrahspl@yahoo.in,brahmaputrahspl@yahoo.in,",
SM Mishra & Associates Recruitment & Management Service,Companies(Private),Hubli,"33-A, 14-C, 15th Floor, Chatterjee International, Jawahar Lal Nehru Road, Kolkata 700071, WB",+91-9007670138,"joe.selvaraj@sysvine.com,",
Apoorva Resource Management,Companies(Private),Hubli,"209, 3rd Cross, Vivek Nagar, Bangalore 560047, KA","+91-80-25716274, +91-80-25545594",,
