Name,Sector,City,Address,Phone,Email,Lat-Long
Fun Plus Fit - Kondapur - Hyderabad,Gym,Hyderabad,"F9XQ+VMM, Nizampet Rd, Jai Bharat Nagar, Hyder Nagar, Vasantha Nagar, Hyderabad, Telangana 500090",+91-9989880557,,"17.4997231,78.3788794"
Nir Wayfit Solutions - Kukatpally - Hyderabad,Gym,Hyderabad,"Phase 2, Mahadevpur Colony, Hyderabad, Telangana 500072",070131 32179,",info@nirwayfit.com,","17.5154173,78.4096031"
Fitness King Gym - Liberty Road - Hyderabad,Gym,Hyderabad,"3/120, Flat:120, Sagarview Building, 1-2-524, Liberty Rd, Gagan Mahal, Domalguda, Himayatnagar, Hyderabad, Telangana 500029",098482 76747,",fitnesskinggym@gmail.com,","17.4077976,78.4742256"
Ultimate Fitness Studio - Champapet - Hyderabad,Gym,Hyderabad,"above ICICI Bank ATM, APSRTC Officers Colony, Champapet, Hyderabad, Telangana 500079",090143 88444,,"17.3449669,78.5230003"
Zubaidi Fitness Center - Charminar - Hyderabad,Gym,Hyderabad,"20-4-231/2/A,Rahmat Manzil, Khilwat, Near ChowMohalla Palace,, Charminar, Ghansi Bazaar, Hyderabad, Telangana 500002",097038 98027,,"17.3590011,78.4674887"
Z Fitness - Lb Nagar - Hyderabad,Gym,Hyderabad,"11-21-13,11, 21-14, Rd Number 6, NTR Nagar, L. B. Nagar, Hyderabad, Telangana 500074",090307 69083,",f1fitnessone@gmail.com,","17.3579364,78.5431954"
Your Fitness Pulse - Alwal - Hyderabad,Gym,Hyderabad,"D.no-1-5-154/1, Near Indira Gandhi statue Central Bank of India bilding 2nd floor, Surya Nagar Colony, Old Alwal, Bolarum, Secunderabad, Telangana 500010",098497 78948,,"17.5090932,78.5024299"
Yolo Fitness By Suraj - Abids - Hyderabad,Gym,Hyderabad,"5th Floor PM House, Road, Chirag Ali Ln, Mahesh Nagar, Abids, Hyderabad, Telangana 500001",098480 81347,,"17.3931402,78.471826"
Wow Fitness Studio - Miyapur - Hyderabad,Gym,Hyderabad,"Top Floor, Satyanarayana Enclave, Above Reliance Digital and A-Longe, Madinaguda, near Miyapur, Hyderabad, Telangana 500050",086887 75555,",wow.fitness.studio@gmail.com,","17.4959223,78.3349156"
Workoutz Gym Health Club And Fitness Centre - Nagole - Hyderabad,Gym,Hyderabad,"500068, 2-3-27, Rd Number 1/C, Cooperative Bank Colony, Nagole, Hyderabad, Telangana 500068",090992 87216,"himayatnagar.hyderabad@goldsgym.in,,hello@cultfit.com,workoutzgym@gmail.com,","17.3747467,78.5570241"
