Name,Sector,City,Address,Phone,Email,Lat-Long
Neue Page Service,Companies(Private),Indi,"New No.1, Muneshwara Temple Nadugada, 1, 24th E Cross Rd, Ejipura, Bengaluru 560047, Karnataka",+91-8554349100,,
SymphonyAI,Companies(Private),Indi,,,",John@symphonyai.com,investments@symphonyai.com,press@symphonyai.com,chandru@symphonyai.com,partnerships@symphonyai.com,JohnSmith@symphonyai.com,x3eJohn@symphonyai.com,",
Ramagya Group,Companies(Private),Indi,,,",adv.shashi11@gmail.com,schoolramagya@gmail.com,",
Publicis Groupe,Companies(Private),Indi,,,",x3ejane.doe@publicisgroupe.com,jane.doe@publicisgroupe.com,privacyofficer@publicisgroupe.com,contact@publicisgroupe.com,",
Pirates BPO,Companies(Private),Indi,,,",ankitmehtaankit06@gmail.com,",
iGlobsyn Technologies,Companies(Private),Indi,iGlobsyn Technologies,+91-9033921920,",gaurav@iglobsyn.com,iglobsyn@gmail.com,",
Acolad,Companies(Private),Indi,,,",Jayashree.Pillai@amplexor.com,info@accoladeelectronics.com,info.accoladeholdings@gmail.com,n.atelier@gmail.com,",
Ratna Global Technologies,Companies(Private),Indi,"CNR Complex, 2nd Floor, Near Chintalkunta Checkpost, Tirumala Colony, LB Nagar, Hyderabad 500074, TS",,",last@ratnaglobaltech.com,sales@truppglobal.com,prakash.ratna@letmecall.com,u003eprakash.ratna@letmecall.com,x3esales@truppglobal.com,",
Information Dynamics,Companies(Private),Indi,"Elnet Software City, 6th Floor, Rajiv Gandhi Salai, Taramani, Chennai 600113, TN",+91-44-46702200,",selva@in.infodynamic.net,debidutta.mishra@in.infodynamic.net,first@infodynamic.net,sales.india@infodynamic.net,",
IT Trident Software,Companies(Private),Indi,"45, Roop Emerald, 3rd Floor, North Usman Road, T Nagar, Chennai 600017, TN",+91-44-48550526,,
Purpple Designs,Companies(Private),Indi,"A/C- 2 Sahabagan, Jyangra, 1st Floor, Rajarhat Road, Kolkata, India",+91-9007416035,",last_initial@purplle.com,",
Webkey Technology,Companies(Private),Indi,"1033, I Block, Jahangirpuri, New Delhi 110033, DL",+91-7803084538,,
Ferco Shutters And Seating Systems Pvt Ltd,Companies(Private),Indi,"No: 8/1A2B & 8/2A2 Industrial Shed, Parivakkam Road Opp. Bisleri, Seneerkuppam Poonamalle, Chennai 600056, Tamil Nadu, India",+91-18002582526,"nandini@fercoshutters.com,accountsind@fercoshutters.com,,",
Medilight Healthcare,Companies(Private),Indi,"H.NO 8-2-277/45, UBI Colony, Near TV9 news office, Road no 3, Banjara Hills, Hyderabad 500034,TS",+91-9182414181,",snigam141189@gmail.com,india@medicount.global,bhopal@medilightindia.com,srinivasa.k.yadav@gmail.com,",
Arcitech,Companies(Private),Indi,"C-208, Kamala Mills, Trade World, Lower Parel, Mumbai 400013, MH",+91-22-49632200,",askstantec@stantec.com,x3eaccounts@team1architects.com,accounts@team1architects.com,ramakrishnan.hkarch@gmail.com,",
Fotis Elevators,Companies(Private),Indi,,,",JITUCA2010@GMAIL.COM,fotiselevators@gmail.com,",
AllKind Healthcare,Companies(Private),Indi,,,",xxxx@gmail.com,achin.nirwani@careratings.com,",
Bhavishya Nirman,Companies(Private),Indi,"393/1, 4th Floor, Opposite Choudhary Dhaba, Main Market, Ghitorni, New Delhi 110030, DL",+91-9899550700,"mahkarlohia555@gamil.com,,bathindaoffice@gmail.com,mahinderlohia0050@gmail.com,",
Vamangini,Companies(Private),Indi,"39, Sardar Building, 1st Floor, Shahpur Jat, Hauz Khas, New Delhi 110016, DL",+91-11-65093597,",andamanfiart.private@gmail.com,",
Orange Weaving Engineering Pvt Ltd,Companies(Private),Indi,"5912, Near Sutex Bank Lane, Road 59, Sachin, Surat 394210, GJ",+91-261-2398939,",finance@orangeengineering.in,sales@orangeengineering.in,u003ehr@orangeengineering.in,hr@orangeengineering.in,",
Emsig Manufacturing India Pvt Ltd,Companies(Private),Indi,"C-105, Phase 1, Lajpat Nagar, New Delhi 110024, DL",+91-11-41834545,",rajeeve@emsigindia.com,dk_196265@yahoo.com,sales@emsig.com,",
Shyam Ahuja Pvt Ltd,Companies(Private),Indi,"201, 33/34, Ceejay House, 2nd Level, Dr. Annie Besant Road, Worli, Mumbai 400018, MH","+91-22-24953435, +91-22-24953436",",poonam@shyamahuja.com,u003epoonam@shyamahuja.com,shyamahuja@vsnl.com,",
Rajasthan Rajya Vidyut Prasaran Nigam Ltd,Companies(Private),Indi,"Vidyut Bhawan, Janpath, Jaipur 302005, RJ",+91-141-2740118,",u003ecomp.sec@rvpn.co.in,helpdesk@sbicaptrustee.com,eproc@rajasthan.gov.in,prakash2190@gmail.com,comp.sec@rvpn.co.in,x3ecomp.sec@rvpn.co.in,",
S Kumars Nationwide Ltd (MW Group),Companies(Private),Indi,"B-2, 5th Floor, Marathon Next Gen, GK Marg, Lower Parel, Mumbai 400013, MH",+91-22-24824500,",pulak.b@sknl.co.in,dinesh.darji@sknl.co.in,",
Phytotech Extracts Pvt Ltd,Companies(Private),Indi,"103/103, 1st Floor, Sri Krishna Nagar, Byrathi Bande, Hennur Main Road, Kannur, Bengaluru 560049, KA",,"Balaji@phytotech.in,,accounts1@phytotech.in,inquiry@phytotech.in,accounts@phytotech.in,",
Pharmchem,Companies(Private),Indi,"6-A, Ajmal Khan Park, Karol Bagh, New Delhi 110005, DL",,",info@toscopharmachem.com,cjraju75@gmail.com,info@aalidhrapharmachem.com,sales@jpharmachem.com,sagar@jpharmachem.com,triox@trioxpharmchem.com,nipun@phrmchem.net,",
Franco Indian Pharmaceuticals Pvt Ltd,Companies(Private),Indi,"20, Dr. E Moses Road, Mumbai 400011, MH",,",vrksubramanian@francoindian.com,customercare@francoindian.com,last@francoindian.com,x3evrksubramanian@francoindian.com,sbrahane@francoindian.com,",
Zodhita Health Solutions Pvt Ltd,Companies(Private),Indi,"402, Vyom Arcade, Above United Bank Of India, Tejpal Scheme Road No 5, Vile Parle East, Mumbai 400057, MH",+91-22-61219500,"manish.shah@zodhita.com,,zodhitacare@zodhita.com,",
Sneha Foods & Feeds Ltd,Companies(Private),Indi,"Plot No 30, Survey No 22, Behind Lane Harsha Toyota Showroom, Kondapur Sherling, Ampally, Hyderabad 500084, TS","+91-40-23302222, +91-9922965477",,
Shakambari Food Products,Companies(Private),Indi,"71, Girnar Colony, Gandhi Path, Vaishali Nagar, Jaipur 302001, RJ","+91-141-2240022, +91-9414043637",",u003eshakuhtg@gmail.com,sales@shakmbarifoods.com,shakuhtg@gmail.com,",
Sai Krishna Plastic Industries,Companies(Private),Indi,"Beside Petrol Bunk, Padmanagar, Karimnagar 505002, TS",+91-878-6504508,"x3ekrishnaplasticprivatelimited@gmail.com,krishnaplasticprivatelimited@gmail.com,,",
Sahuwala Cereals Pvt Ltd (Sahuwala),Companies(Private),Indi,"Gat No 620/1, Kesnand Road, Opposite High Cliff Industrial Estate, Wagholi, Pune 412207, MH",+91-20-67340400,",sahuwalacereals@gmail.com,",
Orchids Tissue Paper Products,Companies(Private),Indi,"209, Allied Industrial Estate, Near Fish Market, Ram Panjwani Road, Mahim West, Mumbai 400016, MH","+91-22-24473518, +91-9833355184, +91-9820155184","info@orchidstissuepapers.com,,",
Optima Life Science Pvt Ltd,Companies(Private),Indi,"1st Floor, 13, State Bank Colony No 2, Opposite Bhagini Nivedita Bank, Shahu College Road, Parvati, Pune 411009",+91-20-32404476,,
Olympic Oil Industries Ltd,Companies(Private),Indi,"907-910, Meadows, Sahar Plaza, Andheri Kurla Road, J. B. Nagar, Andheri East, Mumbai 400059, MH",+91-22-,",olympicoilltd@gmail.com,",
NSL Cotton Corporation Pvt Ltd (NSL),Companies(Private),Indi,"NSL ICON, 4th Floor, 8-2-684/2/A, Road No 12, Banjara Hills, Hyderabad 500034,TS",+91-40-30514444,",balaramakrishna.d@nslgroup.in,u003ecs.nslgroup@nslgroup.in,cs.nslgroup@nslgroup.in,nslcottoncos@nslcottoncorporation.com,",
Man Technologies Pvt Ltd,Companies(Private),Indi,"313, Atlanta Estate, Near Virwani Industrial Estate, Goregaon East, Mumbai 400063, MH",+91-22-29277276,"u003emantechnology@gmail.com,,anirudhs23@iimklive.com,mantechnology@gmail.com,",
Liberty Oil Mills Ltd,Companies(Private),Indi,"D Wing, Amerchand Mansion, 16 Madame Cama Road, Colaba, Mumbai 400001, MH",+91-22-66381000,",raju@libertyoilmills.com,x3econtact@rajoilmillsltd.com,contact@rajoilmillsltd.com,x3eraju@libertyoilmills.com,jane@libertyoilmills.com,",
