Name,Sector,City,Address,Phone,Email,Lat-Long
Lafolei Clicks,Retail,Indi,Near Alamcode Juma Masjid Alamcode; NH Alamcode Alamcode; 695102,9054775312.0,,8.7238894; 76.8124237
Oryx Village,Retail,Indi,Near Kanhangad South Jn Kanhangad South; Main Road Kanhangad South; 671531,8488918253.0,"info@oryxvillage.com,",12.2967941; 75.1021772
India Gate,Retail,Indi, Vythiri; Vythiri Vythiri; 673576,,"NCCD.India@gmail.com,social@vprotectindia.com,",11.5585579; 76.0404556
Chitra Multispeciality Dental Centre,Retail,Indi,Opposite to Elamkulam Mahadevar Temple Sreekaryam; Sreekaryam; 695017,094474 78775,"drminijose@gmail.com,",8.5484805; 76.9198061
Dentique The Dental Studio,Retail,Indi,Above Chiyang Restaurant Banerji Road; Pharmacy Junction Banerji Road; 682018,8460473864.0,"dentiquedentalstudio@gmail.com,dentique.smiles@gmail.com,",9.98583; 76.281069
J R Multi Speciality Dental Clinic,Retail,Indi,Opp Ayyappan Kovil Thampanoor; S S Kovil Road Thampanoor; 695001,7947350236.0,"786supreme.dental@gmail.com,info.dental@smbt.edu.in,smbtdental@rediffmail.com,",8.4893782; 76.9504126
Pilakkal Dental Clinic,Retail,Indi,Opposite Petrol Pump Meppadi; Ooty Road Meppadi; 673577,070257 59934,"alqaeedenterprises@gmail.com,",11.5534012; 76.1370785
St Gregorious Dental Clinic,Retail,Indi,0pp Metropolitan High School Puthencavu; Road Puthencavu; 689123,095449 43586,"info@infonlive.com,stgregorious1994@gmail.com,",9.325674899722; 76.633399999722
Colonels Dental World,Retail,Indi,Near Lords Junior School Venganoor; Venganoor; 695523,,"info@dentalworldofficial.com,drmc_sharma@yahoo.co.in,",8.39643; 77.0034
Holy Angels Dental Clinic,Retail,Indi,Christhuraj Church Ayur; Anchal Road Ayur; 691533,,"clinicmatrix@gmail.com,roc.chennai@mca.gov.in,mmquickerala@gmail.com,enquiry@avionship.com,",8.9011869; 76.8651369
Dental Hom Tirur,Retail,Indi,Opposite P M K Supermarket Tirur; GOVT. HOSPITAL ROAD Tirur; 676101,8460390038.0,"denispaulk@gmail.com,",10.9098347; 75.9228377
