Name,Sector,City,Address,Phone,Email,Lat-Long
Lotus Herbals Ltd,Companies(Private),Indore,"2, Forest Lane, Near Ghitorni Metro Station, Sultanpur, New Delhi 110030, DL",+91-11-26541600,",last@lotusherbals.com,ashit.nangia@lotusherbals.com,",
Vedikar Software,Companies(Private),Indore,"3rd Floor, J-4-A Gali No.6 , Laxmi Nagar - 110092, New Delhi","+91-9334158076, +91-9110099122",",kanchan@vedika.co.in,",
Khanna Electronics Corporation,Companies(Private),Indore,"64, Capital Commercial Centre, Ashram Road, Ahmedabad 380009, GJ",+91-79-26578186,,
Karaavali Switchgears,Companies(Private),Indore,"42-C, Industrial Estate, Baikampady, Mangalore 575011, KA",+91-824-2400152,,
Hager Electro Pvt Ltd,Companies(Private),Indore,"19-P, 23, Village Vadhu Khurd, Tomseb Transformer Yard, Phulgaon Road, Nahavara 412210, MH",+91-2137-679300,"info@adette.in,x3eatulya.chandra@hagergroup.com,,atulya.chandra@hagergroup.com,djm966@gmail.com,",
Electro Control Systems,Companies(Private),Indore,"82-B, Sector ?5, Noida 201301, UP",+91-120-2421456,",sales@electrocontrol.co.in,info@electrocontrol.co.in,mail@oswaldata.com,switchgear@jyoti.com,sales.hyd@electricalcontrolsystem.com,",
Birina Industries Ltd,Companies(Private),Indore,"56, 1, Arnab Apt, Deshpran Shasmal Road, Kadamtala, Howrah 711101, WB",+91-33-68888556,",john.smith@example.com,",
Aayur Technology Solutions Pvt Ltd,Companies(Private),Indore,"3-Aayur, 1, KSIDC Indl Est, Rajajinagar, Bangalore 560044, KA",+91-80-23155244,"doejane@aayurtech.com,,sales@aayurtech.com,ramesh.cv@aayurtech.com,",
Vijay Garments Ltd,Companies(Private),Indore,"D3, Phase 2, Mepz Sanotorium, Tambaram West, Chennai 600045, TN","+91-44-22627281, +91-44-22627282",",x3esect@kitexgarments.com,notebook@vijayshri.com,hrm@rbrindia.com,marketing@vijayshri.com,sect@kitexgarments.com,",
Shree Krishna Dyeing And Printing Works,Companies(Private),Indore,"B-4, Giri Vihar Darshan, MK Street, Keshavrao Marg, Jacob Circle, Mumbai 400011, MH","+91-22-23071096, +91-22-23081298","ktppl@rediffmail.com,,",
Anil Hastkala Pvt Ltd,Companies(Private),Indore,"87, Vikas Path, Alwar 301001, RJ",+91-144-2338621,",anilrakhiimpex@gmail.com,ganearts@gmail.com,anilrakhi@gmail.com,",
Mohit Industries Ltd,Companies(Private),Indore,"A/601-B, International Trade Centre, Majura Gate, Ring Road, Surat 395002, GJ","+91-261-2463261, +91-261-2463262",",contact@mohitindustries.com,",
Al-Mizan Garments Pvt Ltd,Companies(Private),Indore,"Rakhial Road, Industrial Area, Rakhial, Ahmedabad 380023, GJ",+91-9376641234,"alazeeexp@gmail.com,,helpdesk@getdistributors.com,peace.moin@gmail.com,",
Deivam Silks,Companies(Private),Indore,"61, Opposite To Saravana Bhavan Hotel, Pondy Bazaar, T Nagar, Chennai 600017, TN","+91-44-24341489, +91-9840920304",",inquiry@nalli.com,",
Citizen Umbrella Manufacturers Ltd,Companies(Private),Indore,"147, MG Road, Kolkata 700007, WB","+91-33-32926995, +91-33-22681396","x3ecitizenkolkata@gmail.com,,citizenkolkata@gmail.com,",
Uday Patterns & Engineers,Companies(Private),Indore,"220/A, C-Wing, Ghatkopar Industrial Estate, Behind R City Mall, Off LBS Marg, Ghatkopar West, Mumbai 400086, MH",+91-22-25008088,,
MSR India Ltd,Companies(Private),Indore,"3, MSR Towers, Road No-36, Jubilee Hills, Hyderabad 500081, TS",+91-40-65577456,"sudhahingmire@gmail.com,,info@msrindia.in,hr@msrindia.in,ganesh.hingmire@gmail.com,",
Mac Power Systems,Companies(Private),Indore,"36, Lakhimi Poth, R.G.B.Road, Jonali, Guwahati 781024, AS",+91-361-2451639,,
Kalpataru Power Transmission Ltd,Companies(Private),Indore,"101, GIDC Estate, Sector 28, Part 3, Gandhinagar 382028, GJ",+91-79-23214000,"x3ekalpataru.cs@kalpataru.com,,rahul.shah@kalpatarupower.com,kalpataru.cs@kalpataru.com,",
R.R. Exports,Companies(Private),Indore,"GH-13/893, Paschim Vihar, New Delhi 110087, DL",+91-9871659885,"Address.info@rrexportsindia.in,,agplindore@gmail.com,rrrfoods@gmail.com,rajeshkhanna_associates@hotmail.com,",
Nalini Sarees Pvt Ltd,Companies(Private),Indore,"1-3-5, Defence Colony, Flyover Market, New Delhi 110024, DL","+91-11-24617813, +91-11-24697267",",contact@nalinisarees.com,eshop@nalli.com,",
Campustore,Companies(Private),Indore,"Untitled Marketing Services, Regus Citi Center, Level 6, 10/11, Dr. Radhakrishnan Salai, Mylapore, Chennai 600004, TN",+91-9840295238,,
