Name,Sector,City,Address,Phone,Email,Lat-Long
The Lion Gym - Old Palasia - Indore,Gym,Indore,"78, ANAND BAZAR, MAIN ROAD, Bima Nagar, Old Palasia, Indore, Madhya Pradesh 452018",074711 11308,",info@theliongym.co.in,","22.726899,75.8916549"
The WillPower Fitness Hub - Indore,Gym,Indore,,,"shahidkapoor.shukla5@gmail.com,,info@shoppingbazar.com,thewillpowergym@gmail.com,",
VLCC - M. G. Road - Indore,Gym,Indore,"9/1/3, Embassy Building, Near Treasure Island, M. G. Road, Indore 452001, MP","+91-731-4069407, +91-731-4069408, +91-731-4069409",,
Talwalkars Gym - Vijay Nagar - Indore,Gym,Indore,"2/E/A, Brilliant Star, Sector E, Scheme No 54, Vijay Nagar, Indore 452010, MP","+91-731-4283578, +91-731-2556673",,
Talwalkars Gym - Y. N. Road - Indore,Gym,Indore,"153, Opposite Rani Sati Gate, Y.N. Road, Indore 452001, MP",+91-731-4291130,,
Platinum Gym - Khajrana - Indore,Gym,Indore,"EE-77, Ganeshpuri Main Road, Scheme No 94, Sector E, Khajrana, Indore 452001, MP","+91-731-2590764, +91-731-2015884, +91-9406833764",,
Golds Gym - Vijay Nagar - Indore,Gym,Indore,"5th & 6th Floor, BCM Health Island, Total Health Behind Bombay Hospital, Vijay Nagar, Indore 452010, MP","+91-731-2575007, +91-731-2575747, +91-731-4064803","bhawarkuan.indore@goldsgym.in,,support@goldsgym.com,",
Golds Gym - Indore,Gym,Indore,,,"bhawarkuan.indore@goldsgym.in,,WeCare@GoldsGym.in,velocity.indore@goldsgymindia.com,",
Fitness Guru - Old Palasia - Indore,Gym,Indore,"12/3, Noble Apartment, Behind Islamiya Karimiya College, Old Palasia, Indore 452001, MP","+91-9300646178, +91-9425353453, +91-731-2561978",,
Universal Fittness Equp - Indore,Gym,Indore,"2653/E, Sudama Nagar, Indore 452009, MP",+91-9425077624,",ufequipment@gmail.com,ufequipments@gmail.com,airfitness8@gmail.com,info@activeforall.co.in,",
Eastern Health Care - Indore,Gym,Indore,"303, 13-14, Dawa Bazar, RNT Marg, Indore 452001, MP",+91-731-2463780,",grievance@eastwestassist.com,",
