Name,Sector,City,Address,Phone,Email,Lat-Long
AVT Fabrics,Companies(Private),Jabalpur,"75, Gowripuram, Karur 639002, TN",+91-4324-241406,",jishnu.chattopadhyay@in.bur,avt.alapuzha@gmail.com,",
MP State Electronics Development Corporation Ltd,Companies(Private),Jabalpur,"2, 47-A, State IT Center, Arera Hills, Bhopal 462011, MP",+91-755-2518300,"accounts@mpsedc.com,,companysecretary@mpsedc.com,x3eaccounts@mpsedc.com,",
Magaldi Power India Pvt Ltd,Companies(Private),Jabalpur,"8, 4, 147, Lake Gardens, Durgapur 700045, WB",+91-343-9830808228,",group@magaldi.com,pramodkumar.chaubey@luther-services.com,magaldiIndia@magaldi.com,",
Madhya Pradesh Power Transmission Company Ltd,Companies(Private),Jabalpur,"2, Shakti Bhawan, Jabalpur 482004, MP",+91-761-2664450,"u003emd@mptransco.nic.in,,ce.cra@mptransco.nic.in,md@mptransco.nic.in,sridhar.a.r@powerdepc.com,ceps321@yahoo.com,ce.proc@mptransco.nic.in,rxx@mptransco.in,",
Madhya Pradesh Power Generating Company Ltd,Companies(Private),Jabalpur,"Shakti Bhawan, Rampur, Jabalpur 482008, MP",+91-761-2661111,",mppgcl@mp.nic.in,u003emppgcl@mp.nic.in,sridhar.a.r@powerdepc.com,",
Madhya Pradesh Poorv Kshetra Vidyut Vitaran Co. Ltd,Companies(Private),Jabalpur,"7, Shakti Bhavan, Jabalpur 482008, MP",+91-761-2660079,",MPEastDiscom@mpez.co.in,MPEASTDiscom@mpez.co.in,x3eMPEastDiscom@mpez.co.in,",
Kalani Industries Pvt Ltd,Companies(Private),Jabalpur,"6, 11, Treasure Island, Tukoganj, M. G. Road, Indore 452001, MP",+91-731-4752222,",harsh.maheshwari@blackstone.com,nipani.industries@gmail.com,expertprocs@gmail.com,",
Aditya Birla Fashion and Retail Ltd (Pantaloons) (Aditya Birla),Companies(Private),Jabalpur,"701-704, 7th Floor, Skyline Icon Business Park, 86-92, Off A. K. Road, Marol Village, Andheri East, Mumbai 400059, MH",+91-8652905000,"customerservice@abfrl.adityabirla.com,,x3ecustomercare@abfrl.adityabirla.com,x3eanil.malik@abfrl.adityabirla.com,customercare@abfrl.adityabirla.com,anil.malik@abfrl.adityabirla.com,",
RH Agro Overseas Pvt Ltd,Companies(Private),Jabalpur,"A-7, South Extension, Part II, New Delhi 110049, DL",+91-11-26265101,"rrrfoods@gmail.com,rajeshrana@rhagro.com,,",
Burda Druck India Pvt Ltd,Companies(Private),Jabalpur,"8, Udyog Vihar, Greater Noida 201306, UP",+91-120-4183000,",x3esuresh.nair@burda.com,suresh.nair@burda.com,xxxx@burda-druck.de,cs@druckmedia.in,manisha.parab@borouge.com,x3emanisha.parab@borouge.com,","23.1753519,79.6390763"
Krasny Marine Services Pvt Ltd,Companies(Private),Jabalpur,"66, 12th Floor, Great Eastern, Summit B, CBD Belapur, Navi Mumbai 400614, MH",-27563356,",ajayvalves@gmail.com,",
Blue Sky Logistics,Companies(Private),Jabalpur,"15, Nilima Niwas, Waman Nagar, Gograsswadi, Patherli Road, Dombivali, Thane 421201, MH",-9322122782,"blueskyjabalpur@gmail.com,,",
National Adhesives & Polymers,Companies(Private),Jabalpur,"6/1, Jogani Industrial Complex, Near ATI Colony, Chunbhatti East, Mumbai 400022, MH",-9967719908,"sementeslivres@gaia.org.pt,navdanya@gmail.com,navdanya@gmail.com,navdanya@gmail.com,sementeslivres@gaia.org.pt,",
Raghuvanshi Financial,Companies(Private),Jabalpur,"55/2, Near Combined Medical Institute(CMI), Haridwar Road, Dehradun 248001, UK",+91-9897024640,"tsmc.mp@gmail.com,info-pamd@mp.gov.in,emphemindore@gmail.com,vediyar@gmail.com,",
