Name,Sector,City,Address,Phone,Email,Lat-Long
Webmite Technologies,Companies(Private),Jaipur,,,"x22SANJEEV08G@GMAIL.COM,,mail@oswaldata.com,SANJEEV08G@GMAIL.COM,x3eSANJEEV08G@GMAIL.COM,manager@achariyagroup.com,enquiries@sandhar.in,info@achariyagroup.com,",
Agacs Pvt Ltd,Companies(Private),Jaipur,"501, 5th Floor, Sai Tirumala Towers, Hyderguda – Basheerbagh Main Road, Hyderabad 500029,TL","+91-9505000900, +91-8801571290",",info@agacs.in,",
Nana Nani Foundation,Companies(Private),Jaipur,"324, A To Z Estate, Ganpatrao Kadam Marg, Lower Parel, Mumbai 400013, MH",+91-22-40358585,",SKJAT8@GMAIL.COM,",
Brrandom,Companies(Private),Jaipur,"Suit No. 807, Aurora Waterfront, GN 34/1, Sector V, Bidhannagar, Kolkata 700091,WB",+91-3348026785,",hello@brrandom.com,",
Ananda Dairy,Companies(Private),Jaipur,"H-112, Sector - 63, Noida 201301, UP",+91-9582775555,",x3esupport@Ananda.in,",
Brand Drums,Companies(Private),Jaipur,"Gulab Bagh Road ,Udaipur, Rajasthan313001",+91-8619995065,",corporate@ctr.in,info@vtransgroup.com,",
Torso Healthcare,Companies(Private),Jaipur,"SCO 251, Second Floor, Motia Plaza, Baddi, Himachal Pradesh 173205",+91-9996088990,"dryftpocalypse@gmail.com,,enquiryaanch@gmail.com,",
New Era Education,Companies(Private),Jaipur,"26-A/304, Akashdeep Building, 3rd Floor, Barakhamba Road, Connaught Place, New Delhi 110001, DL","+91-9311412277, +91-9870330433",",info@neweratech.in,gsomanicompany@rediffmail.com,",
Infinitybrains,Companies(Private),Jaipur,"408, Luxuria Business Hub, Near VR Mall, Vesu, Surat 395007, GJ",+91-9426734485,,
AdStyle,Companies(Private),Jaipur,"2255, Glades Road, Boca Raton, Florida 33431, USA",,"adg.hghq.rj@RAJASTHAN.GOV.IN,,dcg1.hghq.rj@RAJASTHAN.GOV.IN,dg.hghq.rj@RAJASTHAN.GOV.IN,",
Jaipur Global Services,Companies(Private),Jaipur,"80-A, Rameswar Dham, Murlipura, Jaipur 302039, RJ",+91-8829984007,"sales@jgservices.in,,business@jgservices.in,",
Ruia Agro Farms,Companies(Private),Jaipur,"101, Kedia Chambers, Opposite Bank Of Baroda, S.V. Road, Malad West, Mumbai 400064, MH",+91-8828824450,",email-enquiryruiaagrofarms@gmail.com,sagarwal1978@rediffmail.com,",
Magnum Switchgear,Companies(Private),Jaipur,"40, 2, Pete Chenappa Industrial Estate, Kamakshipalya, Magadi Road, Bangalore 560079, KA",+91-80-23580952,",mail@grandpolycoats.com,",
Macro Powertech India Pvt Ltd,Companies(Private),Jaipur,"505, 5, Laxmideep Building Laxmi Nagar, New Delhi 110092, DL",+91-11-42448101,",JAINRAHUL07@GMAIL.COM,info@macropowertech.in,",
JSK Industries Pvt Ltd,Companies(Private),Jaipur,"9, A. K. Naik Marg, Cst, Mumbai 400001, MH",+91-22-66253700,",jsk@jskindia.in,x3ejsk@jskindia.in,",
JRK Industries Pvt Ltd,Companies(Private),Jaipur,"203-B, 9, V.K.I. Area, Jaipur 302013, RJ",+91-141-2330504,",support@jrkindustries.com,jrkindustries@gmail.com,98290-16235_support@jrkindustries.com,ram@jrkindustries.com,",
JMV LPS Ltd,Companies(Private),Jaipur,"50-W, Sector-11, Noida 201301, UP",+91-120-4590000,",info@jmv.co.in,x3einfo@jmv.co.in,",
Insulators & Electricals Company (Unit of Hindustan Vidyut Products Ltd),Companies(Private),Jaipur,"1-8, 1, New Industrial Area, Mandideep 462046, MP",+91-7480-400800,,
Hical Technologies Pvt Ltd,Companies(Private),Jaipur,"46, 47, Electronics City, Phase 2, Hosur Road, Bangalore 560100, KA",+91-80-66189681,",d-jane@hical.com,Chainsupplychain@hical.com,sujaya.shashikiran@hical.com,",
GEM Manufacturers Pvt Ltd,Companies(Private),Jaipur,"23, 24, Textool Feeder Industrial Estate Ganapathy, Coimbatore 641006, TN",+91-422-2531687,",gm@gemplaza.net,gcepl123@yahoo.com,mail@gemplaza.net,gem@gemelectro.com,akshitgokhroo0@gmail.com,akshitgokhroo@gmail.com,",
Garg Associates Pvt Ltd,Companies(Private),Jaipur,"3-D, Meerut Road Industrial Area 3, Ghaziabad 201003, UP",+91-120-2712128,",sales@gargasso.com,",
