Name,Sector,City,Address,Phone,Email,Lat-Long
Fitness Pro Gym - Jaipur,Gym,Jaipur,,,",manishsharmaadvocate302@gmail.com,","26.8804914,75.7469484"
Youfit Health Club - Amrapali Circle - Jaipur,Gym,Jaipur,"Ajmera Garden, Near Shyam Nagar Police Station, Shanti Nagar, 4 Kings Road, Amrapali Circle, Jaipur 302019, RJ",+91-7222081112,,"26.9305842,75.7260802"
Youfit Health Club - Vidhyadhar Nagar - Jaipur,Gym,Jaipur,"DHANSHREE PLUS TOWER, CENTRAL SPINE-4, Sr_1, Vidyadhar Nagar Stadium Rd, Vidyadhar Nagar, Jaipur, Rajasthan 302039",072220 81114,,"26.9680451,75.7808955"
X Gym and Fitness - Jhotwara - Jaipur,Gym,Jaipur,"210, 2nd Floor, Goverdhan Sky Mall, Main, Khatipura Rd, Shivaji Godara Colony, Jhotwara, Jaipur, Rajasthan 302012",080036 09090,,"26.9373636,75.7553458"
X Core Fitness - C-Scheme - Jaipur,Gym,Jaipur,"406 to 411, 4rth Floor, Ashok Marg, City Mall, C-Scheme Opposite St. Xavier's School, Rajasthan 302001",081144 61577,"xcorefitmission@gmail.com,,info@xcorefitness.in,","26.9142094,75.8059123"
World Gym - Mansarover - Jaipur,Gym,Jaipur,"Behind AU Small Finance Bank Limited, Sector 9, Mansarovar, Jaipur 302020, RJ",+91-141-4029956,",Pankajtheking67@gmail.com,","22.58762,69.5682275"
Workout Gym - Malviya Nagar - Jaipur,Gym,Jaipur,"3-C-19, Saturdaykar Shopping Centre, Near Ambi Devi Dharamshala, Malviya Nagar, Jaipur 302017, RJ",+91-7666560012,",hello@cultfit.com,jaipur@goldsgymindia.com,","26.8499855,75.7925152"
Welfare Fitness Studio - Mansarover - Jaipur,Gym,Jaipur,"Madhyam Marg, Ward 27, Mansarovar Sector 8, Mansarovar, Jaipur, Rajasthan 302020",097824 59089,,"26.8572893,75.763285"
Vincys Gym - Jhotwara - Jaipur,Gym,Jaipur,"A-382, near Central Park, beside Maha Dev Mandi, kardhani, Kardhani Govindpura, Govindpura, Jhotwara, Jaipur, Rajasthan 302012",076150 47622,,"26.9529527,75.7105827"
Vikfit Gym - Jhotwara - Jaipur,Gym,Jaipur,"Khirod Plaza, 2nd Floor, Near Deep Hospital, Khatipura Road, Jhotwara, Jaipur 302012, RJ",+91-9057777790,,"26.9456791,75.740802"
Viewsonic Fitness - Pratap Nagar - Jaipur,Gym,Jaipur,"Karwani's, 93/86, Vijay Path, Sector 9, Mansarovar, Jaipur, Rajasthan 302020",077427 06706,",viewsonicprince@yahoo.com,viewsonicprince@gmail.com,viewsonicfitness@gmail.com,","26.8491804,75.7702366"
Viewsonic Fitness - Mansarover - Jaipur,Gym,Jaipur,"Karwani's, 93/86, Vijay Path, Sector 9, Mansarovar, Jaipur, Rajasthan 302020",077427 06706,",viewsonicfitness@gmail.com,","26.8491804,75.7702366"
V3 Fitness - Chandpole - Jaipur,Gym,Jaipur,"2177, Raja Shiv Das Ji Ka Rasta, Chandpole, Pink City, Jaipur, Rajasthan 302001",093148 88000,,"26.9285534,75.8160436"
Universal gym and Fitness Studio - Bani Park - Jaipur,Gym,Jaipur,"F31A , Kalidas Marg, Sindhi Colony, Bani Park, Jaipur, Rajasthan 302016",098281 16216,",skbasr@gmail.com,","26.9337827,75.7895098"
Unique Gym and Spa - Malviya Nagar - Jaipur,Gym,Jaipur,"C-4, Axis Bank ATM, Calgiri Road, Malviya Nagar, Jaipur 302017, RJ",+91-9694301119,",tejp283@gmail.com,","26.8526983,75.8082132"
Tonique - Nirman Nagar - Jaipur,Gym,Jaipur,"D-122, Near Awara Chicken, Janpath Road, Nirman Nagar, Jaipur 302019, RJ","+91-141-4919027, +91-9828019297",",toniquestudio@gmail.com,","23.6815723,69.6877139"
Tone Up Ultimate Fitness Zone The Gym - Vaishali Nagar - Jaipur,Gym,Jaipur,"17, Vashist Marg, Gom Defence Colony, Vaishali Nagar, Jaipur 302021, RJ",+91-9829007886,,"26.9044553,75.7204822"
The World Gym - Jhotwara - Jaipur,Gym,Jaipur,"Niwaru Rd, above andhra bank, Ramneshpuri Colony, Jhotwara, Jaipur, Rajasthan 302012",+91-9828334062,",shaikhnawabf@gmail.com,","26.9543958,75.7428811"
The True Fitness Gym - Vaishali Nagar - Jaipur,Gym,Jaipur,"B-2/521 Chitrakoot Yojna, Vaishali Nagar, Jaipur, Rajasthan 302021",084408 34825,,"26.9020361,75.7312764"
The Survivors Gym - Ambabari - Jaipur,Gym,Jaipur,"A-28,First floor, Above Messy Door cafe T.b.Hospital road, Subash Nagar, Jaipur, Rajasthan 302016",082091 28622,,"26.9384094,75.7946572"
The Shredded Club Gym and Spa - Raja Park - Jaipur,Gym,Jaipur,"4th floor,, 309/6, Shanti Path, Raja Park, Jaipur, Rajasthan 302004",+91-8559883355,"ishants9000@gmail.com,,","26.890844,75.8283781"
The Real Fitness - C-Scheme - Jaipur,Gym,Jaipur,"A, 7, Jamnalal Bajaj Marg, Shivaji Nagar, C Scheme, Hathroi, Jaipur, Rajasthan 302001",095497 20720,,"26.9077842,75.7891899"
The M.A.D Fitness - Vaishali Nagar - Jaipur,Gym,Jaipur,"A-48, Acharya Vinoba Bhave Nagar, B Block, Vaishali Nagar, Jaipur, Rajasthan 302021",097822 87522,,"26.9099528,75.7331528"
The Gym Eagles - Raja Park - Jaipur,Gym,Jaipur,"338-A, Gali No. 4, Gurunanakpura, Raja Park, Jaipur, Rajasthan 302004",094688 87279,"akashashwani503@gmail.com,,","26.8940213,75.8235121"
The Fitness Pro - Mansarover - Jaipur,Gym,Jaipur,"near IPS School, Shanthi Nagar B, Shanthi Nagar, Mansarovar, Jaipur, Rajasthan 302019",093144 55664,,"26.871929,75.7608207"
The Fitness Park Gym - Vaishali Nagar - Jaipur,Gym,Jaipur,"125 A Rajendra Nagar behind hotel nilex sirsi road Jaipur pincode 302012, Jaipur, Rajasthan 302012",+91-9414827042,,"26.9203159,75.729604"
The Fit N Healthy Gym - Nirman Nagar - Jaipur,Gym,Jaipur,"222, Shri Govind Niwas, Opposite Mansarovar Road, Mahesh Nagar, Nirman Nagar, Jaipur 302015, RJ",,"ik777518@gmail.com,,","26.8822222,75.7392852"
