Name,Sector,City,Address,Phone,Email,Lat-Long
Bonfiglioli Transmission Pvt Ltd,Companies(Private),Jalandhar,"7-AC-AC, 11, Sidco Industrial Estate Thirumudivakkam, Chennai 600044, TN",+91-44-24781035,",Copia%20di%20Banner_Selcom_1920x205%20%281920%20%C3%97%201080%20px%29%20%283%29@2x.png,vijaykrishna.m@bonfiglioli.com,Per%20Daniela@2x.png,",
AddCom Solution Pte Ltd,Companies(Private),Jalandhar,"35, Ranga Rao Road, Shankarpuram, Bangalore 560004, KA",+91-80-26609428,",sales@addcom.com.sg,marketing@nimbusitsolutions.com,",
G K Exports,Companies(Private),Jalandhar,"Angadimalika, SreenivasaIyer Road, Thirunakkara, Kottayam 686001, KL",+91-481-2582256,",adityaainani@yahoo.com,eia-jalandhar@eicindia.gov.in,gkexports@rediffmail.com,info@gkexports.com,",
Shiva Tex Yarn Ltd,Companies(Private),Jalandhar,"252, 2nd Floor, Mettupalayam Road, Coimbatore 641043, TN",+91-422-2435555,",rmstores@wulf.co,careers@shivatex.co.in,info@shivatex.co.in,shares@shivatex.co.in,",
Angel Exports,Companies(Private),Jalandhar,"1/168, Periyandan Kovil, Karur 639002, TN",+91-4324-233167,",jalandhar.agre@sglline.com,angelleathers@ymail.com,doe@angelexports.in,info@companydetails.in,agre@sglline.com,",
Janki Corp Ltd,Companies(Private),Jalandhar,"Mandpiya Choraha, Chittor Road, Bhilwara 311001, RJ","+91-1482-249010, +91-1482-249018",",x3ejankicorp@yahoo.co.in,jankicorp@yahoo.co.in,",
Navkar Enterprise,Companies(Private),Jalandhar,"59/60, Sriji Industrial Estate, Raipur Mill Compound, Saraspur, Ahmedabad 380024, GJ",+91-79-22743222,"navkarenterprisevapi1@gmail.com,,mukeshjain1@gmail.com,",
Jawed Habib Hair & Beauty Ltd,Companies(Private),Jalandhar,"1st Floor, Nimbus Centre, Oberoi Complex, Off New Link Road, SAB TV Lane, Andheri West, Mumbai 400053, MH",+91-22-40995000,,
Vibha Natural Products Ltd,Companies(Private),Jalandhar,"D/15, Oshiwara Industrial Centre, Opposite Oshiwara Bus Depot, New Link Road, Goregaon West, Mumbai 400104, MH",,",mail@fafai.org,",
Galencia Healthcare Pvt Ltd,Companies(Private),Jalandhar,"5, Tokas Complex, 1st Floor, Amber Hai Village, Sector 19, Dwarka, New Delhi 110075, DL",,",x3edharamvir.malik@akums.net,biolifenatcon@gmail.com,x3eyatinpokle@rediffmail.com,yatinpokle@rediffmail.com,dharamvir.malik@akums.net,",
Basic Pharma Life Science Pvt Ltd,Companies(Private),Jalandhar,"146/B, GIDC Estate, Opposite New Fire Station, Ankleshwar 393002, GJ",,"basicpharmachem@hotmail.com,sales@basicpharma.in,,info@pharmexcil.com,export@basicpharma.in,basicpharma@gmail.com,",
Sangrur Agro Ltd (Avani),Companies(Private),Jalandhar,"Focal Point, Bhindran, Sangrur 148001, PB","+91-1672-246843, +91-1672-246819","bipinmehta53@gmail.com,,sangruragro@yahoo.co.in,",
Perfect Industries Pvt Ltd,Companies(Private),Jalandhar,"222, Shriram Tower, Near NIT Building Sadar, Mumbai 440001, MH",+91-22-23524404,"sales.lp@perfectvalve.com,export@perfectbelts.com,,sales@perfectbelts.com,",
Mrunmaha Agro Foods Pvt Ltd (Agrowera),Companies(Private),Jalandhar,"2A/64, Clover Cascade, Hindustan Estate, Kalyani Nagar, Pune 411006, MH",+91-20-26680184,",secretarial@himeshfoods.com,x3esecretarial@himeshfoods.com,agrowera5236@gmail.com,x3ealimento36@gmail.com,alimento36@gmail.com,",
MGM Group of Companies,Companies(Private),Jalandhar,"1, 9th Street, Dr. Radhakrishnan Salai, Mylapore, Chennai 600004, TN","+91-44-28475415, +91-44-28375416",,
Lowkal Healthcare Pvt Ltd,Companies(Private),Jalandhar,"345/4, Bhatrahalli, Old Madras Road, Bangalore 560049, KA",+91-8722250222,",info@lowkal.in,Info@lowkal.in,",
Jeet India Ltd,Companies(Private),Jalandhar,"Plot No A-163, Sector 80, Phase II, Noida 201305, UP",+91-9997700016,",singhvj@nitj.ac.in,singhvj@nitj.ac,",
Food Corporation Of India (North Zone),Companies(Private),Jalandhar,"16-20, Barakhamba Lane, New Delhi 201301, DL",+91-11-43527462,",zmnef.fci@nic.in,","31.3228632,75.5727336"
Christy Friedgram Industry,Companies(Private),Jalandhar,"A-2 & A-3, SIDCO Industrial Estate, Andipalayam, Tiruchengode 637214, TN","+91-4288-285064, +91-4288-285564",",mani@christyfoods.com,purchase@christyfoods.in,cfipl2018@gmail.com,dhana@christyfoods.in,qc@christyfoods.in,info@christyfoods.in,","31.3219766,75.2437493"
Amroon Foods Pvt Ltd,Companies(Private),Jalandhar,"20/1, Site IV, Industrial Area, Sahibabad, Ghaziabad 201010, UP","+91-120-2771126, +91-120-2773724",",muneer@fairexports.net,skloverseas@hotmail.com,rajender.afpl@gmail.com,x3erajender.afpl@gmail.com,jane_d@amroonfoods.net,x3emuneer@fairexports.net,abuzerkhan@ymail.com,","28.6632594,77.3388166"
Safire Machinery Company Pvt Ltd,Companies(Private),Jalandhar,"16, 31, 1st Street, Balaji Nagar, Chennai 600014, TN",+91-44-28130068,",corporate@srei.com,keshav_singh@welspun.com,amd@arvind.in,chaitaly@ekfpl.com,guna@safireguna.com,","31.3388119,75.4637938"
Jasmine Art Printers Pvt Ltd,Companies(Private),Jalandhar,"737-A, 3, TTC Industrial Area, Khairane MIDC, Navi Mumbai 400710, MH",+91-22-41023000,"jane@jasmineart.in,,accountsnm@jasmineart.in,","19.0920867,73.0114373"
Boutique Cartier,Companies(Private),Jalandhar,"Emporio Mall, Nelson Mandela Road, Vasantkunj, New Delhi 110070, DL",-46788808,",customerservice.me@cartier.com,x3ecustomerservice.me@cartier.com,anil.dhiman@ethoswatches.com,delhi.emporio@cartier.com,",
Reema Transport Pvt Ltd,Companies(Private),Jalandhar,"7, Nand Ghanshyam Industrial Estate, Off Mahakali Caves Road, Andheri East, Mumbai 400093, MH","+91-9098752296, +91-22-6879659",",infomumbai@reematransport.com,nrk@reematransport.com,amn@reematransport.com,reematplhyd@gmail.com,",
The Hitavada,Companies(Private),Jalandhar,"Pandit Jawaharlal Nehru Marg, Dhantoli, Nagpur 440012, MH","+91-712-2435737, +91-712-2423155","advthitavadaraipur@gmail.com,gssc72ipr@gmail.com,roc.pkgroup@gmail.com,,",
