Name,Sector,City,Address,Phone,Email,Lat-Long
Chhatariya Firetech Industries,Companies(Private),Jalgaon,"89, GIDC Estate, Bhavnagar, Mahuva 364290, GJ",+91-2844-228887,"chhatariya1@gmail.com,,chhatariya@yahoo.in,",
Sharda Exports,Companies(Private),Jalgaon,"Rithani Industrial Area, Delhi Road, Meerut 250103, UP",+91-121-3003000,",x3edulari@dulariexports.com,dulari@dulariexports.com,rakesh.shejwal@aartigroup.cominfo,co.sec@shardaintl.com,",
Spark Vidyut Pvt Ltd,Companies(Private),Jalgaon,"2, D, Industrial Area, Ramanand Pradhan Block, Hastsal, Uttam Nagar, New Delhi 110059, DL",+91-11-64599559,",d_jane@sparkvidyut.com,service@vw-vidyutmotors.co.in,sunleafrenewables@gmail.com,",
Chhattisgarh State Power Generation Company Ltd,Companies(Private),Jalgaon,"5, Daganiya, CSP Generation, Vidhut Seva Bhawan, Raipur, Chattisgarh 492013, CG",+91-771-2574451,",lavish.kumar@cspc.co.in,chairman@cspc.co.in,investorservices@cgl.co.in,sepnw.dspmke@cspc.co.in,mdgenco@cspc.co.in,",
Kohinoor Foods Ltd (Satnam Overseas Ltd),Companies(Private),Jalgaon,"Pinnacle Business Tower, 10th Floor, Surajkund, Faridabad 121001, HR",+91-129-4242222,",bushfood@del6.vsnl.net.in,x3einfo@kohinoorfoods.in,info@kohinoorfoods.in,last@kohinoorfoods.com,",
Khandige Organic Health Products Pvt Ltd,Companies(Private),Jalgaon,"63, Amruthnagar Main Road, Opposite BWSSB Office, Konankunte, Bangalore 560062, KA",+91-80-26320882,",info@khandigeorganic.com,",
Jain Sweets & Milk Food Pvt Ltd (Kinjal),Companies(Private),Jalgaon,"Popular Arcade, Shreeji Plaza, Office No 11, Near Panch Ratna, Tata Road No 1, Charni Road East, Mumbai 400004, MH",+91-22-66373164,,
ARSON AGRO Industries,Companies(Private),Jalgaon,"C-1, Focal Point, G. T Road, Moga 142001, PB",+91-1636-222995,",bharatagri@gmail.com,arson235@yahoo.com,directorsaipl@gmail.com,bharatagrimoga@gmail.com,","20.9892838,75.550682"
Ajanta Food Products Company,Companies(Private),Jalgaon,"60, Ajanta House, New Mangla Puri, Near Chattarpur Metro Station, New Delhi 110030, DL","+91-9311041736, +91-9899803333",",parakhrealty@gmail.com,rajeshpchaudhari@hotmail.com,sanjeevpurica@gmail.com,","20.977822,75.5730816"
WorldCourier India Pvt Ltd,Companies(Private),Jalgaon,"1183, 5th Cross, HRBR Layout, Bangalore 560043, KA",-43155789,",india-depot@worldcourier.com,ndia-depot@worldcourier.com,",
Suheg Rubber Industries Pvt Ltd,Companies(Private),Jalgaon,"W-49 B, MIDC, TTC Industrial Area, Rabale, Ghansoli, Mumbai 400701, MH","+91-22-27696911, +91-9820325577","sumukhahitech@gmail.com,cmasanjaygupta@gmail.com,",
Krishna Wax Pvt Ltd,Companies(Private),Jalgaon,"11/A, Classic Tower, 56, Gariahat Road, Kolkata 700019, WB","+91-33-24746786, +91-33-32862986","kunalcalcium1997@gmail.com,ACCOUNTS@CALCIUM.CO.IN,kunalcalcium1997@gmail.com,",
Divine Enterprises,Companies(Private),Jalgaon,"Cellar, Zaheer Manzil, Near Haidary Baug, 132 Feet, Ring Road, Makarba, Sarkhej, Ahmedabad 380055, GJ",-9825618052,"ipo@bigshareonline.com,rehmat@ducol.com,ipo@bigshareonline.com,",
Bhalla Chemical Works Pvt Ltd,Companies(Private),Jalgaon,"Daultabad Road, Gurgaon 122001, HR","+91-124-3268482, +91-124-2321442","bhaskaragro@yahoo.com,bhaskaragro@yahoo.com,bhaskaragro@yahoo.com,",
Acme Synthetic Chemicals,Companies(Private),Jalgaon,"Next To Ram Mandir Road, Goregaon West, Mumbai 400104, MH","+91-22-26762959, +91-22-26762970","chetan.sheth@rohagroup.com,adwynchemicals@yahoo.co.in,shubham.kandhway@dicfc.co.in,accountspune@shreeram.net,finance@subray.com,harin@dynaind.com,contact@alpschem.com,pathik@skci.in,skci@skci.in,chetan.sheth@rohagroup.com,chetan.sheth@rohagroup.com,chetan.sheth@rohagroup.com,adhik.chemicals1@gmail.com,adhik.chemicals1@gmail.com,harin@dynaind.com,contact@alpschem.com,pathik@skci.in,skci@skci.in,chetan.sheth@rohagroup.com,info@adhikchemicals.com,chetan.sheth@rohagroup.com,x3eadwynchemicals@yahoo.co.in,x3eshubham.kandhway@dicfc.co.in,x3eaccountspune@shreeram.net,x3efinance@subray.com,",
Mansukh Securities & Finance Ltd,Companies(Private),Jalgaon,"Mansukh House, Plot 6, Opposite Mother Dairy Plant, Patparganj Road, Pandav Nagar, New Delhi 110092, DL","+91-11-30211800, +91-11-22484122",,
Jaipur Stock Exchange Ltd,Companies(Private),Jalgaon,"Stock Exchange Building, JLN Marg, Malviya Nagar, Jaipur 302017, RJ","+91-141-2729094, +91-141-2729041","jseldpgriev@gmail.com,",
