Name,Sector,City,Address,Phone,Email,Lat-Long
Think Cmyk Studios,Companies(Private),Jammu,"C-26, Sector - 65, Noida, Uttar Pradesh - 201301, India",+91-78273-86988,,
Naina Power Pvt Ltd,Companies(Private),Jammu,"12, 6, 19, 3, 2, B.P.C.L Petrol Pump, Opposite HUDA Truck Parking, Kukatpally, Hyderabad 500072, TS",+91-40-23810270,"nainanaveen@gmail.com,,",
Ravenbhel Pharmaceuticals Pvt Ltd,Companies(Private),Jammu,"7, Baba Budha Avenue, G T Road, Amritsar 143001, PB",,"n.sinha@rhplgroup.com,,u003eaccounts@ravenbhel.com,domestic@ravenbhel.com,accounts@ravenbhel.com,cmakkverma@gmail.com,sagar.israni@ravenbhel.com,",
Vaidya Nandram Gigraj Chamria,Companies(Private),Jammu,"532, FIE, Patparganj Industrial Area, New Delhi 110092, DL","+91-11-22157890, +91-9810045737",",Rakeshchamria532@gmail.com,",
Satya Chandra Flour Mills Pvt Ltd,Companies(Private),Jammu,"Jyotir Sadan, Opposite Tubewell Colony, Civil Lines, Moradabad 244001, UP",+91-591-2435265,",ecorpservices@yahoo.co.in,satyachandraflour@yahoo.co.in,satyachandraflour@yahoo.com,",
DevBhumi Natural Products Producers Company Ltd,Companies(Private),Jammu,"Plot No 15, Old SBI Lane, Mohabbewala Industrial Area, Dehradun 248110, UK",+91-9999694460,",contact.dnppcl@gmail.com,","30.2716656,77.9688838"
Sakal Paper Pvt Ltd,Companies(Private),Jammu,"595, Behind RCM College, Off Shivaji Road, Budhwarpeth, Pune 411002, MH","+91-20-24405500, +91-20-25602100","webeditor@esakal.com,John.Smith@esakal.com,corporate@esakal.com,,",
Daily Thanthi,Companies(Private),Jammu,"86, Daily Thanthi, E V K Sampath Road, Chennai 600007, TN",-25302953,,
Daily Hindi Milap,Companies(Private),Jammu,"5-4-674, Kattal Mandi, Nampally, Hyderabad 500001, TS",-24655547,",arooshchopra@gmail.com,",
Starke Aquacare Technologies,Companies(Private),Jammu,"17, Najafgarh Road, New Delhi 110015, DL",-47009491,"INSTY.secshare@ineos.com,jane.doe@ineos-styrolution.com,secshare@styrolutionabsindia.com,last@styrolutionabsindia.com,secshare@styrolution.com,cs@remsons.com,corporate@remsons.com,x3eINSTY.secshare@ineos.com,x3ejane.doe@ineos-styrolution.com,",
Rainbow Super Polymers,Companies(Private),Jammu,"D-45, Phase 1, Vivek Vihar, New Delhi 110095, DL","+91-11-22151344, +91-11-22163898","info@ramdevcoatings.com,info@mechemco.com,rajeshs61@yahoo.co.in,info@ramdevcoatings.com,rajeshs61@yahoo.co.in,x3einfo@ramdevcoatings.com,x3einfo@mechemco.com,",
Ross Warner Hr Solutions,Companies(Private),Jammu,"65, Kailash Vaibhav Complex, Link Road, Vikhroli-West, Mumbai 400079, MH",+91-9870090321,,
Jacob Ballas Capital India Pvt Ltd,Companies(Private),Jammu,"1F, Commercial Plaza, Radisson Blu Plaza, National Highway 8, Mahipalpur, New Delhi 110037, DL",+91-11-43153100,"jbindia@jbindia.co.in,last@jbindia.co.in,anurag.kumar@jbindia.co.in,",
