Name,Sector,City,Address,Phone,Email,Lat-Long
Mahendra Industries,Companies(Private),Jamnagar,"2, 43, Kenchanahalli Grama, R.V. Niketan, Mysore Road, Kengeri Hobli, Bangalore 560059, KA",+91-80-28484102,",mahendra.nirban@gmail.com,indrasinh.chudasam@essar.com,info@vedikgroup.com,",
D.light Energy Pvt Ltd,Companies(Private),Jamnagar,"107-F, Sewa Corporate Park, M G Road, Gurgaon 122002, HR",+91-124-4288336,"acclimatesystem@gmail.com,,mohit.sachdeva@dlight.com,",
Bright Electro Control Equipments Pvt Ltd,Companies(Private),Jamnagar,"12, 2, Prasanthi Nagar, Avarampalayam, Coimbatore 641006, TN",+91-422-2567249,"sales@servostabilizer.org,,becserv02@bsnl.in,",
Bhurji Electronics Pvt Ltd,Companies(Private),Jamnagar,"107, Udyog Vihar, Phase 1, Gurgaon 122016, HR",+91-124-4001174,",yourname@company.com,sales@bhurjitransformers.com,",
ApolloSoyuz Electricals Pvt Ltd,Companies(Private),Jamnagar,"74, 75, EL, MIDC Electronic Zone, Mahape, Mumbai 400701, MH",+91-22-41619700,"girdhar.jalani@apollosoyuz.com,,neha.desai@apollosoyuz.com,",
Akshat Autoline Pvt Ltd,Companies(Private),Jamnagar,"Near Partapur Police Station, Delhi Road, Meerut 250103, UP",+91-121-2440611,"admin@amaxtech.com,,accounts@akshatauto.com,marketing@bchindia.com,",
Acrastyle Power India Ltd,Companies(Private),Jamnagar,"29, 3, 4, Industrial Estate, National Highway 3, MM Nagar, Chennai 603209, KA",+91-44-27452187,",uniquepowersystem@ymail.com,ayrtonab@gmail.com,secretarial@sspower.com,",
Dimple Creation Pvt Ltd,Companies(Private),Jamnagar,"B-12, Hosiery Complex, Phase 2, Noida 201305, UP","+91-120-4208000, +91-120-4208015",",x3ermaikca@gmail.com,rmaikca@gmail.com,finance@dimplecreations.com,jane_doe@gmail.com,x3efinance@dimplecreations.com,",
Shri Rama Industries,Companies(Private),Jamnagar,"Patta Factory, Near Indian Gas Agency, Partapur Road, Pilkhuwa, Ghaziabad 245304, UP",+91-9837027011,",rocwork.ac@gmail.com,accounts@shreeramgroup.in,",
MAC Decor Ltd,Companies(Private),Jamnagar,"5, Community Centre, East Of Kailash, New Delhi 110065, DL","+91-11-41620202, +91-11-26416819",",mail@mac.in,",
Spectris Technologies Pvt Ltd (PANalytical India),Companies(Private),Jamnagar,"701/705, JMD Megapolis, Sohna Road, Sector 48, Gurgaon 122002, HR",,",info@spectris.com,x3erahul.talwar@spectrisindia.com,rahul.talwar@spectrisindia.com,",
Swani Spice Mills Pvt Ltd,Companies(Private),Jamnagar,"4, Hari Niwas, C-Road, Churchgate, Mumbai 400020, MH",+91-22-43424100,",mail@masindia.com,marketing@swanispice.com,parneet@swanispice.com,",
Octaga Green Power & Sugar Company Ltd,Companies(Private),Jamnagar,"164, Everest Tower, Near Holy Family Hospital, Hill Road, Mumbai 400052, MH","+91-22-61322222, +91-22-26430283",,
MM Abdul Hameed & Sons,Companies(Private),Jamnagar,"Post Box No 12, Hameed Estate, Ashokapuram, Ernakulam 683101, KL",+91-484-2630139,,
Minchys Food Products,Companies(Private),Jamnagar,"13, Lower Bazaar, Shimla 173219, HP","+91-177-2860203, +91-177-2650413",",minchys@gmail.com,sales@minchys.com,",
Mayuresh Group of Industries,Companies(Private),Jamnagar,"Plot No 3/8, Govardhan Industries, Postal Colony, Pachgaon, Kolhapur 416013, MH",+91-231-6524576,",info@mayuresh.in,trademark@Irswami.com,",
J J Overseas (Ravechi Group),Companies(Private),Jamnagar,"501, Harmony Building, Lot No 65, Opposite Owen Fresh Bakery, Ranade Road, Shivaji Park, Dadar West, Mumbai 400028, MH","+91-22-24441989, +91-22-24441990",",alazeeexp@gmail.com,sawariyarahul.edu@gmail.com,bestexporters.india@gmail.com,sales@aakashinfo.com,",
Shree G K Chudiwalas Jewellers,Companies(Private),Jamnagar,"1274, Khowalon Ka Chowk, Gopal Ji Ka Rasta, Jaipur 302003, RJ","+91-141-2573867, +91-141-2571991",,
Shree Rishabh Marmo Pvt Ltd,Companies(Private),Jamnagar,"Shikarbadi Road, Bedla, Sapetia, Udaipur 313016, RJ",-2442154,"fca.anupam@gmail.com,,accounts@rishabhmarbles.com,",
