Name,Sector,City,Address,Phone,Email,Lat-Long
Young International,Companies(Private),Jodhpur,"D-190, Sector 63, Noida 201010, UP","+91-120-4250671, +91-120-2401236",",vc@nlujodhpur.ac.in,",
Sree Jagajothi Exports,Companies(Private),Jodhpur,"24, Pari Street, Teacher's Colony, Erode 638011, TN","+91-424-2274646, +91-424-2273850",,
Southern Latex Ltd,Companies(Private),Jodhpur,"B-11/W, Sipcot Industrial Complex, Gummidipood, Chennai 601201, TN",+91-44-26442472,",southernlatexltd@yahoo.com,",
Manohar Lal Kapoor & Sons,Companies(Private),Jodhpur,"MLK House, Hardoi Road, Lucknow 226003, UP","+91-522-2408707, +91-522-2408628",,
Juneja Industrial Company,Companies(Private),Jodhpur,"5-1-531/230-7, Nareshwari Market, Old Ghasmandi, Rani Gunj, Secunderabad 500003, AP",+91-40-64524479,,
Hero Fashion,Companies(Private),Jodhpur,"136, Mangalam Road, Karuvampalayam, Tirupur 641604, TN",+91-9843412348,",saba@herofashion.com,aswin@herofashion.com,accounts@herofashion.com,eshop.support@heromotocorp.com,info@herosfashion.com,",
Goyal Fashions Pvt Ltd,Companies(Private),Jodhpur,"24, Goyal House?, Ajmer Road, Jaipur 302006, RJ",+91-141-2223059,",ragverm009@gmail.com,mail@goyalfashions.net,goyalfashionsjpr@gmail.com,taxation@goyalfashions.net,",
Shinago Group of Companies,Companies(Private),Jodhpur,"177/407, Raheja Towers, 4th Floor, Anna Salai, Chennai 600002, TN",+91-44-42145071,",corp@dynodesoft.com,dynodecorp@gmail.com,",
Marstrade,Companies(Private),Jodhpur,"A-103, Building No 1, Cassia Co-Operative Limited, Vasai West, Thane 401202, MH",+91-250-2382819,,
Leevams Incorporated,Companies(Private),Jodhpur,"465, GIDC, Makarpura, Vadodara 390010, GJ",+91-265-2637545,,
Comffits Collection,Companies(Private),Jodhpur,"58-A, Opposite Verka Milk Plant, B.R.S. Nagar, Ferozepur Road, Ludhiana 141012, PB",+91-9815459933,",rakesh.com2@yahoo.com,comffits@gmail.com,",
Balaji Panel Craft,Companies(Private),Jodhpur,"118/80-A, K S R Layout, Devarachikkanahalli, Off Bannaraghatta Road, IIM Post, Bangalore 560076, KA",+91-80-26488620,",thebalajiinternational@gmail.com,mehtaopticals13@gmail.com,",
Ace Hardware Pvt Ltd,Companies(Private),Jodhpur,"B-5, Bulandshahr Road, Industrial Area, Ghaziabad 201002, UP",+91-120-4608888,",JSmith@acehardware.com,x3ejohn@acehardware.com,john@acehardware.com,johnd@acehardware.com,vinodsharma@acehard.in,jdoe@acehardware.com,x3evinodsharma@acehard.in,x3ejohnd@acehardware.com,x3ejdoe@acehardware.com,info@acehard.in,vmn@newstechindia.com,",
JPM Group,Companies(Private),Jodhpur,"14-GP, HSIDC Industrial Estate, Sector 18, Gurgaon 122001, HR",+91-124-4623400,"corpjpmindustries@gmail.com,x3ecorpjpmindustries@gmail.com,,",
Vijay Seeds Company Ltd,Companies(Private),Jodhpur,"A-9/17, New MIDC, Jalna 431203, MH",+91-2482-220347,",vijayscorpo@gmail.com,rps.basti@mail.com,vijayseeds.jalna@gmail.com,rpratap@tokitaseedindia.com,shivagro@yahoo.co.in,",
Rajshree Sugars and Chemicals Ltd,Companies(Private),Jodhpur,"7, 3rd Street, Ganapathy Colony, Teynampet, Chennai 600018, TN",+91-44-24331780,",narayanan@rajshreesugars.com,investor@rajshreesugars.com,ponraj@rajshreesugars.com,x3eponraj@rajshreesugars.com,rscl@rajshreesugars.com,",
