Name,Sector,City,Address,Phone,Email,Lat-Long
Mithi Software Technologies,Companies(Private),Kalyani,"103, MayFair Court, Nachiket Park, Dr. Pai Marg, Baner Road, Pune 411045, MH",,",sales@mithi.com,Ashik.Swamy@iflexsolutions.com,jyothi@recruitbeyond.com,er.vikaspandey86@gmail.com,tarun@mithi.com,ppa@igate.com,",
Softgenio Technology,Companies(Private),Kalyani,"68-B, Smriti Vihar, Sector K-1, Ashiyana Colony, Kanpur Road, Lucknow 226012, UP","+91-522-3510038, +91-8188886786",,
Cotmac Electronics Pvt Ltd,Companies(Private),Kalyani,"168-S, MIDC, Bhosari, Pune 411026, MH",+91-20-30687200,"shyam@cotmac.com,,info@cotmac.io,x3einfo@cotmac.io,conorsolders@gmail.com,last@cotmac.io,",
Omni Lens Pvt Ltd,Companies(Private),Kalyani,"5, Samruddhi, Near Sattar Taluka Society, Navrangpura, Ahmedabad 380014, GJ",,"account@omnilens.in,,info@omnilens.in,kxxxxxxi@omnilens.in,",
Chethana Pharmaceuticals,Companies(Private),Kalyani,"Ambalakat Road, Perinthalmanna? 679322, KL",,",novusapob@gmail.com,x3eco.sec@ehspl.com,ashaslg66@gmail.com,co.sec@ehspl.com,roc.chennai@mca.gov.in,",
MTR Foods Pvt Ltd,Companies(Private),Kalyani,"1st Floor, 2nd Floor & 3rd Floor, 100 Feet Ring Road, Ejaipura, Bangalore 560047, KA",+91-80-40812100,",last@mtrfoods.com,x3efeedback@mtrfoods.com,feedback@mtrfoods.com,murthy.r@mtrfoods.com,",
Unicommerce eSolutions Pvt Ltd,Companies(Private),Kalyani,"203, Phase 3, Okhla Industrial Area, New Delhi 110020, DL",+91-8287790222,"KARUN@UNICOMMERCE.CO,,companysecretary@unicommerce.com,contactus@unicommerce.com,","19.2401433,73.0477465"
Worldex India Exhibition & Promotion Pvt Ltd,Companies(Private),Kalyani,"309, Parvati Premises, Sun Mill Complex, Lower Parel West, Mumbai 400013, MH",-40376631,,
Vindhya E-Infomedia Pvt Ltd,Companies(Private),Kalyani,"3, 4, 2, 4, Rajajinagar Industrial Town, Bangalore 560044, KA",,"Neville.Kavarana@wpa.org.uk,prasoon@irisglobal.in,toronto@immigrationwwics.com,grievance.ind@worldline.com,accounts@jaypee.in,contact@htcinc.com,ANTHONY@WORLDBIZGLOBALSERVICES.COM,toronto@immigrationwwics.com,grievance.ind@worldline.com,accounts@jaypee.in,contact@htcinc.com,x3eNeville.Kavarana@wpa.org.uk,x3eprasoon@irisglobal.in,",
Xpointers Consulting,Companies(Private),Kalyani,,,"contact@acurussolutions.com,hr@acurussolutions.com,acusol@acurussolutions.com,",
ISC Assurance Services Pvt Ltd,Companies(Private),Kalyani,"188, 193, Sector 1, RSC Road No 1-A, Gorai, Borivali West, Mumbai 400091, MH","+91-22-28679809, +91-22-28687730",,
Cross-Tab Marketing Services Pvt Ltd,Companies(Private),Kalyani,,,"compliance@course5i.com,suchitra.pritesh@cross-tab.com,srirang.mahabhagwat@cross-tab.com,",
