Name,Sector,City,Address,Phone,Email,Lat-Long
Avicsoft IT Solutions,Companies(Private),Kanpur,"Ganganga Building, Near Bhairavnath Temple, Baner, Pune 411045, MH",+91-9028332951,,
Hi-Mark Export,Companies(Private),Kanpur,"A-10/39, Industrial Area, Meerut Road, Ghaziabad 201001, UP",+91-8043256783,",finance@merlinprojects.com,navdeepsingh1@kpmg.co,admin@unicorn.firm.in,",
Goradia Industries,Companies(Private),Kanpur,"Gala 101/106, Building No 2, Shivalay industrial Estate, Waliv Road, Chicnpada, Bassein 400059, MH","+91-250-3298973, +91-9833884973",",accounts@wesourceindia.com,",
C R Garments,Companies(Private),Kanpur,"330/1, TXT Mills, Palladam Road, Sri Gokula Krishna Nagar, Tirupur 641605, TN",+91-421-2210978,",finance@merlinprojects.com,",
Arun Textiles,Companies(Private),Kanpur,"99-18, Thottiapatti Road, Rajapalayam 626117, TN",+91-4563-231421,",aruntextiles@aruntextiles.com,aruntex@vsnl.com,ANKIT_BHATNAGAR@Ymail.com,",
Three Clothing Pvt Ltd,Companies(Private),Kanpur,"A-78, Sector 5, Noida 201301, UP",+91-120-4018400,"hrm@rbrindia.com,,paritoshberry@gmail.com,equiplus@equiindia.in,",
Virat Industries Ltd,Companies(Private),Kanpur,"74, 7th Floor, Bajaj Bhavan, Nariman Point, Mumbai 400011, MH","+91-22-22029346, +91-22-22029347",",fca.vijaygupta@gmail.com,info@viratsteels.com,factory@viratindustries.com,viratpolytexpvtltd@gmail.com,",
Shri Shyam Fashion Textiles Pvt Ltd,Companies(Private),Kanpur,"37, Fashion House, Armenian Street, Kolkata 700001, WB","+91-33-22719004, +91-33-22719005",",sonali.ved@infomerics.com,accounts@shyamfashion.com,kolkata@shyamfashion.com,ANURAG@DAMYA.IN,",
Reliance Jute Mills International Ltd,Companies(Private),Kanpur,"4th Floor, Ideal Plaza, South Block, Bhowanipore, Kolkata 700020, WB","+91-33-22807017, +91-33-22807018","naihati@naihatijute.com,,first_initial@reliancejute.com,financeho@reliancejute.com,legal@reliancejute.com,ajmltd@rediffmail.com,agpjute@vsnl.net,x3eajmltd@rediffmail.com,x3enaihati@naihatijute.com,",
Amrut Industries,Companies(Private),Kanpur,"Plot No 5/B, Gopal Estate, Opposite Vallabhanagar, Odhav, Ahmedabad 382415, GJ",+91-79-22870571,",PANDEYMAHESH507@GMAIL.COM,appl@ymail.com,cs@agindus.com,cavarunkohli@gmail.com,x3eappl@ymail.com,amrit.hannu@gmail.com,info@amritagro.com,x3ecs@agindus.com,",
Mukesh Industries Ltd,Companies(Private),Kanpur,"National Highway 8, Narol, Ahmedabad 382405, GJ",+91-79-25732550,"Rajender.singh@kei-ind.com,,sanjayca786@gmail.com,",
MSF Group,Companies(Private),Kanpur,"5&6, 14/75, 2nd Floor, VIP Road, Civil Lines, Kanpur 208001, UP",+91-512-3051748,",info@msfgroup.in,vijay_kga93@rediffmail.com,rs@msfgroup.in,",
Mirah Dekor Ltd (Mirah Group) (Mirah),Companies(Private),Kanpur,"317, Sun Mill Compound, Parvati Industrial Estate, Lower Parel West, Mumbai 400013, MH","+91-22-40965600, +91-22-40502900",",3starplast@gmail.com,mirahdekor@yahoo.com,1converse@sonotech-inc.com,",
JP Polymers Pvt Ltd,Companies(Private),Kanpur,"601, Western Edge, 1 Western Express Highway, Above Metro Mall, Borivali East, Mumbai 400066, MH","+91-22-67895555, +91-22-67895599",",accounts@jppolymers.in,rakesh.shejwal@aartigroup.cominfo,mail@jppolymers.in,mathur@jkmail.com,",
Jindal Cotex Ltd,Companies(Private),Kanpur,"VPO Jugiana, GT Road, Ludhiana 141420, PB","+91-161-2511840, +91-161-2511841",",cs@sjgroup.in,aahuja@jindalcotex.com,",
Jayshree International,Companies(Private),Kanpur,"B-96, E/2, Sector 60, Noida 201301, UP","+91-120-4307700, +91-120-4307701",",info@jayashreepolymers.com,omplasticskanpur@gmail.com,mahesh@jayshreetextiles.com,kamaljhawar@rediffmail.com,",
Aacess Tough Doors Pvt Ltd,Companies(Private),Kanpur,"B-8 & 9/1, IDA Kukatpally, Hyderabad 502336, TS","+91-40-23078064, +91-40-23078065",",aacesstoughdoorspl@gmail.com,",
Medors Renewable Energy,Companies(Private),Kanpur,"552, B, Medors House, New Friends Colony, New Delhi 110025, DL",+91-11-41354444,,
Ritika Pvt Ltd (Ritukumar),Companies(Private),Kanpur,"280, Phase 2, Udyog Vihar, Gurgaon 122016, HR",+91-124-3884300,"xxxxxxa@ritukumar.com,,customercare@ritukumar.com,",
Techtran Polylenses Ltd,Companies(Private),Kanpur,"7, T.I.E, Behind Andhra Bank, Bala Nagar, Hyderabad 500037, TS",,"complaints@cilsecurities.com,,cs@techtranindia.com,",
Radius Healthcare Pvt Ltd,Companies(Private),Kanpur,"403, Mauryansh Elanza, Near Parekhs Hospital Shyamal Cross Road, Satellite, Ahmedabad 380015, GJ",,",info@larenon.com,getyogeshwar@gmail.com,x3eksbspl@yahoo.in,x3einfo@larenon.com,ksbspl@yahoo.in,mkt@radiushc.com,",
Menarini India Pvt Ltd,Companies(Private),Kanpur,"Tower 3, India Bull Finance Centre, 21st Floor, Lower Parel, Mumbai 400013, MH",,",JSmith@menarini.it,india_legal_services@menariniapac.com,x3eindia_legal_services@menariniapac.com,",
Kekule Pharma Ltd,Companies(Private),Kanpur,"A-4, Madhura Nagar Colony, Sanjeeva Reddy Nagar, Hyderabad 500038, TS",,",admin@kekulepharma.com,PRABHAKAR@VUTTS.COM,x3eadmin@kekulepharma.com,contact@kekulepharma.com,email@vutts.com,",
Kalan Pharmaceuticals,Companies(Private),Kanpur,"Nellayi, Irinjalakuda 680305, KL",,",chetan0885@gmail.com,saggitariouspharma@gmail.com,mda612@gmail.com,maanchaudhary01@gmail.com,",
Jyotindra International,Companies(Private),Kanpur,"Palanpur Ahmedabad State Highway 41, Palanpur 385001, GJ",,",cs@lohiagroup.com,info@jyotindra.com,ainmedicare@rediffmail.com,",
