Name,Sector,City,Address,Phone,Email,Lat-Long
Gold's Gym - Kanpur,Gym,Kanpur,"Westcott Building, 37/17, Mall Rd, Kanpur, Uttar Pradesh 208001",072329 10101,"WeCare@GoldsGym.in,,mallroad.kanpur@goldsgym.in,","26.471823,80.3524314"
Yash Ayurvedic & Yoga Center - Jarib Chowk - Kanpur,Gym,Kanpur,"108, 7, Chauki Jarib, P Road, Jarib Chowki, Kanpur 208012, UP","+91-9305608352, +91-9838364943, +91-512-2226554",,
VLCC - Swaroop Nagar - Kanpur,Gym,Kanpur,"7, 190, Nageshwar Tower, Swaroop Nagar, Kanpur 208002, UP","+91-512-2557147, +91-512-2557153, +91-512-3048397",,
VLCC - Civil Lines - Kanpur,Gym,Kanpur,"13, 388, Near Merchant Chamber Hall, Civil Lines, Kanpur 208001, UP","+91-512-2530230, +91-9335017854",",contact@vlccwellness.com,kanpur.up@vlccwellness.com,",
VLCC - Tilak Nagar - Kanpur,Gym,Kanpur,"7, 29-B, Rattan Castles, Filkhana, Tilak Nagar, Kanpur 208004, UP","+91-512-2551130, +91-512-2551410",,
VLCC - Kanpur,Gym,Kanpur,,,",info@vlccwellness.com,kanpur.salon@vlccwellness.com,kanpur.up@vlccwellness.com,",
Universal Health Club - Chauraha - Kanpur,Gym,Kanpur,"98, 123, Dada Miya, Chauraha, Kanpur 208001, UP",+91-512-3124980,,
Talwalkars Prime Fitness - Swaroop Nagar - Kanpur,Gym,Kanpur,"7, 216, Pratap Press, Swaroop Nagar, Kanpur 208001, UP",+91-512-2549433,,
Speed Power Gym - Jajmau Kanpu - Kanpur,Gym,Kanpur,"426, 5,Pokharpur, Near Motinagar, Jajmau Kanpur, Kanpur 208010, UP","+91-9839140681, +91-512-2451903",",speed-power-gym-kanpur-5x8f22@h5.html,shobhitraina@gmail.com,",
Shri BalaJi Helth Club - Shastri Nagar - Kanpur,Gym,Kanpur,"402, 9, Shastri Nagar, Kanpur 208005, UP",+91-9889949252,,
Revive-A Complete Fitness Solution - Lajpat Nagar - Kanpur,Gym,Kanpur,"120, 611-A, Near Mariampur School, Lajpat Nagar, Kanpur 208005, UP","+91-9336130930, +91-512-2223075",",hrk693@gmail.com,sumitdang01@gmail.com,",
Rajeev Fitness Academy - Swaroop Nagar - Kanpur,Gym,Kanpur,"1st Floor, Najari Bazar, Swaroop Nagar, Kanpur 208002, UP","+91-7499766550, +91-512-3913271",,
Proline Fitness - Lajpat Nagar - Kanpur,Gym,Kanpur,"Lajpat Nagar, Kanpur- 208005, UP",+91-9935919986,,
Perfect Point - Sarvodalya Nagar - Kanpur,Gym,Kanpur,"17, Sarvodalya Nagar, Kanpur 208005, UP","+91-512-2218839, +91-512-2234193, +91-512-3262205, +91-9336276970","perfectpointknp@gmail.com,,",
Payal Fitness Club - Vijay Nagar - Kanpur,Gym,Kanpur,"117, 71, Neeta Tower Kaka Deo, Devki Talkies, Vijay Nagar, Kanpur 208025, UP",+91-9956194668,",rkfitnessdwarka@gmail.com,",
Pantajali Yoga Centre - Birhana Road - Kanpur,Gym,Kanpur,"Ram Narayan Bazar, Near Bharat Mata Mandir, Birhana Road, Kanpur 208001, UP",+91-9335086999,"yoggram@patanjaliyoggram.com,,onlineyoggram@divyayoga.com,admin@maharishipatanjali.org,",
Muscles Gym - Kanpur,Gym,Kanpur,"Panki Power House, Kanpur 208020, UP",+91-9956122167,,
Millenium Gym - Kalyanpu - Kanpur,Gym,Kanpur,"2646, Awas Vikas Colony-3, Near Shiv Mandir Chauraha, Kalyanpur, Kanpur 208018, UP","+91-9307219306, +91-9307620445",",mallroad.kanpur@goldsgym.in,",
Gold Gym - Swaroop Nagar - Kanpur,Gym,Kanpur,"113, 4-G, Swaroop Nagar, Kanpur 208002, UP","+91-512-2523617, +91-512-2523618",",support@goldsgymkanpur.com,swaroopnagar.kanpur@goldsgymindia.com,mallroad.kanpur@goldsgym.in,",
Fitness Planet - Swaroop Nagar - Kanpur,Gym,Kanpur,"7, 165, Swaroop Nagar, Kanpur 208001, UP",+91-512-2292514,,
DEV Anand Yoga Kendra - Geeta Nagar - Kanpur,Gym,Kanpur,"Near Vishnoi Park, Geeta Nagar, Kanpur 208025, UP","+91-9336115528, +91-512-2500380",,
