Name,Sector,City,Address,Phone,Email,Lat-Long
Vogue Textiles Ltd,Companies(Private),Karur,"A-206, Somdutt Chamber, Bhikijicama Place, New Delhi 110066, DL","+91-11-26101915, +91-11-26170297",",voguehomeproducts@gmail.com,info@voguetextiles.com,email@sunbrightfashions.com,",
Birla Cotsyn India Ltd (BCIL) (Yash Birla),Companies(Private),Karur,"1st Floor, Dalamal House, JB Marg, Nariman Point, Mumbai 400021, MH",+91-22-66168400,"sujata@scassociates.co.in,,info@adroitcorporate.com,bcil@birlacotsyn.com,",
Premina Exports,Companies(Private),Karur,"20, 3rd Street, 60 Feet Road, Gandhi Nagar, Tirupur 641603, TN","+91-421-2476059, +91-421-2477059","pma@pmaindia.com,,mail@kandhanknitss.com,premina@airtelbroadband.in,ruchi@pmaindia.com,",
Kanishka Sarees,Companies(Private),Karur,"UG-11, Raghuveer Business Empire, Parvat Patia, Surat 395002, GJ",+91-9825075872,",order@kaniskaonline.com,sales@bookyourcatalog.com,",
Hansa Agencies Pvt Ltd,Companies(Private),Karur,"B-124, Industrial Area Phase 1, Okhla, New Delhi 110020, DL","+91-11-26811120, +91-11-41611932","secretarial@rkswamy.com,,GAURAVNISHANTMCA@YAHOO.COM,hansa_agencies@yahoo.co.in,x3ehansa_agencies@yahoo.co.in,prabhu.ts@hansaestates.com,x3esecretarial@rkswamy.com,sathyanarayanan@hansaestates.com,",
Geeta Overseas,Companies(Private),Karur,"Opposite Arya Niwas Hotel, SC Road, Jaipur 302001, RJ",+91-141-2360932,",jainchopra.company@gmail.com,mail@primeglobal.in,sanjayatolani@gmail.com,jainchopra.company@yahoo.com,",
Dixcy Textiles Pvt Ltd,Companies(Private),Karur,"10/5, Dixcy Campus, Maniosai Nagar, Poosaripallayam, Chengapalli, Tirupur 638812, TN",+91-421-3061111,",hr@dixcy.co.in,manjuexp@gmail.com,dixcyonline@sify.com,dixcy@dixcyonline.com,last@dixcy.co.in,",
Arjay Apparel Industries Ltd,Companies(Private),Karur,"303/4/5, A-Z Industrial Premises, GK Marg, Lower Parel, Mumbai 400026, MH",+91-22-24935421,",arjayapparel@gmail.com,",
Anand International,Companies(Private),Karur,"Plot No? 190-191-192, Sector 25, Part 2, HUDA, Panipat 132103, HR","+91-180-3290712, +91-180-2666998",",anand@kariwala.com,info@mallow.in,jha@careratings.com,roc.chennai@mca.gov.in,rakesh@anandint.com,anand.jha@careratings.com,dinesh@richaglobal.com,anandtextiles10@gmail.com,",
AB Creations,Companies(Private),Karur,"B-39A, Sector 60, Noida 201301, UP","+91-120-2584307, +91-120-2584308",",roc.chennai@mca.gov.in,aauraafab.karur@gmail.com,Mktg1@rkexports.com,",
Sri Ram Spinning Mills Ltd,Companies(Private),Karur,"3-6-168/4, Hyderguda, Hyderabad 500029, TS","+91-40-23221788, +91-40-23227792",",info@ramspg.com,premier_tex@bsnl.in,sushil@ramspg.com,scmrjpm@gmail.com,",
Anu Exports Pvt Ltd,Companies(Private),Karur,"37/224, Bandu Katra, Agra 282001, UP","+91-562-2410124, +91-9997455666",",thangavel@braveotextile.com,deodatta@aristochemicals.in,gopal@metrokarur.com,roc.chennai@mca.gov.in,vijay@bsapparelindia.com,",
Pothys Pvt Ltd,Companies(Private),Karur,"15, Nageswara Rao Road, Panagal Park, Chennai 600017, TN","+91-44-43966333, +91-44-24310901",",SULT20012002@YAHOO.COM,babysuba@gmail.com,",
