Name,Sector,City,Address,Phone,Email,Lat-Long
ADP Softwares,Companies(Private),Khair,"Raj Bhavan Road, Hyderabad 500082, TS",,",JSmith@adp.com,x3esecretarial.adpindia@adp.com,abuse@adp.com,secretarial.adpindia@adp.com,John.Smith@adp.com,x3eJohn.Smith@adp.com,John_Smith@adp.com,",
Andromeda Energy Technology Pvt Ltd,Companies(Private),Khair,"9, 1, 18, 24, 4, 1, OppositeCivil Court, S.P. Road, Secunderabad 500003, AP",+91-40-27803147,",contact@andromeda.in,cosecretarialcomp@gmail.com,info@thegoodnessgrocery.com,solite@andromedasolar.com,",
Combii Organochem Pvt Ltd,Companies(Private),Khair,"33, DSIDC Area, Scheme 3, Okhla Industrial Area, Phase 2, New Delhi 110020, DL",,",arjun.khanna@hotmail.com,",
Revell Creation Pvt Ltd,Companies(Private),Khair,"2059, Akruti Sankul, 5th Floor, Opposite Janata Sahakari Bank, Behind Hero Showroom, Sadashivpeth, Pune 411030, MH",-24333060,",amollambe@gmail.com,x3eamollambe@gmail.com,n.mediasolution@gmail.com,x3ermaikca@gmail.com,rmaikca@gmail.com,x22amollambe@gmail.com,",
Gauge Advertising and Marketing Pvt Ltd,Companies(Private),Khair,"79, 5th Main Road, 1st Cross, 2nd Stage, Domlur, Bangalore 560071, KA","+91-80-41482803, +91-80-41482804",",contact@gaugeadvertising.com,surender.keswani@gaugeadvertising.com,",
XTEND Consulting Pvt Ltd,Companies(Private),Khair,"1st Floor, Midtown Plaza, Road No 1, Banjara Hills, Hyderabad 500033, TS",+91-9701974777,"alkarim.somji@zafin.com,indiaoperations@zafin.com,info@zafin.com,alkarim.somji@zafin.com,",
Vasudevan & Associates,Companies(Private),Khair,"32, 16, 1st Floor, Errabalu Chetty Street, Chennai 600001, TN","+91-44-25225096, +91-44-25223898","hiroshi_sumi@toyobo.jp,DLEVRYINDIA@tietoevry.com,rramaswamy@synamedia.com,rramaswamy@synamedia.com,rramaswamy@synamedia.com,accounts@sumilon.com,versatilestrategics01@gmail.com,nishant.gupta4824@gmail.com,manjuajwani@gmail.com,xxxx@versatilebschool.com,x3ehiroshi_sumi@toyobo.jp,x3eDLEVRYINDIA@tietoevry.com,x22rramaswamy@synamedia.com,x3erramaswamy@synamedia.com,x3erramaswamy@synamedia.com,x3eaccounts@sumilon.com,",
Transition HR India,Companies(Private),Khair,"101, Nagesh Tower, Near Hari Niwas Circle, LBS Marg, Thane West, Mumbai 400602, MH","+91-22-25388150, +91-9552704300",,
Insight Consultancy Services,Companies(Private),Khair,"L-Square Building, Sanghvi Nagar, Aundh, Pune 411007, MH",+91-20-25884123,"last@ipspl.com,x3etarang.goyal@ipsgroup.co.in,tarang.goyal@ipsgroup.co.in,",
AK Placement Services Pvt Ltd,Companies(Private),Khair,"201, 301, Priyanka Apartments, Jambhli Naka, Thane West, Mumbai 400601, MH","+91-22-25330988, +91-22-25438143","resume@aliensindia.co.in,",
