Name,Sector,City,Address,Phone,Email,Lat-Long
Bodyshockz Fitness Studio - Kochi,Gym,Kochi,"Kaloor - Kadavanthara Rd, Kathrikadavu, Kaloor, Ernakulam, Kerala 682018",096337 79911,",bodyshockz23@gmail.com,","9.982629,76.2932046"
Womens World Multi Gym Health Club - Ernakulam - Kochi,Gym,Kochi,"Kochaneth Building, Opposite Hotel Aragon, Janatha Junction, Palarivattom, Ernakulam, Kochi 682025, KL","+91-484-2349294, +91-9447049294",",cochinsuburbanclub1980@gmail.com,",
Talwalkars Better Value Fitness Pvt.Ltd - Ernakulam - Kochi,Gym,Kochi,"Puthran Plaza, Near Maharaja College Ground, Mahatma Gandhi Road, Ernakulam, Kochi 682018, KL","+91-484-4059888, +91-9995906631",",rnt.helpdesk@linkintime.co.in,",
Slimfit Ladies Fitness Concept - Ernakulam - Kochi,Gym,Kochi,"68/3069, Ayyappankavu West Road, Ernakulam, Kochi 682018, KL","+91-484-2397444, +91-9446549518",,
Phenomal Health Care Services Ltd - Ernakulam - Kochi,Gym,Kochi,"AI Building, 2nd Floor, Chelad Junction, Ernakulam, Kochi 686681, KL",+91-485-2402927,"mmquickera@gmail.com,customer@Phenomenalgroup.org,phenomenalchalakkudy@yahoo.co.in,,",
Muscle World Multi Gymnasium - Ernakulam - Kochi,Gym,Kochi,"Kulapurackal Chamber, Thevara Perumanoor, Ravipuram, Ernakulam, Kochi 682016, KL","+91-484-2663423, +91-9846271712",,
Leehans Family Fitness Club - Ernakulam - Kochi,Gym,Kochi,"Adam Square, Opposite Icici Bank, Church Junction, Aluva Road, Angamally, Ernakulam, Kochi 683572, KL","+91-484-2457007, +91-9447754450",,
Gold'S Gym - Ernakulam - Kochi,Gym,Kochi,"Syama Business Centre, 4th Floor, Near Vytilla Over Bridge, Vyttila, Ernakulam, Kochi 682019, KL","+91-484-3952999, +91-8129344779","WeCare@GoldsGym.in,,vyttila.cochin@goldsgymindia.com,",
Future Health - Ernakulam - Kochi,Gym,Kochi,"Ernakulam College, Opposite Press Club, Ernakulam, Kochi 682035, KL","+91-9388777703, +91-9388339888",",jeemohn@gmail.com,maanahealthcare@gmail.com,",
Fitness Lounge - Ernakulam - Kochi,Gym,Kochi,"Rambal Yuteeka, 3rd Floor, Opposite Varma Hospital, Refinery Road, Tripunithura, Ernakulam, Kochi 682301, KL","+91-484-6053502, +91-9946413502",",hr@darc1fitness.co,info@liveinfitnessclub.com,",
City Fitness Centre - Ernakulam - Kochi,Gym,Kochi,"Koothatukulam, Ernakulam, Kochi 686662, KL",+91-485-2251310,",memberservices@cityfitness.co.nz,cochinsuburbanclub1980@gmail.com,x3ememberservices@cityfitness.co.nz,",
Body Fuel - Ernakulam - Kochi,Gym,Kochi,"Near Jyothi Theatre, P P Road, Perumbavoor, Ernakulam, Kochi 683542, KL",+91-9947300366,,
Aston Health & Fitness - Ernakulam - Kochi,Gym,Kochi,"Sa Road, Kadavanthara, Ernakulam, Kochi 682020, KL","+91-484-2324075, +91-9846066777",,
Aerofit Fitness Shop - Ernakulam - Kochi,Gym,Kochi,"Central Arcade, Opposite Vimalagiri Public School, Kothamangalam College, Ernakulam, Kochi 686666, KL","+91-9539070482, +91-9645257878",",aerofit.info@gmail.com,",
