Name,Sector,City,Address,Phone,Email,Lat-Long
Nspire Aerospace,Companies(Private),Koregaon,"B-250, Royal Palms, ORM Wing B Co-operative Society, Aarey Milk Colony, Goregaon East, Mumbai 400063, MH",+91-9561458959,",nspireaerospace@gmail.com,pbasak2004@gmail.com,reservations@aranhahomes.com,kratan@nspiretech.com,parijat060107@gmail.com,",
Akhil Bhartiya Vidharthi Parishad,Companies(Private),Koregaon,"03, Marble Arch, Near Western Railway Station, Matunga Road, Senapati Bapat Marg, Mahim, Mumbai 400016, MH",+91-22-24306321,",anil.wawge@indiatimes.com,mahantravels@rediffmail.com,",
Rita Fashion Pvt Ltd,Companies(Private),Koregaon,"F-3130, New Textile Market, Ring Road, Surat 395002, GJ",+91-8401710773,",x3eIndia.finance@givaudan.com,ritafashion@drdcs.net,India.finance@givaudan.com,ritafashion2014@gmail.com,",
Kerala State Electricity Board,Companies(Private),Koregaon,"Vydyuthi Bhavanam, Pattom, Thiruvananthapuram 695004, KL",+91-471-2514424,",tcsdtvla@gmail.com,cmdkseb@kseb.in,pmukozhikode@gmail.com,",
Tamil Naadu Edible Oils Pvt Ltd,Companies(Private),Koregaon,"Old No J-14/7, New No J-84/7, Gangwal Mansion, 3rd Floor, 3rd Avenue, Anna Nagar East, Chennai 600102, TN","+91-44-26282633, +91-44-26285080",",aanandh@tnedibleoil.com,support@tnedibleoil.com,doe_j@tnedibleoil.com,",
Thakur Publication Pvt Ltd,Companies(Private),Koregaon,"115, Jankipuram Extension, 60 Feet Road, Lucknow 226021, UP",+91-9235318508,",rohit@gera.in,djane@tppl.org.in,thakurpublication@gmail.com,customercare@tppl.org.in,","18.5124722,73.8508824"
Sphinx Creative Communications India Pvt Ltd,Companies(Private),Koregaon,"171, Raja Industrial Estate, P K Road, Mulund West, Mumbai 400080, MH",-41565931,",sales@sphinx-solution.com,dinesh@sphinxworld.com,",
JindalRHM Interactive Pvt Ltd,Companies(Private),Koregaon,"101, GCP Business Centre, Memnagar, Ahmedabad 380014, GJ",-61344950,,
Innovatus Marketers Touchpoint LLP,Companies(Private),Koregaon,"703, Shivai Plaza, Gamdevi, Marol, Andheri East, Mumbai 400159, MH",-8080015409,,
Kothari Phytochemicals Pvt Ltd,Companies(Private),Koregaon,"C-4, Gillander House, Netaji Subhas Road, Kolkata 700001, WB","+91-33-22302331, +91-33-22304182","urmilasharma0707@gmail.com,urmilasharma0707@gmail.com,",
Chemexcil,Companies(Private),Koregaon,"7, 4th Floor, Jhansi Castle, Cooperage Road, Mumbai 400001, MH","+91-22-22021288, +91-22-22021300","mpandit@chemito.net,mpandit@chemito.net,",
JURONG Consultants (India) Pvt Ltd,Companies(Private),Koregaon,"1-5, Jurong House, Palace Road, Bangalore 560001, KA",+91-80-22207292,"newdelhi@kadenboriss.com,hemant.batra@kadenboriss.com,accounts@kadenboriss.com,",
Circular Angle,Companies(Private),Koregaon,"2-M, 1st Floor, Konark Tower, Opposite Saibaba Temple, Ghantali Road, Mumbai 400601, MH",+91-22-25983040,"acc.mum@atlasdecargo.com,smile.comm@sci.co.in,info@coastalshippinglinks.com,",
