Name,Sector,City,Address,Phone,Email,Lat-Long
Valueline,Companies(Private),Kota,,,",sales@valueline.in,infoprivacy@valueline.com,",
HBS Consultancy,Companies(Private),Kota,"Hot Jobs CONTACT INFO ADDRESS Bhubaneswar, Odisha, India",+91-9004852395,",tnsvaluer5@gmail.comNagasat,hbs.hr@hays.com,info@hbsconsultancy.com,yam_turlapati@yahoo.com,hr@hays.com,",
Sammarth Overseas & Credits Pvt Ltd,Companies(Private),Kota,"7-2-1851/2-A, Fatah Bagh, Sanath Nagar, Hyderabad 500018, TS",+91-40-23816371,,
Nandani Laboratories Pvt Ltd,Companies(Private),Kota,"221/5, Bicholi Hapsi, Kanadia Road, Indore 452001, MP",,"dctc-nr@dcmsme.gov.in,,modernlabs@yahoo.co.in,",
Asence Pharma Pvt Ltd,Companies(Private),Kota,"Sarabhai Campus, Dr. Vikram Sarabhai Marg, Wadi, Vadodara 390023, GJ",,",last@asence.com,x3eddesai@sarabhai.co.in,ddesai@sarabhai.co.in,disha@systronicsindia.com,sales@asence.com,",
Khoday India Ltd,Companies(Private),Kota,"Brewery House, 7th Mile, Kanakapura Road, Bangalore 560062, KA","+91-80-22956575, +91-80-22956570","x3eVenkat@khodayindia.com,,venkat@khodayindia.com,last_initial@khodayindia.com,Venkat@khodayindia.com,",
Commar And Associates Pvt Ltd,Companies(Private),Kota,"A-50, New Friends Colony, New Delhi 110025, DL",91-11-26832824,",commar@niblkorta.in,x3ekamlesh.kumar@cmassociates.net,DLEVRYINDIA@tietoevry.com,kamlesh.kumar@cmassociates.net,commars@live.com,x3eDLEVRYINDIA@tietoevry.com,","28.5658979,77.2633459"
Chamong Tea Exports Pvt Ltd,Companies(Private),Kota,"2, N. C. Dutta Sarani, Sagar Estate, 5th Floor, Unit 1, Kolkata 700001, WB","+91-33-22434979, +91-33-30936400",",muralipadikkal@pai.murugappa.com,salesonline1@chamong.com,office@chamong.com,sales@duflating.com,chamong@snoline.com,","22.567405,88.3387494"
Savio Jewellery,Companies(Private),Kota,"224, Apex Mall, 1st Floor, Tonk Road, Jaipur 302015, RJ",-4012261,,
Shree Cement Ltd,Companies(Private),Kota,"21, Strand Road, Kolkata 700001, WB","+91-33-22309601, +91-33-63240000",",singhbhawani@shreecementltd.com,shreebwr@shrcecementltd.com,investor@shreecement.com,sxxxxxxxxxxxj@shreecement.com,shyam.khandelwal@shreecement.com,",
Pokarna Ltd,Companies(Private),Kota,"105, 1st Floor, Surya Towers, SP Road, Secunderabad 500003, AP","+91-40-27842182, +91-40-27844101",",contact@pokarna.com,procurement@pokarna.com,companysecretary@pokarna.com,finance@pokarna.com,x3ecompanysecretary@pokarna.com,marketing@pokarna.com,",
Manikgarh Cement,Companies(Private),Kota,"159, Industry House, Churchgate, Mumbai 400020, MH",-22871742,",headoffice@maiharcement.co.in,x3einvestor@indiacements.co.in,ccisystm@vsnl.com,investor@indiacements.co.in,",
SPS HR Solutions,Companies(Private),Kota,"2nd Floor, Sri Krishna Corner, Opposite Banaswadi Police Station, HRBR Layout, Kalyan Nagar, Bangalore 560043, KA",+91-9742752268,"ssi.management@gmail.com,hr@ssimanagementconsultant.com,",
Ample Consultants Pvt Ltd,Companies(Private),Kota,"504-A, Hemkunt Chambers 89, Nehru Place, New Delhi 110019, DL",+91-11-41618000,"mail@Lotex.co.in,financeadmin@anantsol.com,jane_doe@anantsol.com,",
