Name,Sector,City,Address,Phone,Email,Lat-Long
G M Shawls Pvt Ltd,Companies(Private),Kottayam,"3, Feroze Gandhi Road, Lajpat Nagar 3, New Delhi 110024, DL",+91-9810537801,",adityaainani@yahoo.com,bazazvijay@gmail.com,canighatnazir@gmail.com,",
Sandoz Pvt Ltd,Companies(Private),Kottayam,"8/A/2, 8/B, TTC Industrial Area, Thane Belapur Road, Airoli, Navi Mumbai 400708, MH",,",mailbox.sandoz-gb@sandoz.com,india.investors@novartis.com,x3eindia.investors@novartis.com,x3emailbox.sandoz-gb@sandoz.com,",
Bliss GVS Pharma Ltd,Companies(Private),Kottayam,"102, Hyde Park, Sakivihar Road, Andheri ?East, Mumbai 400072, MH",,"last@blissgvs.com,,cs@blissgvs.com,info@unisec.in,gagan@blissgvs.com,deepak.sawant@blissgvs.com,",
Malas Fruit Products,Companies(Private),Kottayam,"25/1A, Bhose Village, Post Panchgani, District Satara, Mahabaleswar 412805, MH","+91-2168-240312, +91-2168-2406721",",a1greens.india@gmail.com,",
Kesar Enterprises Ltd,Companies(Private),Kottayam,"Oriental House, 7, Jamshedji Tata Road, Churchgate, Mumbai 400020, MH","+91-22-22851737, +91-22-22042396",",mumbai@linkintime.co.in,vinaymaurya7985@gmail.com,headoffice@kesarindia.com,kesarbaheri@kesarindia.com,gauravsharma@kesarindia.com,x3eheadoffice@kesarindia.com,",
Devon Plantations & Industries Ltd,Companies(Private),Kottayam,"Empire Infantry, 29, Infantry Road, Bangalore 560001, KA","+91-80-22865494, +91-80-22863453",,"9.5990838,76.5067895"
Hindustan Paper Corp Ltd,Companies(Private),Kottayam,"5th Floor, Ruby Building, 75 C Park, Kolkata 700016, WB",+91-33-22296901,",projects@hnlonline.com,srq@hindpaper.in,jane@hindpaper.in,secretarial@hnlonline.com,","9.8257413,76.4615704"
De La Rue Cash Processing Solutions India Pvt Ltd,Companies(Private),Kottayam,"1404, 14th Floor, Signature Tower, Gurgaon 122001, HR",+91-124-4554000,",surendra.yadav@in.delarue.com,ashish.chandra@in.delarue.com,rajat.aggarwal@in.delarue.com,legal@amines.com,webcontactIndia@delarue.com,ajayp@amines.com,","9.5924418,76.5119692"
Kesar Gift Mart Pvt Ltd,Companies(Private),Kottayam,"1/4, Rajiv Gandhi Salai, Karapakkam, Chennai 600097, TN","+91-44-24500231, +91-9383938390","siva@awaexports.com,,accounts@kesar.in,doej@kesar.in,","11.0047523,76.9651507"
Jot Impex Pvt Ltd,Companies(Private),Kottayam,"1/204, Sadar Bazar, New Delhi 110010, DL",-25692175,",x22support@navpad.in,x3ebcpl_calcutta@bcplindia.com,x3esupport@navpad.in,x22ram@alphaogm.com,x3eadmin@rampimpex.com,bcpl_calcutta@bcplindia.com,admin@rampimpex.com,ram@alphaogm.com,support@navpad.in,n.rajez@gmail.co,hitesh@jotimpex.com,x3eram@alphaogm.com,",
Trinetra Cement Ltd (India Cements),Companies(Private),Kottayam,"93, Coromandel Towers, Santhome High Road, Karpagam Avenue, RA Puram, Chennai 600028, TN",-28521479,",x3ecostman@samserv.com,n@gmail.com,x3einvestor@indiacements.co.in,investor@indiacements.co.in,costman@samserv.com,",
Spenta Multimedia Pvt Ltd (Marwar),Companies(Private),Kottayam,"Spenta Multi Media, 2nd Floor, Pennisula Spenta,Senapati Bapat Marg, Lower Parel, Mumbai 400021, MH","+91-22-24811012, +91-22-66325046",",ho@spentamultimedia.com,",
Rashtradoot Saptahik,Companies(Private),Kottayam,"Sudharma, Chameliwala Market, M I Road, Jaipur 302001, RJ",-4103383,"business@vjoon.com,,rastrdut@gmail.com,",
Palco Advertising,Companies(Private),Kottayam,"SCO-34, 2nd Floor, Tribune Chowk, Sector 20-C, Chandigarh, 160020, CH","+91-172-2703000, +91-172-2703111",",pitambera_roc@clients.bcco.co.in,sampark.advertising@gmail.com,",
MangoFruit Event Management Solutions Pvt Ltd,Companies(Private),Kottayam,"305, 1st Floor, Opposite Anna Nagar, Vadavalli Main Road, Lakshmi Nagar, Edayarpalayam, Coimbatore 641025, TN","+91-422-2404073, +91-9092244041","ramkumartpr@gmail.com,,",
Malayalam Communications Ltd,Companies(Private),Kottayam,"Kairali Towers, University P.O, Thiruvananthapuram 695034, KL",-2386880,",kpsnair@kairalitv.in,",
Jewel Square,Companies(Private),Kottayam,"15/A, 7/15, 8/15 & 9/15, 479 & 480, A-1 Sub Plot B, Near Taj Blue Diamond, Koregaon Road, Pune 411001, MH",-9764389716,",jainchopra.company@gmail.com,kottayamfriendschittyfund@gmail.com,aastha@cal.vsnl.net.in,259@ksfe.com,jainchopra.company@yahoo.com,",
Indus Advertising (Sikka),Companies(Private),Kottayam,"C-60, Sikka House, 1st Floor, Preet Vihar, Vikas Marg, New Delhi 110092, DL","+91-11-40500000, +91-11-43027766",",bkhandual32@gmail.com,rajeev-sikka@sikkas.com,",
