Name,Sector,City,Address,Phone,Email,Lat-Long
Montfort Valley School,School,Kottayam, Anakkara; Anakkara; 685512,,"admissions@lifevalley.in,ajesudas75@gmail.com,montfortvalley@gmail.com,",9.66452; 77.1587
S K M Higher Secondary School,School,Kottayam,Near Subramanya Swamy Temple Kumarakom East; Vaikom Road Kumarakom East; 686563,,"XXXX@XXXXXX.XXX,anilkumarakom@gmail.com,",9.596468; 76.432397
Parippu High School,School,Kottayam," Parippu; Kottayam,Parippu; 686014",,"highschoolparippu@gmail.com,",9.6188892; 76.4783656
Cms High School,School,Kottayam,nan; Kottayam; 686014,,"CMS@cmscollegehighersec.com,cms@cmscollegehighersec.com,lakefordschool@gmail.com,cmscollegehs@gmail.com,XXXX@XXXXXX.XXX,",9.6055641; 76.4789013
Government Blind School,School,Kottayam," Olessa; Kottayam,Olessa; 686014",,"assisikt@gmail.com,XXXX@XXXXXX.XXX,hssneerpara@gmail.com,blindschoolkottayam@gmail.com,",9.6108037; 76.4844348
St George L P School,School,Kottayam,nan; Kottayam; 686014,,"priyajprakash72@gmail.com,XXXX@XXXXXX.XXX,sgpskoruthodu@gmail.com,",9.6267468; 76.4859494
St.Marys L P School,School,Kottayam," Thiruvarppu; Kottayam,Thiruvarppu; 686020",,"aruvithurachurch@gmail.com,XXXX@XXXXXX.XXX,nishakoshy25@gmail.com,cbseschoolkottayam@gmail.com,",9.5811341; 76.4765362
Holy Cross School,School,Kottayam," Aymanam; Kottayam,Aymanam; 686015",,"hcaymanam@gmail.com,johnycscj@gmail.com,holycrossvidyasadan@gmail.com,edudwar.com@gmail.com,",9.617352; 76.493608
St Michael's Higher Secondary School,School,Kottayam," Vechoor; Kottayam,Vechoor; 686144",,"stmichaelspusaroad@gmail.com,teachersguildkottayam@gmail.com,CMS@cmscollegehighersec.com,st.maryskmkd@gmail.com,ghssporuvazhy@gmail.com,",9.6680697; 76.4094843
I.T.I Thiruvarppu Kiliroor North P.O,School,Kottayam," Thazhathangady; Kottayam,Thazhathangady; 686005",,"govtitithiruvarppu@gmail.com,focusitc@gmail.com,",9.5849736; 76.4880455
Government High School,School,Kottayam," Villoonni; Kottayam,Villoonni; 686008",,"hitcchorod9@gmail.com,ghsskadappoor@gmail.com,ict.dge@kerala.gov.in,avhss914017@gmail.com,",9.6329942; 76.4956173
Excelsior English School,School,Kottayam,"Near St Jon School Velloor; Kottayam,Velloor; 686501",,"mail@excelsior.edu.in,",9.58593; 76.490912
Chinmaya Vidyalaya,School,Kottayam," Thazhathangady; Kottayam,Thazhathangady; 686005",,"u003eoffice@chinmayavidyalayaktm.org,giitadv@gmail.com,office@chinmayavidyalayaktm.org,info@chinmayavidyalayaktm.org,",9.5891442; 76.4933585
St. Sebastian's Higher Secondary School,School,Kottayam,nan; Malayilputhuval Road; 685503,,"chengalamstjoseph@gmail.com,lizysunnystephen@gmail.com,thomsthekkini@gmail.com,05042_sshsskadanad@live.com,principalmmount@gmail.com,st.maryskmkd@gmail.com,",9.6762024; 76.966098
