Name,Sector,City,Address,Phone,Email,Lat-Long
Sunny International,Companies(Private),Kozhikode,"5A/127, Sant Nagar, Karol Bagh, New Delhi 110005, DL","+91-11-25811270, +91-11-43709656",",info@sunnyil.com,",
Sphaera Pharma Pvt Ltd,Companies(Private),Kozhikode,"32, Sector 5, IMT Manesar, Gurgaon 122051, HR",,",info@sphaerapharma.com,hr@sphaerapharma.com,",
Hester Biosciences Ltd,Companies(Private),Kozhikode,"1st Floor, Pushpak Panchvati Cross Road, C G Road, Ahmedabad 380006, GJ",,",mail@hester.in,csannamathew@gmail.com,cs@hester.in,x3ecs@hester.in,",
Deshrakshak Aushdhalaya Ltd,Companies(Private),Kozhikode,"Bhagwant Kuti, Kankhal, Haridwar 249408, UK",,"dral95@yahoo.com,,dral96@yahoo.in,",
Whitefields Overseas Pvt Ltd,Companies(Private),Kozhikode,"505, 5th Floor, Pinnacle Business Tower, Suraj Kund, Faridabad 121001, HR",+91-129-8527550111,"j-doe@whitefields.in,,sumeet@whitefields.in,accounts@whitefields.in,info@whitefields.in,",
Parker Biotech Pvt Ltd,Companies(Private),Kozhikode,"13/31, Kalaimagal Nagar, 2nd main Road, Ekkaduthangal, Chennai 600032, TN","+91-44-65730625, +91-44-24743986",",parkerneem@gmail.com,export@parker-india.com,account@parker-india.com,",
Marvel Tea Estate India Pvt Ltd,Companies(Private),Kozhikode,"Plot No 19, Sector 44, Gurgaon 122003, HR",+91-124-3333000,"info@marveltea.com,roc.chennai@mca.gov.in,,cs@marveltea.com,",
Kp Weldmesh,Companies(Private),Kozhikode,"Plot No 31, Defence Colony, Karmanghat, Saroornagar, Hyderabad 500079, TS",+91-40-64640020,,
Kilpest India Ltd,Companies(Private),Kozhikode,"7-C, Industrial Area, Govindpura, Bhopal 462023, MP",+91-755-2586536,",dkdkilpest@yahoo.co,kilpest@bsnl.in,cs@kilpest.com,contact@safetyfuse.in,kilpestbpl@yahoo.co,dkdkilpest@yahoo.co.in,cs@jhaveriflexo.com,",
Max Flex & Imaging Systems Ltd,Companies(Private),Kozhikode,"102, JV Patel Compound, Prime Plaza, Madurkar Marg, Elphinstone West, Mumbai 400013, MH",+91-22-42122828,,"11.2737689,75.7240744"
Maliram Jewellers,Companies(Private),Kozhikode,"10, Eminent Mall, Kennedy Avenue, Amritsar 143001, PB","+91-183-2565899, +91-183-5099899",",accounts.maliram@yahoo.com,",
Kerry Logistics India Pvt Ltd,Companies(Private),Kozhikode,"23, Josier Street, Thrimurty, Nungambakkam, Chennai 600034, TN",-42269253,",x3einfo@kerryindevexpress.com,enq.maa@kerryindev.com,info@kerryindevexpress.com,b.parthiban@kerryindev.com,",
Sur Aradhana Events Creations Pvt Ltd,Companies(Private),Kozhikode,"204, Kale Ram Chambers, District Centre, Laxmi Nagar, New Delhi 110092, DL","+91-11-22457716, +91-11-22042146",",vishal.sharma@sa-group.in,vishal.suraradhana@gmail.com,",
Shashi Enterprises,Companies(Private),Kozhikode,"C-9/9516, Vasant Kunj, New Delhi 110070, DL","+91-11-26136872, +91-11-26891958",",jainchopra.company@gmail.com,rbaclt@gmail.com,kant@in.ey.com,shashi.kant@in.ey.com,jainchopra.company@yahoo.com,",
Ideatelabs Technology,Companies(Private),Kozhikode,"501, Reliable Business Centre, 5th Floor, Anand Nagar, Andheri West, Mumbai 400053, MH",-61578819,",info@ideate.email,",
Globosport India Pvt Ltd,Companies(Private),Kozhikode,"105, Anand, 5th Floor, Dr. Ambedkar Road, Bandra West, Mumbai 400052, MH",-26065032,",x3einfo@ghvgroup.com,info@ghvgroup.com,derek@giantlok.com,x3ederek@giantlok.com,kalpana@swagfashionshub.com,",
E & E Systems India Pvt Ltd,Companies(Private),Kozhikode,"69, 5th Main, 3rd A Cross, OMBR Layout, Lalbahdur Nagar, B.Channasandra, Chikkabanaswadi, Bangalore 560043, KA",-42083551,,
Bollywood Film Equipment,Companies(Private),Kozhikode,"242, Adarsh Nagar, New Link Road, Jogeshwari West, Mumbai 400102, MH",-28746031,,
Surindra Engineering Company Ltd (Mukat),Companies(Private),Kozhikode,"8939, Surindra House, M V Road, Safaid Pool, Andheri, Mumbai 400072, MH",+91-22-28515944,"SUNTEL.DELHI@GMAIL.COM,pagoda.engineering@gmail.com,shilpiengg@rediffmail.com,sylos.delhi@gmail.com,pagoda.engg@outlook.com,x3erd.vaz@rd-engineering.com,rd.vaz@rd-engineering.com,x3eshilpiengg@rediffmail.com,",
Mohan Associates,Companies(Private),Kozhikode,"32, 11, 4-D, 3rd Floor, Ceebros Building, Cenetoph Road, Chennai 600018, TN","+91-44-24339983, +91-44-24339984",,
Human Capital Solutions,Companies(Private),Kozhikode,"102-A, 12, Manbhum Jade Towers, Raj Bhavan Road, Somajiguda, Hyderabad 500082, TS",+91-40-43236688,"su@i3c.in,",
GLOSAP Systems Pvt Ltd,Companies(Private),Kozhikode,"45, Taga Tower, Sait Colony, 2nd Street, Egmore, Chennai 600008, TN","+91-44-43111021, +91-44-43111022","sanilg_81@yahoo.com,",
Bindal Agencies Pvt Ltd,Companies(Private),Kozhikode,"12, 2, 1st Floor, Rattan Bazaar, Venkatachalam, Lane, Flower Bazaar, Chennai 600003, TN","+91-44-25331022, +91-44-25331023","accounts@bluetree.in,intouch@bluetree.in,u003eaccounts@bluetree.in,",
Avenir Management Services Pvt Ltd,Companies(Private),Kozhikode,"14-A, Sector 52, Noida 201301, UP",+91-120-4250567,"ayaz@axisconsultancy.co.in,helpdesk@axisdirect.in,",
Access Livelihoods Consulting India Pvt Ltd,Companies(Private),Kozhikode,"17-1-383, 47, Vinay Nagar Colony, 4th Cross Road, Saidabad, Hyderabad 500059, TS",+91-40-24532729,"carashmikathuria@gmail.com,nfaridabad@gmail.com,marketing@ace-cranes.com,",
SecureNow Insurance Broker Pvt Ltd,Companies(Private),Kozhikode,"D 109, Defence Colony, New Delhi 110024, DL","+91-11-64560999, +91-9958499711","sml@sharemicrofin.com,x3esml@sharemicrofin.com,",
