Name,Sector,City,Address,Phone,Email,Lat-Long
Total Fitness Gym - Chakorthukulam - Kozhikode,Gym,Kozhikode,"Canara Bank Building, Near Koyenco Mobikes, Nadakkavu, Chakorthukulam, Kozhikode 673011, KL","+91-9995696969, +91-9847763867",,
Talwalkars Gym - Calicut - Kozhikode,Gym,Kozhikode,"1st Floor, Baby Arcade, Opposite Gateway Taj, PT Usha Road, Calicut, Kozhikode 673032, KL",+91-495-3045605,",avantis@talwalkars.net,",
Stallion Gym & Yoga - Nadakkavu East - Kozhikode,Gym,Kozhikode,"Nadakkavu East, Kozhikode 673006, KL",+91-9656333344,,
Patanjali Yoga Reserch Centre - Jaffarkhan Colony - Kozhikode,Gym,Kozhikode,"Jaffarkhan Colony, Kozhikode 673001, KL","+91-495-2770352, +91-9495840352","patanjaliclt@yahoo.com,chair.cyhw@nitc.ac.in,,",
P R Memorial Multi Gym - Meenchanda - Kozhikode,Gym,Kozhikode,"Areekad, Meenchanda, Kozhikode 673018, KL",+91-9495784299,,
Life Multi Gym & Fitness Centre - Parambil - Kozhikode,Gym,Kozhikode,"Parambil Bazar, Parambil, Kozhikode 673012, KL","+91-9947556525, +91-495-2551500",,
Gym World - Koorachundu - Kozhikode,Gym,Kozhikode,"Koorachundu, Kozhikode 673527, KL",+91-495-2458082,,
Fitness First Gym - Calicut - Kozhikode,Gym,Kozhikode,"Charukulam, Calicut, Kozhikode 673001, KL",+91-9645010251,",x22ff@fitnessfirst.com.sg,ff@fitnessfirst.com.sg,x3eff@fitnessfirst.com.sg,Inquiry@wellnessclub.co.in,",
Brahmakumaris Raja Yoga Centre - Bank Road - Kozhikode,Gym,Kozhikode,"Bank Road, Kozhikode 673001, KL",+91-495-2766832,"bayonne@wanadoo.fr,calicut@bkivv.org,westhill.clt@bkivv.org,,",
Ark Gym - Calicut - Kozhikode,Gym,Kozhikode,"Kallai, Calicut, Kozhikode 673003, KL",+91-495-2700475,"clt@lotharfitness.com,,info@sportscouncilkozhikode.com,",
