Name,Sector,City,Address,Phone,Email,Lat-Long
Tactics Management Services,Companies(Private),Lucknow,"201, Gulmohar Complex, 2nd Floor, Station Road, Goregaon East, Mumbai 400063, MH","+91-9594521414, +919619666036",",gupta.arjun25@gmail.com,contact@tacticsservices.com,virendra@tacticsservices.com,",
Scientific Logo,Companies(Private),Lucknow,"Mumbai, India",+91-9584222000,",neonatologysgpgi@gmail.com,sstlko01@gmail.com,",
InCodersLab,Companies(Private),Lucknow,"WZ-A-198, 1st Floor, Near Metro Pillar No 657, Hastsal Road, Uttam Nagar, New Delhi 110059, DL","+91-9110099102, +91-8700781596",,
Baysquare Technologies,Companies(Private),Lucknow,"Dynasty Business Park, A Wing, Level 4, Andheri Kurla Road, Vijay Nagar Colony, JB Nagar, Andheri East, Mumbai 400059, MH",+91-22-25705094,",accounts@baysquare.com,",
Technoidols,Companies(Private),Lucknow,"D-93, Jeevan Niketan, Paschim Vihar, New Delhi 110087, DL",+91-8860008408,,
Cmocre8,Companies(Private),Lucknow,"02-10/17/67, Ayer Rajah Crescent, Singapore 139950",+65-96540052,,
Innovative Automation Products,Companies(Private),Lucknow,"24-B, Midc, Satara 415004, MH",+91-2162-246509,",sales@innovativedro.com,md@jaganlite.com,lucknow@cohtechnologies.com,",
Fusion Power Systems (Amptek),Companies(Private),Lucknow,"221-A, Street No 7, Road No 4, Mahipalpur Extension, New Delhi 110037, DL",+91-11-26782717,,
Endeavour Instrument Pvt Ltd,Companies(Private),Lucknow,"Mohini Complex, 4th Floor, Navrangpura, Ahmedabad 380006, GJ",+91-79-26582697,",rasikmota@yahoo.com,account3@endeavourweigh.com,x3erasikmota@yahoo.com,",
Electron Automats,Companies(Private),Lucknow,"Hig-24-C, Sector 1, Parwanoo, Solan 173220, HP",+91-1792-232664,,
MNK Rubber Industries Ltd,Companies(Private),Lucknow,"23-A, Jaganathan Street, Nagercoil 629001, TN","+91-4652-233264, +91-4652-576734","n@md3.vsnl,,amitpareek99@yahoo.com,",
Manthan Creations,Companies(Private),Lucknow,"136, 2nd Floor, Above Canara Bank, AP Road, Choolai, Chennai 600112, TN","+91-44-42822541, +91-9884812899",",doe@manthancreations.com,",
Sai Electricals,Companies(Private),Lucknow,"Sai Dhaam, Victoria Park, Meerut 250001, UP",+91-121-2762660,",info@saielectricals.com,nalkametal@finolexpipes.com,",
Micromax Systems & Solution,Companies(Private),Lucknow,"11-A, Balasubramaniam Salai, K K Nagar, Chennai 600078, TN",+91-44-64571111,,
Triochem Products Ltd,Companies(Private),Lucknow,"Sambava Chambers, 4th Floor, Sir P M Road, Fort, Mumbai 400001, MH",,",vikastagi6483@gmail.com,info@amphray.com,kashifgoog@gmail.com,prasad@adithyapharma.com,purchase@triochemproducts.com,acronpharmaaceuticals@yahoo.com,sales@triochemproducts.com,exim@triochemproducts.com,",
Tashima Inc,Companies(Private),Lucknow,"2, Sheetal, 8th Main, 2nd Cross, Byrasandra Layout, 1 Block East, Jayanagar, Bengaluru 560011, KA",,"tashima@vsnl.com,,info@pharmexcil.com,",
Systopic Laboratories Pvt Ltd,Companies(Private),Lucknow,"101, Pragati Chamber, Commercial Complex, Ranjit Nagar, New Delhi 110008, DL",,",vxx@systopic.com,systopic@systopic.com,janedoe@systopic.com,x3eamoddutt@systopic.com,amoddutt@systopic.com,",
Salius Pharma Pvt Ltd,Companies(Private),Lucknow,"B-704, Technocity, TTC Industrial Area, Mahape, Navi Mumbai 400705, MH",,",x3eexport@alicepharma.co.in,infoindia@actavis.com,que_ad1@yahoo.co.in,info@alicepharma.co.in,x3einfoindia@actavis.com,x3einfo@alicepharma.co.in,export@alicepharma.co.in,info@saliuspharma.com,j.doe@saliuspharma.com,x3eque_ad1@yahoo.co.in,",
Porus Laboratories Pvt Ltd,Companies(Private),Lucknow,"402 & 403, K.K.R Square, Road No 36, Jubliee Hills, Hyderabad 500033, TS",,",teamlabs@gmail.com,last@poruslabs.com,info@poruslabs.com,accounts@poruslabs.com,x3eaccounts@poruslabs.com,",
Neuland Laboratories Ltd,Companies(Private),Lucknow,"8-2-120/113, Sanali Info Park, A Block, Road No 2, Banjara Hills, Hyderabad 500034, TS",,",janedoe@neulandlabs.com,saradab@neulandlabs.com,x3ejanedoe@neulandlabs.com,RohiitKonda@neulandlabs.com,last@neulandlabs.com,",
Laxachem Organics Pvt Ltd,Companies(Private),Lucknow,"129, Hindustan Kohinoor Industrial Complex, LBS Marg, Vikhroli West, Mumbai 400083, MH",,",info@pharmexcil.com,sales@laxachem.com,info@laxachem.com,lopl@lkoorg.com,vishnuag@vsnl.com,",
Hindustan Biosynth Ltd,Companies(Private),Lucknow,"157-174, GIDC Industrial Estate, Vadodara 391243, GJ",,",dishant_sanghavi@Intaspharma.com,orlev1987@gmail.com,myca.lucknow@gmail.com,info@hindustanbiosynth.com,hindpharma@yahoo.com,",
Ayurveda Rasashala,Companies(Private),Lucknow,"25, Karve Road, Pune 411004, MH",,",rashimandal@yahoo.com,admin@ayurvedarasashala.com,",
SN Milk Products Pvt Ltd,Companies(Private),Lucknow,"Plot No 9, 506, Laxmi Deep Building, District Centre, Laxmi Nagar, New Delhi 110092, DL",+91-11-22523332,",milk@gmail.com,roc.snmilk@gmail.com,tabhinandan@crisil.com,sn.milk@gmail.com,",
Shree Additives Pharma & Foods Ltd,Companies(Private),Lucknow,"858/A, Kothari Industrial Estate, Rakanpur Road, Gandhinagar, Kalol 382721, GJ","+91-2764-286001, +91-2764-286040",,
Prakash & Company,Companies(Private),Lucknow,"M-16, Hemkunt Chambers, 89, Nehru Place, New Delhi 110019, DL","+91-11-26433231, +91-11-26220038",,
Organica Pure Farm Products Pvt Ltd,Companies(Private),Lucknow,"C-90, Sector 65, Noida 201301, UP",+91-7838890565,"finance.organica@gmail.com,info@naturallygrown.co.in,prakratiorganic@rediffmail.com,,",
