Name,Sector,City,Address,Phone,Email,Lat-Long
Gold's Gym - Gomti Nagar - Lucknow,Gym,Lucknow,,,",mahanagar.lucknow@goldsgymindia.com,aashiana.lucknow@goldsgym.in,gomtinagar.lucknow@goldsgymindia.com,",
VLCC - Hazrat Ganj - Lucknow,Gym,Lucknow,"Opposite Sahara India Jewellers, Shahnajaf Road, Hazrat Ganj, Lucknow 226001, UP","+91-9335764904, +91-9336772800, +91-522-4000095, +91-522-4000096",",luckhgj@vlccwellness.com,",
Utopia Royale - Gomti Nagar - Lucknow,Gym,Lucknow,"2, 62, Near Mithaiwala Chowk, Gomti Nagar, Lucknow 226001, UP","+91-522-4077770, +91-9369413005","Hotel@utopianluxe.com,,",
Turning Point Gym - Indira Nagar - Lucknow,Gym,Lucknow,"Near Ravindrapalli, Faizabad Road, Indira Nagar, Lucknow 226016, UP","+91-9696731342, +91-9450113809",",hhun@titan.co.in,info@turningpointgym.com,",
Talwalkars Gym - Rana Pratap Marg - Lucknow,Gym,Lucknow,"301, 303, Opposite NBRI Office, Trident, Rana Pratap Marg, Sikandra Bagh Chauraha, Lucknow 226001, UP","+91-522-4113661, +91-522-4113662",",ig@talwalkars.net,",
Talwalkars Gym - Kanpur Road - Lucknow,Gym,Lucknow,"152, Dashmesh Square Building, Near Ashiana Chowk, Kanpur Road, Lucknow 226012, UP",+91-522-4113757,",talwalkarshifinoida@gmail.com,",
Revolution - Indira Nagar - Lucknow,Gym,Lucknow,"13, 559, Munshi Pulia, Indira Nagar, Lucknow 226016, UP","+91-522-3295030, +91-9696360499",",abhi_abhiavi@yahoo.com,",
Power Health Centre - Bala Ganj - Lucknow,Gym,Lucknow,"Near Marimata Mandir, Camp Bell Road, Bala Ganj, Lucknow 226003, UP",+91-9335089449,,
Joggers Park - Nirala Naga - Lucknow,Gym,Lucknow,"206, Nirala Nagar, Lucknow 226002, UP",+91-9312593936,,
Health Zone - Alam Bagh - Lucknow,Gym,Lucknow,"551-J, 184, Opposite PNB, Geeta Vastralaya, Alam Bagh, Lucknow 226005, UP","+91-522-3299009, +91-522-6522111, +91-522-4064060",,
Health Zone - Ali Ganj - Lucknow,Gym,Lucknow,"25, Near Nehru Vatika, Sector C, Ali Ganj, Lucknow 226024, UP","+91-522-3299008, +91-522-2327024",",info@healthzoneindia.com,lucknow2@healthzoneindia.com,",
Fitness Factory - Khursheed Bagh - Lucknow,Gym,Lucknow,"1, 871, Near MAA Vaishno Palace, Janakipuram Vistar, Lucknow 226021, UP","+91-522-3278200, +91-9648584000",,
Disha Health Beauty - Lucknow,Gym,Lucknow,"81, Khursheed Bagh, Lucknow 226004, UP",+91-9838527212,,
Club Five - Rajaji Puram - Lucknow,Gym,Lucknow,"1013, Near Sabji Mandi, Rajaji Puram, Lucknow 226017, UP",+91-9415797299,,
City Health Point - Gola Gan - Lucknow,Gym,Lucknow,"Near Petrol Pump, Jagat Narayan Road, Gola Ganj, Lucknow 226018, UP",+91-9415578154,,
Body Basic Health Club - Parag Road - Lucknow,Gym,Lucknow,"LDA Colony, Sector E, Parag Road, Lucknow 226012, UP","+91-9889504060, +91-9793102781",,
