Name,Sector,City,Address,Phone,Email,Lat-Long
Woods Gym - Ludhiana,Gym,Ludhiana,"SCO 15, 16 F Block, Sunet, GHS Sunet, Bhai Randhir Singh Nagar, Ludhiana, Punjab 141012",+91-8360820198,",enquiry@avonfitnessmachines.com,woodsgymludhiana@gmail.com,","30.8872468,75.802091"
Weider Gym - Ludhiana,Gym,Ludhiana,"VV8H+9V7, Near Mair Di Chakki, Shimlapuri, Ludhiana, Punjab 141003",098143 64710,,"30.8659207,75.8770966"
The London Gym - Ludhiana,Gym,Ludhiana,"Street number 1 Chander nagar, House number 1891, Ludhiana, Punjab 141001",+91-6384469484,,"30.9295098,75.8745453"
The Gym Health Planet - Ludhiana,Gym,Ludhiana,"2631, Krishna Nagar, Opp. Silver Arc Mall, Ludhiana Rd, Ludhiana, Punjab 141001",0161 469 7353,,"30.90111,75.8253778"
The Fitline Gym - Ludhiana,Gym,Ludhiana,"shop no.24 first floor goal market, Model Town, Ludhiana, Punjab 141001",099154 89999,",info@fitlineindia.com,","30.888576,75.8384471"
The Code Fitness Premium - Ludhiana,Gym,Ludhiana,"4th Floor, Boulevard Mall, The Mall Rd, Ludhiana, Punjab 141001",075080 55555,",info@tifc.co.in,","30.9070263,75.8369846"
Tfn Nutrition - Ludhiana,Gym,Ludhiana,"Rani Jhansi Rd, opp. Anytime Fitness, Mall Enclave, Koh - E - Fiza, Ludhiana, Punjab 141001",077079 94444,",proultimategymsomaxeldh@gmail.com,sukh.grewal91@gmail.com,","30.9103133,75.8348766"
Swasthya The Gym & Fitness Centre - Ludhiana,Gym,Ludhiana,"35/1E, 1, Model Gram, Ludhiana, Punjab 141003",093164 10713,,"30.8988321,75.8359108"
Strength Iron Zone Gym - Ludhiana,Gym,Ludhiana,"Street no 4, Main Rd, Mohar Singh Nagar, Ludhiana, Punjab 141008",098760 93934,,"30.911093,75.8621349"
Speed Fitness Unisex - Ludhiana,Gym,Ludhiana,"Guru Nanak Dev Nagar, St. 5, Daba Lohara Rd, near Sai Dental Hospital, Shimlapuri, Ludhiana, Punjab 141008",+91-8727004007,",Speedfitnessworld@gmail.com,","30.8622153,75.8830647"
Sidhu Unisex Gym - Ludhiana,Gym,Ludhiana,"House no. 200, Main, Tibba Rd, near Major dharamshala, Kishan Vihar, Gulab Bagh, Subhash Nagar, Ludhiana, Punjab 141007",062397 65158,,"30.9239995,75.8883304"
Shina Ladies Health Club & Gym - Ludhiana,Gym,Ludhiana,"19AX, Kundan Nagar Road, Model Town Extension, Ludhiana, Punjab 141002",0161 246 1098,,"30.8857263,75.8301757"
Royal Unisex Gym - Ludhiana,Gym,Ludhiana,"Near Bsnl Exchange, Ludhiana Malerkotla Road, Dehlon, Ludhiana 141118, PB",+91-7942608544,,"30.8448946,75.7697252"
Royal Body Fitness Gym - Ludhiana,Gym,Ludhiana,"Near Bal Bharti School, Phase 2, Dugri, Ludhiana 141013, PB",+91-6384478698,,"30.9050359,75.7584547"
Rock And Carves - Ludhiana,Gym,Ludhiana,"Sunder Nagar Rd, Valmiki Chowk, New Madhopuri, Sunder Nagar, Ludhiana, Punjab 141008",089685 85000,,"30.9252023,75.8615979"
Rebuild Fitness Center - Ludhiana,Gym,Ludhiana,"Near satpaul mittal school, urban estate, Phase 2, Duggri, Ludhiana, Punjab 141003",081469 09038,,"30.8677492,75.8313764"
Ra Ladies Gym - Ludhiana,Gym,Ludhiana,"2nd floor, Modern Towers, BCM School Road, near Hi-Care Hospital, Basant Avenue, Duggri, Ludhiana, Punjab 141013",+91-7400000269,,"30.8618612,75.8319718"
R K Fitness Center - Ludhiana,Gym,Ludhiana,"Opposite Dabbu Chicken, AM Nagar, Ludhiana 141002, PB",+91-8054414439,",rkfitnessdwarka@gmail.com,u003erkfitnessdwarka@gmail.com,","30.8874527,75.7576437"
Quillian Gym - Ludhiana,Gym,Ludhiana,"2nd Floor, Rahon Rd, Opp. Jain Hospital, New Madhopuri, Sunder Nagar, Ludhiana, Punjab 141007",0161 466 4545,,"30.9265555,75.8613548"
Pulse Fitness - Ludhiana,Gym,Ludhiana,"117-H, 1st Floor, Opposite Block Park, Sarabha Nagar, Ludhiana 141001, PB",+91-7942604502,,"30.8907806,75.8004796"
Pro Plus Fitness - Ludhiana,Gym,Ludhiana,"SCO-1, Adjoining Allahabad Bank, Main Market, Raj Guru Nagar, Ludhiana 141012, PB",+91-9815100725,",proultimategymsomaxeldh@gmail.com,","30.891295,75.7704629"
Pragun Fitness - Ludhiana,Gym,Ludhiana,"1299/3-B, Near Shaheed Karnail Singh Nagar, Pakhowal Road, Ludhiana 141001, PB",+91-9872505765,,"30.8785125,75.8180935"
Ozone Fitness - Ludhiana,Gym,Ludhiana,"3rd & 4th Floor, Ansal Plaza Mall, Firozpur Road, Ludhiana, Punjab 141001",0161 464 8001,"ludhiana@ozoneclubs.com,,franchise@ozoneclubs.com,defcol@ozoneclubs.com,nfranchise@ozoneclubs.com,","30.897483,75.8192171"
Ozmo Gym - Ludhiana,Gym,Ludhiana,"SCO-123, Main Market, Behind MBD Mall, Raj Guru Nagar, Ludhiana 141012, PB",+91-9646000727,",ozmogyms@gmail.com,","30.8746438,75.7720233"
Oxfit Gym - Ludhiana,Gym,Ludhiana,"962, Street Number 7, Near Gill Chowk, Dasmesh Nagar, Miller Ganj, Ludhiana, Punjab 141003",+91-7947441100,,"30.8863894,75.8537353"
Oxen Gym - Ludhiana,Gym,Ludhiana,"Sco-53, Main Market Rd, Phase 2, Duggri, Urban Estate Dugri, Ludhiana, Punjab 141003",099145 26607,",Inquiry@wellnessclub.co.in,","30.8657531,75.8379838"
Olympia Fitness Centre - Ludhiana,Gym,Ludhiana,"1798/1 Maharaj Nagar Near Punjab Agriculture University gate No: 3, Ludhiana, Punjab 141001",+91-9115567190,",info@olympianutritions.com,","30.899776,75.8154511"
Ohio Gym - Ludhiana,Gym,Ludhiana,"SCF-34-35, 1st Floor, Opposite Park Plaza, Block F, BRS Nagar, Ludhiana 141001, PB",+91-9915599193,",info@gymcompany.co.za,x3einfo@gymcompany.co.za,","30.8935486,75.7791298"
Ohio Gym - Ludhiana,Gym,Ludhiana,"SCF-6 & 7, D Block, Dugri Road, Model Town Extension, Ludhiana 141002, PB",+91-9115598467,",info@gymcompany.co.za,x3einfo@gymcompany.co.za,","30.8935486,75.7791298"
