Name,Sector,City,Address,Phone,Email,Lat-Long
WeaveTex Fashion,Companies(Private),Madurai,"A-166, Near Jawahar Circle, JLN Road, Sidharth Nagar, Jaipur 302018, RJ",+91-9214077550,,
Robemall Apparels Pvt Ltd (Zovi),Companies(Private),Madurai,"147/10, 9th Cross, Phase 1, JP Nagar, Bangalore 560078, KA",+91-9243777000,",samad.s@zovi.com,cs@prateekapparels.com,x3ecs@prateekapparels.com,sales@LawyerServices.in,info@LawyerServices.in,",
Sunit Enterprises,Companies(Private),Madurai,"A-57, Sector 2, Noida 201301, UP",+91-120-4212973,",info@aakarinnovations.com,vineetlall@gmail.com,mkkarthik.mas@gmail.com,",
Sri Kalyan Export Pvt ltd,Companies(Private),Madurai,"38, 7th Street, NGGO Colony, Surampatti, Erode 638009, TN",+91-424-2270507,",first@srikalyanexportindia.com,accounts@srikalyanexportindia.com,xxxx@srikalyanexportindia.com,roc.chennai@mca.gov.in,",
Shyam Indospin Ltd,Companies(Private),Madurai,"?Chandigarh Hghway, Ballopur Road, Rajpura 140501, PB",+91-9855937876,",info@shyamindospin.com,swati.agrawal@careedge.in,saurabh@shyamindospin.com,sales@shyamindospin.com,",
Raj Handloom Pvt Ltd,Companies(Private),Madurai,"281/7, Opposite Ram Mandir Gali, Amar Bhawan Chowk, Panipat 132103, HR",+91-9896800010,",keshav_singh@welspun.com,amd@arvind.in,nipunjain.ca@gmail.com,roc.chennai@mca.gov.in,",
Gloster Ltd (SKB),Companies(Private),Madurai,"21, Strand Road, Kolkata 700001, WB",+91-33-22309601,",gopalcp@aban.com,m_k_karnani@yahoo.co.in,venki@apppoint.com,rohini@apppoint.com,",
Avon Export,Companies(Private),Madurai,"Near City Block, Lohdi Kalan, Jabalpur Road, Mirzapur 231001, UP",+91-5442-245718,",roc.chennai@mca.gov.in,sanjay@avongroup.in,artraders.exporters@gmail.com,",
Pharma Links,Companies(Private),Madurai,"405, Aditya Banarsi Heritage, Mindspace, Opposite HSBC, Malad Link Road, Malad West, Mumbai 400064, MH",,",info@pharmalinksindia.com,bendichealthcare@gmail.com,info@nimblesbiotech.com,roc.chennai@mca.gov.in,asterisklaboratorieschd@gmail.com,",
Osaw Agro Industries Pvt Ltd,Companies(Private),Madurai,"Post Box No 5, Osaw Complex, Jagadhri Road, Ambala Cantt, Ambala 133001, HR","+91-171-2699547, +91-171-2699167",",lampstandsoluton7@gmail.com,agrosaw@agrosaw.com,",
Occasions Dry Fruit India,Companies(Private),Madurai,"Shop No 29, S S Gaikwad Marg, Dhobi Talao, Mumbai 400002, MH",+91-22-22033324,",wecare@drbfoods.com,",
Aqua Sea Food India Pvt Ltd,Companies(Private),Madurai,"16/1083-A, Hadees Centre, Karuvelippady, Ernakulam 682005, KL","+91-484-2328108, +91-484-2224784",",aquaseafoodindia@gmail.com,aquaseafood@vsnl.net,aquadocuments@gmail.com,u003eaquaseafood@vsnl.net,","9.9364038,78.0402535"
Apis India Ltd,Companies(Private),Madurai,"18/32, East Patel Nagar, New Delhi 110008, DL",+91-11-43206666,",mail@apisindia.com,vikas.cs@apisindia.com,internationalsaes@apisindia.com,internationalsales@apisindia.com,business@abhichem.com,","9.9252005,78.1094756"
Mitthan Lal Marketing Ltd,Companies(Private),Madurai,"234, Chawri Bazar, New Delhi 110006, DL",+91-11-46449999,",rohtasandhansca@yahoo.co,boson1@eth.net,rohtasandhansca@yahoo.co.in,Bb@ariel.in,","9.9177966,77.9580055"
Cartridge Junction India Pvt Ltd,Companies(Private),Madurai,"201, 5-D, Main Avenue, Santacruz West, Mumbai 400054, MH",+91-22-61846464,",mps@cartridgejunction.com,jane@cartridgejunction.com,","9.9177966,77.9580055"
Environ Energy Corp India Pvt Ltd,Companies(Private),Madurai,"60-A, Diamond Harbour Road, Kolkata 700063, WB",+91-33-24533523,",rakesh202@hotmail.com,soumen@bhaskarsolar.com,roc.chennai@mca.gov.in,anurag.srivastava@luminousindia.com,info@bhaskarsolar.com,","9.9345416,77.9509022"
The Gem Palace,Companies(Private),Madurai,"348, M I Road, Jaipur 302001, RJ","+91-141-2374175, +91-141-2363061",",studio@munnustudio.com,jewel-ki7F--621x414@LiveMint.jpg,roc.chennai@mca.gov.in,sales@LawyerServices.in,info@LawyerServices.in,",
Ubique Systems,Companies(Private),Madurai,"6, Electronic Co-operative Estate, Pune Satara Road, Pune 411009, MH",-24222903,"sxx@sumanastech.com,last@ubique-systems.com,account@ubique-systems.com,,",
TCI Supply Chain Solutions,Companies(Private),Madurai,"69, TCI House, Institutional Area, Sector 32, Gurgaon 122001, HR","+91-124-2381603, +91-124-2381604","tciscs@tciscs.com,last@tciscs.com,,",
Green Carriers and Contractors Pvt Ltd,Companies(Private),Madurai,"4141, 1st Floor, Naya Bazar, New Delhi 110006, DL","+91-11-23941597, +91-11-65360551",",enquiries@mahindralogistics.com,gccdelhi2008@yahoo.co.in,gccdelhi2008@yahoo.co,roc.chennai@mca.gov.in,",
Armstrong World Industries (India) Pvt Ltd,Companies(Private),Madurai,"A-304, Chandivali Boomerang, Andheri East, Mumbai 400072, MH","+91-22-3046 0418, 91-30480800","CSINDIA@KNAUFARMSTRONG.COM,,",
Ad Link Media Pvt Ltd,Companies(Private),Madurai,"A-29/B-1, 2nd Floor, Above ICICI Bank, Nirala Nagar, Lucknow 226020, UP","+91-522-4010122, +91-522-2786036",",care@homecredit.co,care@homecredit.co.in,tmbmploffice@gmail.com,svvijayaragav@gmail.com,roc.chennai@mca.gov.in,customercare@dmifinance.in,",
Lake Systems Pvt Ltd,Companies(Private),Madurai,"159, 1, Sarjapur Road, Kormangala, Bangalore 560054, KA",,"legal-team-india@mmodal.com,",
Vaishali Sales Corporation,Companies(Private),Madurai,"15, Sayed Nangloi, Gurdwara Gali, New Delhi 110087, DL",-25280686,"pratik@varahiinternational.com,u003epratik@varahiinternational.com,u003epratik@varahiinternational.com,",
Sumilon Industries Ltd,Companies(Private),Madurai,"Vairagini Wadi, Delhi Gate, Surat 395003, GJ","+91-261-2441122, +91-261-6797979",,
