Name,Sector,City,Address,Phone,Email,Lat-Long
NCPL Inc Hyderabad,Companies(Private),Mandi,"702-A, PSR Prime Tower, Beside DLF Cyber City, Gachibowli, Hyderabad 500032, TS",+91-9849033243,,
Littlenape,Companies(Private),Mandi,"844, Opposite Metro Pillar No 114, MG Road, Ghitorni, New Delhi 110030, DL",+91-8882800600,,
Alliance Automation & Instrumentation,Companies(Private),Mandi,"32, 1131-C, Manakkattu Building, Opposite Changampuzha Nagar, S.Kalamassery, Ernakulam 682033, KL",+91-484-2555665,,
Anupam Synthetics Pvt Ltd,Companies(Private),Mandi,"B-308, Phase 1, Industrial Area, Okhla, New Delhi 110020, DL",+91-9312941065,",arora.vijay@anupamsynthetics.com,",
The Rajlakshmi Cotton Mills Pvt Ltd,Companies(Private),Mandi,"234/3A, 4th Floor, FMC Fortuna, Acharya, JC Bose Road, Kolkata 700020, WB","+91-33-22873281, +91-9831072180",",rajatjaipuria@gmail.com,vinay@rajlakshmi.com,",
Raj Rayon Industries Ltd,Companies(Private),Mandi,"5C/196 & 197, Akshay Mittal, Mittal Industrial Estate, Sakinaka, Andheri East, Mumbai 400059, MH",+91-22-40343434,"investors@rajrayon.com,,mumbai@rajrayon.com,info@rajrayon.com,",
MNR Exports Pvt Ltd,Companies(Private),Mandi,"1/3-A, Doshi Niketan, Ballygunge, Kolkata 700019, WB",+91-33-40182635,",shankar@kikaniexports.com,x3eshankar@kikaniexports.com,quality@eggway.com,x3eSreeji@sreeragamexports.com,Sreeji@sreeragamexports.com,doe_j@mnr-india.com,jasminecni@jasmineindia.com,info@mnr.in,accounts@indian-designs.com,x3eaccounts@indian-designs.com,x3ejasminecni@jasmineindia.com,x22Sreeji@sreeragamexports.com,",
Gini Silk Mills Ltd,Companies(Private),Mandi,"413, Jogani Industrial Estate Opposite Kasturba Hospital JR Boricha Marg, Lower Parel East, Mumbai 400011, MH","+91-22-23020610, +91-22-23020611",",cs@wirefabrik.com,investor@bigshareonline.com,accounts@ginitex.com,",
Duke Fashions India Ltd,Companies(Private),Mandi,"Near Jallandhar Bye Pass, GT Road West, Ludhiana 141085, PB",+91-161-6604010,",karan@dukeindia.com,kkjain@dukeindia.com,jane@dukeindia.com,rajeev@dukeindia.com,",
Arvind Lifestyle Brands Ltd,Companies(Private),Mandi,"17, 8th Floor, Duparc Trinity, MG Road, Bangalore 560001, KA",+91-80-41550601,",rv.bhimani@arvind.in,x3erv.bhimani@arvind.in,x3evijaykumar.bs@arvindbrands.com,amd@arvind.in,vijaykumar.bs@arvindbrands.com,lipi.jha@arvindbrands.co.in,",
Kondaas Automation Pvt Ltd,Companies(Private),Mandi,"5-B, Sri Alamelu Nagar, Kamarajar Roa, Coimbatore 641015, TN",+91-422-2574000,",kondaadealers@gmail.com,kondaasups@gmail.com,kondaaslrc2016@gmail.com,",
D-Next Handicraft,Companies(Private),Mandi,"5379/7, 1st Floor, New Chandrawal, Jawahar Nagar, New Delhi 110007, DL",+91-11-23851613,,
Vikas Wsp Ltd,Companies(Private),Mandi,"B-86/87, Udyog Vihar, RIICO Industrial Area, Sriganganagar 335001, RJ","+91-154-2494512, +91-154-2494552",",csgunjanvikaswspltd1984@gmail.com,",
Jaggi Agriculture Works,Companies(Private),Mandi,"Kaboolpur, Sandharsi, Rajpura 140401, PB",+91-1762-262265,"jagatsukh@gmail.com,,jaggiagricultureworks@hotmail.comja,sarbanimplements@gmail.com,krishikingindia@gmail.com,harinfraagro@gmail.co,",
Hygienetech,Companies(Private),Mandi,"Plot No 602, D41, Supanth Co-Operative Housing Society, Sector 6, Charkop, Kandivli West, Mumbai 400067, MH",+91-22-28688766,",info@hygienetech.in,",
Chandigarh Distillers & Bottlers Ltd,Companies(Private),Mandi,"S. C. O 140 & 141, City Subcentre, Sector 34-A, Chandigarh 160022, CH",+91-172-5059999,"x3echandigarhdistillers@gmail.com,,chandigarhdistillers@gmail.com,","30.7216749,76.7592185"
Bhajan Singh & Sons,Companies(Private),Mandi,"Shahpur Road, Near Subhani Builindg, Ludhiana 141008, PB","+91-161-2722065, +91-161-2710083",,"30.7275432,74.8454756"
C Dinesh & Co Pvt Ltd,Companies(Private),Mandi,"DW-2332, Bharat Diamond Bourse, Bandra Kurla Complex, Bandra East, Mumbai 400051, MH",-43000131,,
Time Mauser Industries Pvt Ltd,Companies(Private),Mandi,"55, Corporate Avenue, 2nd Floor, Saki Vihar Road, Andheri East, Mumbai 400072, MH","+91-22-71119999, +91-22-42119705",",Timemauserindustries36@gmail.com,timemauserindustries36@gmail.com,Tmil@timemauser.com,tmil@timemauser.com,",
P R Relocations & Worldwide Movers,Companies(Private),Mandi,"WZ-26-A, Opposite CRPF Camp, Gate No 2, Krishna Nagar, New Delhi 110018, DL","+91-11-65483322, +91-9871623322",",move@prr.co,",
Asha Perfectpac Ltd,Companies(Private),Mandi,"134, Sector 24, Faridabad 121005, HR","+91-129-2233223, +91-129-2442853",",alpsvin@gmail.com,",
MoralFibre Marketing,Companies(Private),Mandi,"1/26, Kalhaar Bungalows, Shilaj PO, Bopal, Ahmedabad 380058, GJ",-9979854121,,
Intermark Corporation,Companies(Private),Mandi,"25/239, SNS Chamber, Sankey Road, Bangalore 560080, KA",-41328043,",amit@quantums.co.uk,",
Daily Milap Pvt Ltd,Companies(Private),Mandi,"8-A, Milap Niketan, Bahadur Shah Zafar Marg, New Delhi 110001, DL","+91-11-23317737, +91-11-23317651",",milaphyd@gmail.com,yogi@milap.com,rishisuri@icloud.com,",
Lamtuf Plastics Ltd,Companies(Private),Mandi,"Plot No 8, 9, 10 & 11, 4th Floor, Fortune Chambers, Silicon Valley, Image Gardens Lane, Madhapur, Hitech City, Hyderabad 500081, TS","+91-40-44433310, +91-40-44433311","info@leochemo.com,u003einfo@leochemo.com,leo@leochemo.com,leofragrances@rediffmail.com,u003einfo@leochemo.com,leofragrances@rediffmail.com,x3eleo@leochemo.com,",
Ujwal Management Services Pvt Ltd,Companies(Private),Mandi,"52, 1st Floor, 100 Feet Road, Koramangala, Bangalore 560034, KA","+91-80-25630686, +91-80-25630687","accounts@bigrattle.com,last_initial@universalhunt.com,sxxxxxk@universalhunt.com,accounts@bigrattle.com,",
J.K.Varghese & Co,Companies(Private),Mandi,"101-102, 1st Floor, Sai Deep, Chembur, Mumbai 400071, MH","+91-22-25217793, +91-22-65973279","admin3@jvi-global.com,",
Asipac Projects Pvt Ltd,Companies(Private),Mandi,"204-W, 22, Sunrise Chamber, Ulsoor Road, Bangalore 560042, KA",+91-80-40150000,"dl-accounts@aspiringminds.in,u003edl-accounts@aspiringminds.in,",
ABC Study Links Pvt Ltd,Companies(Private),Mandi,"Jose Building, Kochi 682016, KL","+91-484-4131111, +91-484-2367171",,
Tilak Finance Ltd,Companies(Private),Mandi,"E 109, Crystal Plaza, Opposite Infinity Mall, New Link Road Andheri West, Mumbai 400053, MH","+91-22-61522225, +91-22-61522226, +91-22-61522222","igtsl@tradewellmail.com,",
The A P Mahesh Co-operative Urban Bank Ltd,Companies(Private),Mandi,"5-3-989, 3rd Floor, Sherza Estate, Nizam Shahi Road, Osmangunj, Hyderabad 500095, TS","+91-40-24615296, +91-40-24615299","customercare@csb.co.in,atm@csb.co.in,pradeep.kumar@careratings.com,x3ecustomercare@csb.co.in,",
Silicon Valley Infotech Ltd,Companies(Private),Mandi,"10, Princep Street, 2nd Floor, Kolkata 700072, WB","+91-33-22256851, +91-33-40022880","sachanandm@sidbi.in,ccg@sidbi.in,rxxxxxxxxxxn@sidbi.in,",
Hinduja Group Ltd (Hinduja),Companies(Private),Mandi,"171, Hinduja House, Dr. Annie Besant Road, Worli, Mumbai 400018, MH",+91-22-24960707,"x3ecompliance@hindujaleylandfinance.com,compliance@hindujaleylandfinance.com,x3esecretarial@hindujagroup.com,secretarial@hindujagroup.com,faiz.ahmad@hindujatech.com,",
Aditya Birla Finance Ltd (Aditya Birla),Companies(Private),Mandi,"1, India Bulls Center, Tower 1, 18th Floor, Jupiter Mill Compound, 841, Senapati Bapat Marg, Elphinstone Road, Mumbai 400013, MH",+91-22-43567000,"x3egrievance.housingfinance@adityabirlacapital.com,grievance.housingfinance@adityabirlacapital.com,",
Gontermann Peipers India Ltd,Companies(Private),Mandi,"Diamond Harbour Road, Pailan Bishnupur, Kolkata 700104, WB",+91-33-24532456,"rajsinghania_ca@yahoo.co.in,investors@gontermann-peipers.com,datta.chakraborty@yahoo.com,gpil.cirp@gmail.com,",
