Name,Sector,City,Address,Phone,Email,Lat-Long
Karnataka State Electronics Devp. Corp. Ltd (Keonics),Companies(Private),Mangalore,"2, Ttmc A Block, Bmtc, Shanthinagar, K.H.Road, Bangalore 560027, KA",+91-80-22225645,",keonicsaccounts@gmail.com,",
Eagle Electricals,Companies(Private),Mangalore,"8, 9, 10, Pooja Garden, Near Akurdi Telephone, Pradhikaran, Pune 411035, MH",+91-20-27640270,"sales@eagleelectricals.com,,hr@eagleelectricals.com,info@eagleelectricals.com,support@eagleelectricals.com,",
Cantex Systems Pvt Ltd,Companies(Private),Mangalore,"213-A, B, Himalaya Arcade, Opposite Vastrapur Lake, Ahmedabad 380015, GJ",+91-79-9375099011,",info@cantexsystems.com,",
Leela Export House,Companies(Private),Mangalore,"H-407, Sangaria Industrial Area, 2nd Phase, RIICO, Jodhpur 342005, RJ",+91-9829249518,",deepakumalaxmi@gmail.com,sjncoir@gmail.com,",
United Spirits Ltd (UB),Companies(Private),Mangalore,"UB Tower, 24, Vittal Mallya Road, Bangalore 560001, KA","+91-80-39856500, +91-80-22210705",",jane_doe@unitedbreweries.com,x3ejane_doe@unitedbreweries.com,x3egri@ubmail.com,gri@ubmail.com,uslinvestor@ubmail.com,",
The Canning Industries Cochin Ltd (Caico),Companies(Private),Mangalore,"Caico Road, Thrissur 680006, KL","+91-487-2420685, +91-487-2442036","caicoin@gmail.com,,capithankollam@dataone.in,",
Mukul Enterprises,Companies(Private),Mangalore,"Mala Flour Mills, Delhi Road, Partapur, Meerut 250103, UP",+91-121-2440735,",mukulsurendra@gmail.com,mrfmmeerut@gmail.com,essellenterprises@gmail.com,mukulenterprises99@gmail.com,anil.shukla@dabur.com,Anil.shetty@manipalgroup.info,ebcomangalore@southindiaagencies.com,",
Modi Enterprises (Modi),Companies(Private),Mangalore,"6-G, Megh Ratna Complex, Athugar Street, Nanpura, Surat 395001, GJ",+91-261-9374719286,",info@modi.com,John@modi.com,",
IFB Agro Industries Ltd,Companies(Private),Mangalore,"Plot No Ind 5, Sector 1, East Kolkata Township, E M Bypass, Kolkata 700107, WB","+91-33-39849675, +91-33-39849524",",agro@ifbglobal.com,d-j@ifbfreshcatch.com,last@ifbagro.in,",
HM Clause India Pvt Ltd,Companies(Private),Mangalore,"Door No 6-98/4, Survey No 563/ Part, Gowdavelli Village, Medchal Mandal, Ranaga Reddy, Hyderabad 501403, TS",+91-44-33125500,"Meenakshi.TRavindran@hmclause.com,,x3erama.rao@hmclause.com,InternationalCustomerService@hmclause.com,rama.rao@hmclause.com,",
Hans Seeds Pvt Ltd,Companies(Private),Mangalore,"Plot No 8, South Side Of G. T Road, Near Arya Farm, Ghaziabad 201009, UP",+91-120-6516434,",ashish@hanscold.in,csannamathew@gmail.com,cs@kaveriseeds.in,roc.chennai@mca.gov.in,chaitaly@ekfpl.com,","12.9229405,74.6872457"
Bnatural Beverages & Snacks Pvt Ltd,Companies(Private),Mangalore,"Singapura Village, Vidyaranyapura Post, Bangalore 560097, KA",+91-80-28380019,,"13.0965449,74.8011704"
Bharath Canning Company Ltd,Companies(Private),Mangalore,"2-39-2, Kapu, National Highway 66, Udupi 574106, KA",+91-820-2551029,"biccokapu@gmail.com,bbwl30@hotmail.com,admin@durgafacility.co,,","13.2471513,74.7344192"
Assam Company India Ltd,Companies(Private),Mangalore,"Assam Tea House, 52, Chowringhee Road, Kolkata 700071, WB","+91-33-22838306, +91-33-22838309",",rta@cbmsl.com,ssassam30@gmail.com,x3ecompanysecretary@assamco.com,companysecretary@assamco.com,x3essassam30@gmail.com,cppcmangalore@sbm.co.in,","12.9531777,74.8071476"
