Name,Sector,City,Address,Phone,Email,Lat-Long
Zumba Fitness Center - Kadri - Mangalore,Gym,Mangalore,"Cheff Restaurant, Nanthoor Road, Kadri, Mangalore 575002, KA",+91-9844446600,,
Zuese Fitness - Kodialbail - Mangalore,Gym,Mangalore,"3rd Floor, Sudheendra Plaza, Opposite PVS Building, Kodialbail, Mangalore 575003, KA","+91-9164573777, +91-9164973777, +91-9164473777, +91-824-4275775",",rajeshpattali@gmail.com,",
Tone UP Beauticians - Bendoor Road - Mangalore,Gym,Mangalore,"2nd Floor, Hegde Towers, Opposite Agnes College, Bendoor Road, Mangalore 575002, KA","+91-9886160148, +91-824-2446679",,
Slim Gym - Pump Well - Mangalore,Gym,Mangalore,"Lucia Complex, Opposite Omega Hospital, Pump Well, Mangalore 575002, KA","+91-9845812202, +91-9880910471",,
Raymonds Gym - Valencia - Mangalore,Gym,Mangalore,"Shalom Complex, Opposite Fatima Retreat House, Valencia, Mangalore 575002, KA","+91-9880543352, +91-9449592245",,
Physique - Falnir Road - Mangalore,Gym,Mangalore,"Hotel Blue Star Complex, Opposite Motimahal, Falnir Road, Mangalore 575002, KA","+91-9844041156, +91-9449074012, +91-824-2443886",,
Keep Fit Health Club - Falnir Road - Mangalore,Gym,Mangalore,"Motimahal, Falnir Road, Mangalore 575002, KA",+91-824-2441411,,
Ground Sport Fitness - Bejai-Kapikad Road - Mangalore,Gym,Mangalore,"6, 2nd Floor, Near Bharath Mall, Adithi Enclave, Bejai-Kapikad Road, Mangalore 575004, KA","+91-8105422007, +91-8105433007","info@zabtfitness.com,,",
Fit N Safe - Urwa - Mangalore,Gym,Mangalore,"A S PAI Compound, Urwa, Mangalore 575006, KA",+91-9591849571,,
Body Fit Executive Gym - Urwa - Mangalore,Gym,Mangalore,"Opposite Urwa Mariyamma, Temple Road, Urwa, Mangalore 575006, KA","+91-7760577879, +91-9964398695",,
Body Basics Fitness Centre For Ladies - Kadri - Mangalore,Gym,Mangalore,"Near Jyothi Circle Company, Kadri, Mangalore 575002, KA","+91-9964158238, +91-824-6451727",",Pratibhanambs@gmail.com,",
