Name,Sector,City,Address,Phone,Email,Lat-Long
Gilbert & Maxwell Electricals Pvt Ltd,Companies(Private),Meerut,"28-G, M.I.D.C., Ambad Nashik, Nashik 422010, MH",+91-253-2382551,,
Garg Distributors Pvt Ltd,Companies(Private),Meerut,"5-36, Type-1, 10-A, Prashanthi Nagar, Kukatpally, Hyderabad 500072, TS",+91-40-23074040,",sales@gargasso.com,garg@gdpl.org,",
Hytone Texstyles Ltd,Companies(Private),Meerut,"Plot No 70, TTC MIDC Industrial Area, Mahape, Navi Mumbai 400709, MH",+91-9323001501,",praful@hytonetextile.com,",
Om Sai Engineering,Companies(Private),Meerut,"12, Kurla-Andheri Road, 4 Mehra Industrial Estate, Sakinaka, Mumbai 400072, MH","+91-22-28500476, +91-8376809622",",info.omset@gmail.com,u003eomsaiengrs@yahoo.com,omsaiengrs@yahoo.com,",
Office Today India Pvt Ltd,Companies(Private),Meerut,"JMD Garden, Near Subhash Chowk, Sohna Road, Gurgaon 122001, HR",+91-8800268268,",molbiogen@gmail.com,nph.cs@nipro-pharma.com,office.molbiogen@gmail.com,info@molbiogen.in,",
KBK Plascon Pvt Ltd,Companies(Private),Meerut,"A-107, DDA Complex, Okhla Industrial Area, Phase 2, New Delhi 110020, DL",+91-11-26384242,",x3ekbk_ashishca@polyrib.com,kbk_ashishca@polyrib.com,kbk_tiwari@polyrib.com,",
Sakhi Unique Rural Enterprise,Companies(Private),Meerut,"Shikshaik Colony, Samata Nagar, Osmanabad 413501, MH",+91-2472-226309,",sureindia1@gmail.com,rahulhude.sure@gmail.com,",
PASL Wind Solutions Pvt Ltd,Companies(Private),Meerut,"34, 35, Phase 1, G.I.D.C., Vatva, Ahmedabad 382445, GJ",+91-79-40264747,",info@autoshell.co.in,pushpendra.sharma@smec.com,x3epushpendra.sharma@smec.com,info@pwsl.in,",
Phaarmasia Ltd,Companies(Private),Meerut,"16, Phase 3, Jeedimetla, Hyderabad 500855, TS",,",phaarmasia@gmail.com,",
Omkrown Pharma Chem Pvt Ltd,Companies(Private),Meerut,"Kalyani, K R Street, Shahapur, Belgaum 590003, KA",,"jane@omkrown.com,anmol@mubychem.com,info@omkrown.com,,",
Amar Packaging,Companies(Private),Meerut,"Gala No 112, Jay Vijay Industrial Estate, Bapane Naigaon East, Mumbai 400601, MH",+91-7757855170,",CAANUPAM7@GMAIL.COM,sales@amarpackaging.com,","28.9546526,77.7075814"
Vij Books India Pvt Ltd,Companies(Private),Meerut,"2, 19, 2nd Floor, Ansari Road, Darya Ganj, New Delhi 110002, DL",+91-11-43596460,",contact@vijpublishing.com,","28.6425092,77.234595"
Sanjay & Co. ( Tarla Dalal ),Companies(Private),Meerut,"1-A, 353, Nahar Industrial Estate, Dhanraj Mills, Lower Parel, Mumbai 400013, MH",+91-22-43452400,,"28.982016,77.6174327"
Ratna Sagar Pvt Ltd,Companies(Private),Meerut,"Virat Bhavan, Commercial Complex, Mukherjee Nagar, New Delhi 110009, DL",+91-11-47038000,",vipinhkr44@gmail.com,rsagar@ratnasagar.com,","28.9552424,77.6153836"
Kryon Publishing Services Pvt Ltd,Companies(Private),Meerut,"25, Kavery Street, Ram Nagar, Ambattur, Chennai 600053, TN",+91-44-26583218,",sales@kryonpublishing.com,","28.9518163,77.6677935"
Galaxy Press Pvt Ltd,Companies(Private),Meerut,"539-K, 152, Kassila, Faziabad Road, Indira Nagar, Lucknow 226016, UP",+91-522-4068182,"galaxylucknow@gmail.com,ashutosh.pgjco@gmail.com,,rakesh.shejwal@aartigroup.cominfo,hpl@hplindia.com,pearlsandswaraajcollserpvt.ltd@gmail.com,","28.9875507,77.6789589"
Dharmesh Art Process & Print Pvt Ltd,Companies(Private),Meerut,"12-A, Naraina, Phase-2, New Delhi 110028, DL",+91-11-25891122,,"28.9435838,77.6950032"
Design Difference,Companies(Private),Meerut,"35, 1586-A, South Janatha Road, Palarivattom, Kochi 682025, KL",+91-484-2331215,",mdameerut@rediffmail.com,","28.9950363,77.5551026"
Arintex Global Ltd,Companies(Private),Meerut,"22, Madan Mohan, Talla Street, Kolkata 700005, WB",+91-33-65221398,",email@assocom-india.com,cosmointernational7@gmail.com,bhaskar.dey15@gmail.com,info.arintex@gmail.com,","22.5994516,88.3553201"
Bhagwati Jewellers,Companies(Private),Meerut,"1, Vasantika Ashwamegh, Opposite D-Mart, Behind IOC Petrol Pump, Ring Road, Ashwamegh Cross Roads, Satellite, Ahmedabad 308015, GJ",-40322598,",shafeekh@malbargroup.com,",
Alapatt Jewels,Companies(Private),Meerut,"Near Shenoys Junction, M.G Road, Kochi 682035, KL",-2372013,",ajktmgold@rediffmail.com,spire@spireoverseas.com,",
Prabhat Transport Service,Companies(Private),Meerut,"4/25, Sabusiddique Road, Near Carnac Bridge, Fort, Mumbai 400001, MH","+91-22-22611479, +91-22-22617866",",mail.jta@gmail.com,shrikedarjoshi@yahoo.co,shrikedarjoshi@yahoo.co.in,",
Indian Press Clearing (A Unit of PRB Enterprises Pvt Ltd),Companies(Private),Meerut,"90/79-A, Malaviya Nagar, New Delhi 110017, DL","+91-11-29545112, +91-11-29545113",,
Sarvodaya Company,Companies(Private),Meerut,"Unit No 18, Deewan & Sons, Near Safex Fire, BIDCO, Udyog Nagar, Palghar 401404, MH",-259184,"last@sauravchemicals.com,raman@sauravchemicals.com,teegala.giridhar@sauravchemicals.com,last@sauravchemicals.com,",
Saru Smelting Pvt Ltd,Companies(Private),Meerut,"Sardhana Road, Saru Nagar, Meerut 250001, UP","+91-121-2556051, +91-121-2555449","marketing@saurashtrasolid.com,saurashtrasolid@gmail.com,marketing@saurashtrasolid.com,saurashtrasolid@gmail.com,marketing@saurashtrasolid.com,saurashtrasolid@gmail.com,vpaun@saurashtrasolid.com,saurashtrasolid@gmail.com,",
Meet Marketing India Pvt Ltd,Companies(Private),Meerut,"422, Meet House, Satyagrah Chavni, Near Karnavati Cars, Satellite, Ahmedabad 380015, GJ","+91-79-26862601, +91-79-26862602","akumar@deutsch.net,info@meridianchembond.com,anil@meridianchembond.com,sharad@meridiumchembond.com,akumar@deutsch.net,",
KBH Polymers Pvt Ltd,Companies(Private),Meerut,"215, Shivam Complex, Science City Road, Sola, Ahmedabad 380060, GJ",-32424039,,
FBT Pvt Ltd,Companies(Private),Meerut,"Plot No 43, Sector 4, Faridabad 121006, HR","+91-129-4064304, +91-129-4063817",,
Jain Chowdhary & Co,Companies(Private),Meerut,"104, Model Residency, Jacob Circle, Opposite Bank of Baroda, B.J. Marg, Mahalaxmi, Mumbai 400011, MH","+91-22-23002921, +91-22-23002925",,
Wadhawan Holdings Pvt Ltd (Wadhawan),Companies(Private),Meerut,"HDIL Towers, 4th Floor, Anant Kanekar Marg, Bandra East, Mumbai 400051, MH",+91-22-67748000,"x3ejane.doe@wellsfargo.com,WFIndia.Legal@wellsfargo.com,info@mastersindia.co,EGSIndia.Legal@wellsfargo.com,x3eEGSIndia.Legal@wellsfargo.com,jane.doe@wellsfargo.com,",
Sarvamangal Mercantile Co Ltd,Companies(Private),Meerut,"2, Mohatta Bhavan Property, Dr E Moses Road, Worli, Mumbai 400018, MH","+91-22-24964656, +91-22-24964660","VP.CS@sbiglobal.in,contact@sbiglobal.in,last@sbiglobal.in,CS@sbiglobal.in,",
