Name,Sector,City,Address,Phone,Email,Lat-Long
EIBO Services,Companies(Private),Mohali,,,"cabhupendra1989@gmail.com,,",
Sunpower Luminaire,Companies(Private),Mohali,"606, Shilp Zaveri, Shyamal Cross Road, Ahmedabad, Gujarat",+91-8200208625,"x3eexecutives@sunpower.com,,x3esunpower@youronlineaccount.com,sunpowerindiaster@gmail.com,sunpower@youronlineaccount.com,executives@sunpower.com,",
Seasia,Companies(Private),Mohali,"C-136, Industrial Area, Phase 8, Chandigarh 160071, CH",,",last@seasiainfotech.com,",
The Core Systems,Companies(Private),Mohali,"SCO-198-200, 3rd Floor, Sector 34-A, Chandigarh 160022, CH","+91-7888776924, +91-8699633633",",sahil@submitcore.com,mail@thecore.co.in,",
Young Yell,Companies(Private),Mohali,"224, Sector 15-A & 16, Chandigarh 160015, CH",+91-8968708844,,
Chalkpad Technologies,Companies(Private),Mohali,"SCO-160-161, Basement, Sector 9-C, Chandigarh 160009, CH",,",chalkerp.systems@gmail.com,abhiraj@schoolpad.in,x3eaccounts@opportune.in,",
Compass Technologies,Companies(Private),Mohali,"SCO-85-86, 4th-Floor, Sector 34-A, Chandigarh 160022, CH","+91-7888840961, +91-172-4044006",",corporate@compassgroupindia.com,compassfilling2000@gmail.com,",
The Core Systems,Companies(Private),Mohali,"SCO-198-200, 3rd Floor, Sector 34-A, Chandigarh 160022, CH","+91-7888776924, +91-8699633633",",sahil@submitcore.com,mail@thecore.co.in,",
Hidden Web Solutions,Companies(Private),Mohali,"Near Punjabi University, Patiala 147001, PB",+91-9041450617,",info@hiddenwebsolutions.com,",
Olio Global,Companies(Private),Mohali,"406, Rajgor Empire Building, Near Metro & Railway Station, Khot Lane, Bhatwadi, Kapolwadi, Ghatkopar West, Mumbai 400086, MH","+91-8082714599, +91-9769300320",,
KK Digital Services,Companies(Private),Mohali,"Galaxy Mall, Beside Bharat Petrol Pump, Shivaji Nagar, Jhansi 284201, UP","+91-9140325269, +91-7503459859",,
Lords Enterprises (India),Companies(Private),Mohali,"39, 6, Near Samaipur Chowk Samaipur, Main Bawana Road, New Delhi 110042, DL",+91-11-27830786,,
Harness Techniques (I) Pvt Ltd,Companies(Private),Mohali,"207, Building No-7, Merchant Industrial Estate, Valiv Road, Vasai, Bassein 401208, MH",+91-250-6456218,"htmarketing@harnesstechniques.com,,lalit@harnesstechniques.com,",
