Name,Sector,City,Address,Phone,Email,Lat-Long
Mothukuri Group Of Industries,Companies(Private),Mon,"233/A, Atmakuru Village, Mangalgiri 522503, AP",+91-9392311045,,
ABM Marine Products,Companies(Private),Mon,"19/2084-E, Nambiapuram Palluruthy, Kochi 682006, KL",+91-484-2235088,",paxavierbiju@gmail.com,wmarinead1@hotmail.com,abmmarinegroup@gmail.com,","9.9142552,76.2570767"
Synapse Marketing Consultancy Pvt Ltd,Companies(Private),Mon,"439, Laxmi Plaza, Laxmi Industrial Estate, Link Road, Andheri West, Mumbai 400053, MH",-40786331,",rahul@letsideate.com,",
Vasa Pharmachem Pvt Ltd,Companies(Private),Mon,"88, RV Vasa House, Pankaj Society, Near Anjali BRTS Bus Stop, Bhattha, Paldi, Ahmedabad 380006, GJ","+91-79-26463707, +91-79-26401759",,
Narmada Bio-Chem Pvt Ltd,Companies(Private),Mon,"1008, 10th Floor, Akik Complex, Opposite Rajpath Club, SG Highway, Bodakdev, Ahmedabad 380015, GJ","+91-79-26871073, +91-79-26871072","CompanySecretary@olacabs.com,ipo@bigshareonline.com,investor@natl.in,hr@natl.in,investor@natl.in,hr@natl.in,info@natl.in,info@natl.in,ipo@bigshareonline.com,investor@natl.in,investor@natl.in,x3eCompanySecretary@olacabs.com,",
ITW Chemin (ITW India Ltd),Companies(Private),Mon,"Plot No 34 To 37, Phase 2, IDA, APIIC Pashammylaram, Medak 502307, TS","+91-8455-224700, +91-8455-224701","gautamtayal@yahoo.co.in,jaggiagricultureworks@hotmail.com,gautamtayal@yahoo.co.in,info@Jaggooverseas.com,jaggiagricultureworks@hotmail.com,",
Famous Plastics,Companies(Private),Mon,"Plot No 40/18, Opposite Old Nilsin Blue Factory, Vatwa Station Road, Phase 1 GIDC, Vatwa, Ahmedabad 382445, GJ",-25892760,"last@finarchemicals.com,info@bariumindia.com,info@rikiglobal.com,company@example.com,info.finar@actylis.com,info.finar@actylis.com,info.finar@actylis.com,last@finarchemicals.com,salesvalinelifesciences@gmail.com,info@bariumindia.com,info@rikiglobal.com,company@example.com,",
Classic Polymers & Resins,Companies(Private),Mon,"4, Devdarshan, Mughal Lane, Mahim West, Mumbai 400016, MH","+91-22-24465251, +91-22-24460090","colours@colourexindia.com,anu.rangachar@gmail.com,colours@colourexindia.com,mail@jppolymers.in,mumbai@sgl-labs.com,anu.rangachar@gmail.com,",
Pragathi Labs & Consultants Pvt Ltd,Companies(Private),Mon,"15-B, 16, Industrial Estate, Sarat Nagar, Hyderabad 500018, TS",+91-9866226564,"dawradm@vsnl.com,",
JSC VTB Bank,Companies(Private),Mon,"The Taj Mahal Hotel, Lobby Mezzanine Floor, 1 Mansingh Road, New Delhi 110011, DL",+91-11-66221000,"InvestorRelations@vtb.ru,IndiaBranch@vtb.com,info@vtb-bank.kz,info@vtb.ru,",
