Name,Sector,City,Address,Phone,Email,Lat-Long
Refex Energy Ltd,Companies(Private),Morbi,"67, Bazullah Road, T Nagar, Chennai 600017, TN",+91-44-43405950,",info@refex.co.in,refexenergyprivatelimited@gmail.com,admin@refex.co.in,infolightningindia@gmail.com,factory@refex.co.in,",
Asian Tea & Exports Ltd,Companies(Private),Morbi,"Sikkim Commerce House, 4/1, Middleton Street, Kolkata 700071, WB","+91-33-22877334, +91-33-22409320",,"22.8101695,70.8636488"
Adachi Natural Polymer Pvt Ltd,Companies(Private),Morbi,"C1-91/15, GIDC Estate, Phase I, Vatva, Ahmedabad 382445, GJ","+91-79-25831375, +91-79-25831376","bipinmehta53@gmail.com,anmol@mubychem.com,info@adachigroup.com,,","22.9695444,72.6401282"
Soni Hiteshkumar Bhupendrabhai ( Lakhtarwala ),Companies(Private),Morbi,"306, Super Mall, Near Lal Bungalow, C.G.Road, Ahmedabad 380009, GJ",-26402957,"Parnell.Darren@kramp.com,,",
Sonera Industries,Companies(Private),Morbi,"Near Ajanta Industrial Complex, Morbi Rajkot Highway, Morbi 363641, RJ",-224401,",marketing@sorisoceramic.com,Tapas.Manna@vedanta.co.in,",
Rio Tinto Diamonds,Companies(Private),Morbi,"210, The Capital, 2nd Floor, Bandra Kurla Complex, Bandra East, Mumbai 400051, MH",-61770331,",vivek.naik@riotinto.com,shilpi.bansal@riotinto.com,x3eshilpi.bansal@riotinto.com,",
Shri Vinayak Packaging Machine Pvt Ltd,Companies(Private),Morbi,"WZ-443, Naraina Village, New Delhi 110028, DL","+91-11-25775401, +91-11-25775242",",svppnd@yahoo.co.in,u003esvppnd@yahoo.co.in,",
Unimet Profiles Pvt Ltd,Companies(Private),Morbi,"A-210, Ashirwad Complex, Green Park, New Delhi 110029, DL",-46029720,"senganipatel@gmail.com,,kumar812@hotmail.com,uppl@unimet.in,bondit@rediffmail.com,drsps@unimet.in,",
Span Cements,Companies(Private),Morbi,"20/22, Opposite Central Bank Of India, CP Tank Road, Gulalwadi Naka., Mumbai 400004, MH","+91-22-23863143, +91-22-23822779",",mail@skipperlimited.com,cementatavi@gmail.com,revokcera.export1@gmail.com,sanjay.kotadiya@yahoo.co.in,ds.shekhawat@skipperlimited.com,",
Sonnet Stone Pvt Ltd,Companies(Private),Morbi,"9, Kothari, Bhawan E Road, Bhupalpura, Udaipur 313001, RJ",-2414640,"info@sonnetstone.com,,",
Sonata Ceramica Pvt Ltd,Companies(Private),Morbi,"Near Sabar Dairy, Talod Road, Gadhoda TA Himatnagar, Sabarkantha 383001, GJ","+91-2772-226333, +91-2772-226180",",sunsilkceramic@in.com,sonataceramic@gmail.com,info@sonatatile.com,",
SK Gupta Pvt Ltd,Companies(Private),Morbi,"Refractory House, LBS Marg, Kurla West, Mumbai 400070, MH","+91-22-66659949, +91-22-66659925",",accounts@skgrefractories.com,u003eaccounts@skgrefractories.com,",
Sidhartha Marbles & Granites Pvt Ltd,Companies(Private),Morbi,"National Highway 8, Sukher, Udaipur 313001, RJ",-2441744,,
Rajsree Granite Ltd,Companies(Private),Morbi,"21, Camac Street, Kolkata 700016, WB",-22852020,"cestat08@gmail.com,hatimco1@hotmail.com,sales@avinternational.co.in,,",
Prakash Ceramics,Companies(Private),Morbi,"647, Ramagondanahalli, Varthur MN Road, Whitefield, Bangalore 560066, KA",-41681966,",bavarvatiles@gmail.com,venkata@ceramin.net,faceceramicsindia@gmail.com,",
Mohta Cement Pvt Ltd,Companies(Private),Morbi,"16/3, Samayak Tower, Old Palasia, Indore 452018, MP",-2566643,",mohta2000@yahoo.com,",
Megatech International Pvt Ltd,Companies(Private),Morbi,"G-1, 1428, RIICO Industrial Area, Phase 5, Bhiwadi, Tijara 301019, RJ",-513832,"Mipl2003@gmail.com,,mipl2003@gmail.com,team@megatechengg.in,",
M.G. Rockmin International,Companies(Private),Morbi,"National Highway 8, Amberi, Udaipur 313004, RJ","+91-294-2440406, +91-9799399575",,
