Name,Sector,City,Address,Phone,Email,Lat-Long
Zam Zam Restaurant,Retail,Munnar,Opposite to MLA Hostel Palayam; Palayam; 695034,,"customercare@zamzamrestaurants.com,zamzamresources@gmail.com,",8.5035931; 76.9497251
Sree Krishna M G Hotel,Retail,Munnar,Near Sujata Inn Munnar Ho; A Meeting Road Munnar Ho; 685612,,"mv.krishna@newindia.co.in,",10.081457; 77.061617
Annapoorna Restaurant,Retail,Munnar,Fghfg; nan; 685612,,"mccmunnar@dishnetdsl.net,mccmunnar@vsnl.net,",10.091065; 77.05965
Hotel Gurubhavan ,Retail,Munnar,Near KTDC Tea County Ikka Nagar; Colony Road Munnar Ikka Nagar; 685612,,"hello@munnarbookings.com,",10.0877749; 77.0649531
Mummy's Kitchen,Retail,Munnar, munnar ho; munnar ho; 685612,,"info@amberdalemunnar.com,fom@amberdalemunnar.com,",10.07851835; 77.06294654
Hotel Sn,Retail,Munnar, Aluva Munnar Road; Aluva Munnar Road; 685612,,"team@snmunnar.com,snannex@rediffmail.com,info@keralatourism.org,",10.0877481; 77.0641631
Hotel Mugal Palace,Retail,Munnar, Moolakadai; Munnar Moolakadai Moolakadai; 685612,,"junaidmukadam@hotelmogulpalace.com,junaid.m1983@gmail.com,garotrichy@canarabank.com,mccmunnar@vsnl.net,mccmunnar@dishnetdsl.net,",10.0782404; 77.0628221
Winter Yard,Retail,Munnar, Munnar HO; A M Road Munnar HO; 685612,,"crs@travelnotehotels.com,wintergardenresorts@gmail.co,",10.0746257; 77.0617694
Royal Retreat,Retail,Munnar, Munnar Ho; Hills A.M. Road Munnar Ho; 685612,,"info@keralatourism.org,royalretreatcok@gmail.com,",10.07279; 77.06172
Edassery Farmyard Restaurant,Retail,Munnar,Chattupara Adimali; V/537 Adimali; 685561,,"don@indiansummerhouse.co,madhuvayattu@yahoo.com,",10.0196731; 76.9342187
Multi Speciality Dental Clinic,Retail,Munnar, Moolakadai; Old Am Road Moolakadai; 685612,,"drriyasdentalclinic@gmail.com,info@msdcss.com,",10.0785044; 77.0629245
