Name,Sector,City,Address,Phone,Email,Lat-Long
Leine & Linde India Pvt Ltd,Companies(Private),Mysore,"622, 623, 6, Ansal Chambers-2, Bhikaji Cama Place, New Delhi 110066, DL",+91-11-26172504,,
Gmvr Hitech Enterprises Pvt Ltd,Companies(Private),Mysore,"39, 3, 2, Kanakapura Main Road, Bsk Iind Stage, Bangalore 560070, KA",+91-80-26711588,",gkk.ceo@archanacomponents.com,",
WoodAge Furniture,Companies(Private),Mysore,"E-38, Lajpat Nagar III, New Delhi 110024, DL","+91-11-41716139, +91-11-29835079",",info@woodagefurniture.com,",
Rama Wood Crafts Pvt Ltd,Companies(Private),Mysore,"Behind Sector 9, Bypass Road, Faridabad 121006, HR",+91-129-2220506,"j_d@ramawood.com,,accounts@ramawood.com,xxxx@ramawood.com,",
Zeuzer Engineers India Pvt Ltd,Companies(Private),Mysore,"X-5, M.I.D.C., Opposite Philips India Limited, Bhosari, Pune 411026, MH","+91-20-27128999, +91-20-27123231",",sales@zeuzerindia.com,x3esales@zeuzerindia.com,Zeuzer@Vsnl.Net,info@zeuzerindia.in,",
Sigma Sales Service,Companies(Private),Mysore,"F-23, Udyog Kunj, Hapur Bye Pass Road, Ghaziabad 201002, UP",+91-9811229591,",bmgroupster@gmail.com,",
Rise n Shine Biotech Pvt Ltd,Companies(Private),Mysore,"301, Metro House, Mangaldas Road, Pune 411001, MH","+91-20-66785700, +91-20-66809800",",ncstcp@biotech.co.in,accounts@risenshine.in,dhananjay@risenshine.in,info@risenshine.in,",
Natural Herbs and Formulations,Companies(Private),Mysore,"Near B. S. N. L. Exchange, Raipur Road, Ladpur, Dehradun 248001, UK","+91-135-2781041, +91-135-2781042",",info@naturalherbs.co.in,kunalmysore@gmail.com,info@zoicpharma.com,",
N. K. Proteins Pvt Ltd,Companies(Private),Mysore,"7th Floor, Popular House, Ashram Road, Ahmedabad 380009, GJ",+91-79-66309999,",postersifcon@gmail.com,nkpl@nkproteins.com,enquiry@nkproteins.com,",
PB Holotech India Pvt Ltd,Companies(Private),Mysore,"1, Saltlake City, Kolkata 700064, WB",+91-33-23212547,"info@labelholograms.com,,shivu@aaliptha.com,sriharsha@aaliptha.com,","22.7180064,88.47866"
Barcode Vault,Companies(Private),Mysore,"7, 7, 4-S, Pankaj Plaza, Near Metro Station, Sector-12, Dwarka, New Delhi 110075, DL",+91-11-28032434,",brcbhat@dataone.in,","12.3105964,76.4708719"
Veolia India Pvt Ltd,Companies(Private),Mysore,"B-1, Marble Arch, 9, Prithviraj Road, New Delhi 110011, DL",+91-11-24651465,",swaitr@aditi.com,shweta.ruhela@veolia.com,pranavrajkumar@gmail.com,enquiry.in@veolia.com,pr@aditi.com,x3eenquiry.in@veolia.com,","13.0002166,77.6518939"
Just 4 Eves Boutique,Companies(Private),Mysore,"1024/D, 1st Floor, 17th E Cross, 2nd Stage, Indiranagar, Bangalore 560038, KA",+91-9880273960,,
Friends Group,Companies(Private),Mysore,"18, Matri Bhavan, Sector 8, Gandhidham 370201, GJ","+91-2836-232227, +91-2836-234973","bagichelp@bajajallianz.co.in,,",
Dart Air Services Pvt Ltd,Companies(Private),Mysore,"A-50/4, Mayapuri Industrial Area, Phase I, New Delhi 110064, DL",-40770920,",ANPR2008@GMAIL.COM,anpr2008@gmail.com,",
Anand Mailing Solutions Pvt Ltd,Companies(Private),Mysore,"D-455, Basement, Tagore Garden Extension, New Delhi 110027, DL","+91-9818547540, +91-9266816733",",unnathiprojectsmysore@gmail.com,",
Accel Animation Studios (Accel),Companies(Private),Mysore,"132, 3rd Floor, Greams Road, T.Nagar, Chennai 600006, TN","+91-44-42015104, +91-44-42252302",",x3ecompanysecretary@accel-india.com,x3esundaramurthy.s@accelfrontline.com,companysecretary@accel-india.com,sundaramurthy.s@accelfrontline.com,",
Toso Corp Rollers,Companies(Private),Mysore,"G-209, 2nd Floor, Naraina Vihar, New Delhi 110070, DL",-9312528760,"gaurav.jain1@gerresheimer.com,info-plasticpackaging.in-remove@remove-gerresheimer.com,nitin.agarwal.spl@gmail.com,info@dhingrapolymers.com,s.kapoor@gerresheimer.com,Devendra-Kumar.Gupta@gerresheimer.com,gaurav.jain1@gerresheimer.com,info-plasticpackaging.in-remove@remove-gerresheimer.com,s.kapoor@gerresheimer.com,Devendra-Kumar.Gupta@gerresheimer.com,x3enitin.agarwal.spl@gmail.com,x3einfo@dhingrapolymers.com,",
Schoeller Arca Time Materials Handling Solutions,Companies(Private),Mysore,"102, Todi Complex, 35 Saki Vihar Road, Andheri East, Mumbai 400072, MH","+91-22-42119500, +91-22-42129515","mumbai@sfdyes.com,u003emumbai@sfdyes.com,mumbai@sfdyes.com,u003emumbai@sfdyes.com,mumbai@sfdyes.com,mumbai@sfdyes.com,mumbai@sfdyes.com,mumbai@sfdyes.com,x3emumbai@sfdyes.com,",
Ramcharan Company Pvt Ltd,Companies(Private),Mysore,"Old No 113-134, New No 177, 505, 5th Floor, Delta Wing Raheja Towers, Anna Salai, Chennai 600002, TN",-43541153,"guptanaveen24@gmail.com,roshni@ravchem.com,roshni@ravchem.com,guptanaveen24@gmail.com,",
