Name,Sector,City,Address,Phone,Email,Lat-Long
Pure Gym - Kuvempu - Mysore,Gym,Mysore,"#443, New Kanthraj Urs Road, T. K layout, Kuvempu Nagara, Mysuru, Karnataka 570009",080730 67551,",kuvempunagara.mysore@goldsgym.in,puregymmysore@gmail.com,","12.2957555,76.6181364"
VLCC Health Care - Mysore,Gym,Mysore,"2813/1/2, 10th Cross, Sree Ganesh Arcade, Kalidasa Road, V V Mohalla, Mysore 570002, KA","+91-9740088538, +91-9342132570",",x3eregd.office@vlccwellness.com,regd.office@vlccwellness.com,",
Talwalkars Gym - Vani Vilas Mohalla - Mysore,Gym,Mysore,"10/2, Living Corner, Temple Road, Vani Vilas Mohalla, Mysore 570002, KA","+91-8884516524, +91-9738788483",",avantis@talwalkars.net,",
Suryas Gym & Fitness Centre - J P Nagar - Mysore,Gym,Mysore,"246/8, 4th Cross, J P Nagar, Mysore 570008, KA",+91-9686329999,,
Star Yoga Centre - Gokulam - Mysore,Gym,Mysore,"907/3, Near Doctor's Corner, Gokulam, Mysore 570002, KA",+91-821-2421347,,
Raghuveer Fitness World - Dhanavantri Road - Mysore,Gym,Mysore,"2015, Opposite K R Hospital, Dhanavantri Road, Mysore 570001, KA",+91-9845527889,,
Nuclear Fitness - Kuvempunagar - Mysore,Gym,Mysore,"1, 5th Stage, Adichunchungiri Road, Kuvempunagar, Mysore 570023, KA",+91-9535196107,",kuvempunagara.mysore@goldsgym.in,",
Mysore Hatha Yoga Kendra - Lakshmipuram - Mysore,Gym,Mysore,"953/1/2, Kantharaj Urs Road, Lakshmipuram, Mysore 570004, KA",+91-9480380435,,
Lions Den Gym - Kuvempunagar - Mysore,Gym,Mysore,"98/A, Dattagalli, Vivekanand Nagar Circle, Kuvempunagar, Mysore 570023, KA",+91-821-2463814,",kuvempunagara.mysore@goldsgym.in,",
Golds Gym - Jayalakshmipuram - Mysore,Gym,Mysore,"1/1/2, Gokulam Road, Jayalakshmipuram, Mysore 570012, KA","+91-7829282782, +91-7795921810","jayalakshmipuram.mysore@goldsgym.in,kuvempunagara.mysore@goldsgym.in,WeCare@GoldsGym.in,,",
Flexcity Health Club - Kuvempunagar - Mysore,Gym,Mysore,"41, 1st Cross, Basement Floor, Near State Bank Of Mysore, Double Road, Kuvempunagar, Mysore 570023, KA","+91-9886762467, +91-9448042467",,
Fitness Planet - Brindavan Extention - Mysore,Gym,Mysore,"326, 1st Phase, Brindavan Extention, Mysore 570020, KA",+91-9449703769,,
Body Shapes Gym - Vijaynagar 2 Stage - Mysore,Gym,Mysore,"280, Aishwarya Complex, Hi Tension Double Road, Vijaynagar 2 Stage, Mysore 570017, KA","+91-9980888552, +91-9164918985",,
Body Craft - Kuvempunagar - Mysore,Gym,Mysore,"Kuvempunagar, Mysore 570023, KA",+91-9886419804,",kuvempunagara.mysore@goldsgym.in,",
Benkis Gym - J P Nagar - Mysore,Gym,Mysore,"52, D Zone, J P Nagar, Mysore 570008, KA","+91-8970736669, +91-9916227267",,
