Name,Sector,City,Address,Phone,Email,Lat-Long
Nav Nirman Formwork Systems Pvt Ltd,Companies(Private),Nagar,"6, Road No 7, IDA Nacharam, Hyderabad 500076, TS",+91-40-27150119,",sales@navnirman.in,",
Rapid Care Transcriptions Pvt Ltd,Companies(Private),Nagar,"2, 21, 41, VLV Complex, Mount Road, Little Mount, Saidapet, Chennai 600015, TN",,",accounting@rapidcare.net,kross@rapidcare.ai,",
Hempel Paints India Pvt Ltd,Companies(Private),Nagar,"801, 8th Floor, Vikas Center, C Gidwani Road, Chembur, Mumbai 400074, MH","+91-8046028972, +91-22-61392555",",vijay.joshi@growel.com,x3eMAPA@hempel.com,MAPA@hempel.com,",
Jindal Worldwide Ltd,Companies(Private),Nagar,"Jindal House, Opposite D Mart, IOC Petrol Pump Lane, Shivranjani, Ahmedabad 380015, GJ",+91-79-71001500,",info@dynemic.com,jindal_mktg@vsnl.net,x3ecsjindal@jindaltextiles.com,funworldparks@gmail.com,csjindal@jindaltextiles.com,",
Zealotech,Companies(Private),Nagar,"301, Genesis Office, 3rd Floor, Panchasheel Nagar, Mumbai Naka, Nashik 422002, MH",+91-253- 4037442,"accounts@ramagroup.com,,hxxxxxxxxxxxa@zealotechpeople.com,",
Travancore Aerospace,Companies(Private),Nagar,"A-35-D, K Infra International Apparel Park, Block No 10, Menamkulam, Trivandrum 695586, TN","+91-9400332189, +91-9446387498, +91-471-2707979",",ptnandakumar@gmail.com,careers@travancoreaerospace.com,",
Swasti Health Resource Center,Companies(Private),Nagar,"25, Raghavendra Nilaya, AECS Layout, Ashwathnagar, Bengaluru 560094, KA",+91-80-23419616,"hello@swasti.org,,contactus@swasti.org,",
Sagar Defence Engineering,Companies(Private),Nagar,"Triveni Krupa, Opposite Amba Mata Mandir, Carter Road No 3, Borivali East, Mumbai 400066, MH",+91-9034966650,",janedoe@sagardefence.com,info@sagardefence.com,info@companydetails.in,manoj@theaccent.in,abhi_shilp@rediffmail.com,laxmikantcm@gmail.com,",
JC Bhalla and Company,Companies(Private),Nagar,"B-5, Sector 6, Noida 201301, UP",+91-120-4241000,",anilbhalla@jcbhalla.com,taxaid@jcbhalla.com,jane@jcbhalla.com,bhallaandcompany@gmail.com,taxaid@vsnl.com,",
Adani Defence,Companies(Private),Nagar,"Adani Corporate House, Shantigram, Near Vaishnodevi Circle, S G Highway, Ahmedabad 382421, GJ",+91-79-26565555,"x3eBhanuPratapSingh.Naruka2@adani.com,,bhanupratapsingh.naruka2@adani.com,escalations.acpl@adani.com,customercare.acpl@adani.com,jane.doe@adani.com,x3ejane.doe@adani.com,BhanuPratapSingh.Naruka2@adani.com,hardik.shah@adani.com,",
Mirum India,Companies(Private),Nagar,,,",info.in@mirumagency.com,",
OS Management Consulting Services,Companies(Private),Nagar,"B-1236 Ithum Tower-B, Noida, India",+91-7065044020,",qgs@qgspl.com,",
Neoinfinit,Companies(Private),Nagar,"B-602, Kailas Business Park, Park Site Rd, Mumbai, Maharashtra 400079",+91-9152715920,"x3einfo.in@transsion.com,,mail@neoinfinit.com,clifford.pinto@roquette.com,x3eclifford.pinto@roquette.com,mail@litrum.in,info.in@transsion.com,",
Cloudmatic Technologies,Companies(Private),Nagar,"810-A, Bhandarkar Road, Pune 411004, MH",+91-20-41223087,",vidya_prj@yahoo.com,",
Wab IT Softwares,Companies(Private),Nagar,"101/101-A, Kapil Vastu Building, 1st Floor, Above PDCC Bank & Pankaj Barat Gas, Chondhe Patil Nagar Road, Phase 1, Siddarth Nagar Society, Aundh, Pune 411007, MH",+91-7040010693,",fortune@stpg.soft.net,sachinhr05@gmail.com,",
Hexagon Manufacturing Intelligence,Companies(Private),Nagar,"Unit No 101 & 105, Sai Radhe Complex, 1st Floor, Kenneday Road, Sangamwadi, Pune 411001, MH",,",John.Smith@hexagon.com,customer_desk@hexagon.org.uk,jane.doe@hexagon.com,x3ejane.doe@hexagon.com,contact.in.mi@hexagon.com,last@hexagon.com,",
Sparken IT Solutions,Companies(Private),Nagar,"Subodh Heights, Shivprasad Co-operative Housing Society, Near Sarita Nagari Phase 1, Sinhgad Road, Ganesh Mala, Pune 411030., MH",+91-9168798822,"sales@sparken.in,,nitinvaidya1@gmail.com,hr@sparken.net,",
Priyatech Solutions,Companies(Private),Nagar,"005, Amit Court, Behind Mangla Theatre, Shivajinagar, Pune 411005, MH",+91-20-29515288,",info@priyatech.in,nsss@rocketmail.com,",
Viraj Infosoft Solutions,Companies(Private),Nagar,"DO-01/359-D, Vinayak Smruti, Backside Of Parvati Mata, Shaniwarpeth, Pune 411030, MH","+91-7219789783, +91-7219789784, +91-9372267349, +91-9372267348, +91-9372267347, +91-9372267346, +91-9960892705",",dsc@virajsoftsolutions.com,sales@virajsoftsolutions.com,vinitdharankar@gmail.com,atre.viraj@gmail.com,",
PAIS Softwares,Companies(Private),Nagar,"231/3-A/4/3-B/Z-1/401, Lunkad Gold Coast, Lohagaon, Viman Nagar, Pune 411014, MH",,",sghiya@modeln.com,juikanade@gmail.com,x3eaprakash@velankanigroup.com,x3esghiya@modeln.com,aprakash@velankanigroup.com,x22sghiya@modeln.com,",
ODP Software,Companies(Private),Nagar,"15/34/13-C/4, Silver Crystal, Ambegaon Budruk, Pune 411046, MH",,"ADMIN@CAYEOLEKAR.COM,,",
Foxberry Technologies,Companies(Private),Nagar,"82/1-A & 83/1-A, Gate No 1, 4th Floor, Sakal Nagar, Baner Road, Aundh, Pune 411007, MH",+91-20-24252598,",hrd@foxberry.in,",
Hexanika,Companies(Private),Nagar,"1187/10, Krupa, Shivaji Nagar, Pune 411005, MH",+91-6467336636,",dypandit@gmail.com,John.Smith@hexanika.com,marketing@hexanika.com,info@hexanika.com,",
Arcanheim Interactive,Companies(Private),Nagar,"480/2/304, RK One, Rastapeth, Camp, Pune 411011, MH",+91-9881441155,,
Arkin,Companies(Private),Nagar,,,",arkininformationservice@gmail.com,abishek.v3012@gmail.com,",
Trading Technologies,Companies(Private),Nagar,"The Pavillion Mall, 3rd Floor, Next To JW Marriott Hotel, Senapati Bapat Road, Shivajinagar, Pune 411016, MH",+91-20-66845100,",vishal.deshmukh@tmf-group.com,mike.ryan@tradingtechnologies.com,axx@tradingtechnologies.com,rrcods@gmail.com,",
IKarmic Software Solutions,Companies(Private),Nagar,"69/8-2-248/1/7/69, Nagarjuna Hills, Nagarjuna CIircle, Banjara Hills, Hyderabad 500082, TS",+91-7419579869,",cajyothibas@yahoo.co.in,",
IOTE Technologies,Companies(Private),Nagar,"B-1003, The Platina, B-Block, Gachibowli, Hyderbad 500032, TS",,",ankit@junio.in,axx@iotainformatics.com,taxes@saigun.com,akecorporate@gmail.com,x3ebtofficial@outlook.com,bipint@iotasoft.com,x3eankit@junio.in,btofficial@outlook.com,x3etaxes@saigun.com,x3erashi@zypp.app,rashi@zypp.app,accounts-in@iotetech.com,",
Niyantra Software Services,Companies(Private),Nagar,"7/16, Near Geeta Mandiram, Kapileaswarapuram, Pamidimukkala 521246, AP",,",ksrao52@yahoo.com,ramineni.associates@gmail.com,",
R3 Software Information Technology Solutions,Companies(Private),Nagar,"Vasista Bhavan, 1st Floor, Opposite Lane To DLF Cyber City, APHB Colony, Indira Nagar, Gachibowli, Hyderabad 500032, TS",+91-40-40272502,",roc.chennai@mca.gov.in,ramachander57@gmail.com,cssunilzore@gmail.com,",
AINRA Tech,Companies(Private),Nagar,"810 & 811, Manjeera Trinity Corporate Building, 8th Floor, KPHB Colony, Hyderabad 500072, TS",+91-7396282904,",accounts@transtechprojects.com,works.transfabpower@gmail.com,",
Inovyte Software Solutions,Companies(Private),Nagar,"13 & 14, 1st Floor, Vivekananda Nagar Colony, Kukatpally, Hyderabad 500072, TS",,",x3eramprasad@inubesolutions.com,sandeepcas15@gmail.com,info@insolutions.in,x3econtact@omsoftware.net,",
IT Solutions Asia,Companies(Private),Nagar,"Khanamet, Hitech City Main Road, Kothaguda, Hyderabad 500084, TS",+91-7419597794,"fipl-imaging@ts.fujitsu.com,,",
Infinitive Software Solutions,Companies(Private),Nagar,"RHA-2, Usha Arun Apartments, Road No 13, Banjara Hills, Hyderabad 500086, TS",+91-7702771177,",x3eramprasad@inubesolutions.com,x3emala@theforte.com,support@infinitisoftware.net,digitalmarketingrobo@gmail.com,caanilreddy@gmail.com,naveen.d.av95@gmail.com,",
ITBrothers Software Solution,Companies(Private),Nagar,"677, 1st Floor, 27th Main Road, 13th Cross, Sector 1, HSR Layout, Bengaluru 560102, KA",,"mail@yourcompanyname.net,,xx@company.com,",
Novaya Software,Companies(Private),Nagar,"63, S Square, 2nd Floor, Shilpi Valley, Gafoor Nagar, Madhapur, Hyderabad 500081, TS",+91-40-48586101,"Novayasoft@gmail.com,,novayasoft@gmail.com,khadarbeshaik@gmail.com,",
Tripod Software Solutions,Companies(Private),Nagar,"8-2-624/A-1, iKeva Business Centre, Level 1, MB Towers, Road No 10, Banjara Hills, Hyderabad 500034, TS",,",contact@sayeureqa.com,",
Beitian,Companies(Private),Nagar,"159-C, Vengalrao Ngar, SR Nagar, Hyderabad 500038, TS",,",info@in.vector.com,name@companyname.com,",
Azioes Technologies,Companies(Private),Nagar,"Kukatpally, Hyderabad 500072, TS",+91-9966040058,,
we do IT,Companies(Private),Nagar,"Manjeera Trinity Corporate, 18th Floor, KPHB Colony, Kukatpally, Hyderabad 500072, TS",,",munjal2805@gmail.com,",
Agarwal Build Care,Companies(Private),Nagar,"+91-7878029270, +91-9829176821",,",x3einfo@agarwalassociatesgroup.com,info@agarwalassociatesgroup.com,priti.agarwal@careratings.com,secretarial_1@omaxe.com,care@careratings.com,",
Locanam 3D Printing,Companies(Private),Nagar,"Manjusha Building, Nehru Place 110019 ,DL",+91-7217686823,",info@locanam.com,",
Bin There Dump That,Companies(Private),Nagar,,,"Neha@digiwhistle.com,,info@themountainear.com,",
Digi Web,Companies(Private),Nagar,"Hamawi Building, Baskinta, Maten, Lebanon","+961-70403012, +961-70062251","secretarial@rkswamy.com,,omender1994@hotmail.com,indiacorporatesecretarial@honeywell.com,chitranjansharma64@gmail.com,x3esecretarial@rkswamy.com,x3eindiacorporatesecretarial@honeywell.com,gst@digisquare.org,slajaipur.india@gmail.com,",
Rafayee Cloud leaders,Companies(Private),Nagar,"151, Near Bethesda Church Back, Arch Street, Kengeri, Satellite Town, Bengaluru 560060, KA",+91-8495055678,",business@rafayee.com,",
Mann Enterprise,Companies(Private),Nagar,"23, D, B, Near S.B.I. Industrial Estate Branch, Sardar Patel Complex, G.I.D.C. Estate, Ankleshwar 393002, GJ",+91-2646-225988,",asvasen@gmail.com,",
Mamta Products,Companies(Private),Nagar,"18, 4, Site-4, Industrial Area, Ghaziabad 201010, UP",+91-120-4167935,"mamtamachinetools@yahoo.co.in,,x3evindi@saachiprocessor.com,Skumar_gobind@rediffmail.com,x3esales@feedingbottles.com,info@companydetails.in,sales@feedingbottles.com,vindi@saachiprocessor.com,",
Leuenberger Lighting Components India Pvt Ltd,Companies(Private),Nagar,"491-A, 12, 13, 3 Road Pasta Lane, Colaba, Mumbai 400005, MH",+91-22-22883355,",essilor@essilorindia.com,shekharshah@xylon.co.in,",
Kheraj Electrical Industries Pvt Ltd,Companies(Private),Nagar,"78, Shreeji Bhuvan, Lohar Chawl, Mumbai 400002, MH",+91-22-22087786,",kherajoffice@gmail.com,info@kherajsiren.com,info@kheraj.com,",
KBC Systems,Companies(Private),Nagar,"83, 2, Near Vidyut Control Old, N.D.A. Road, Shivne, Havali, Pune 411023, MH",+91-20-65003950,",vijay.bane@kbcsystems.in,crazyinfo83@gmail.com,businessloanatchennai@gmail.com,kbc@tulassi.com,kbcpn01@hotmail.com,",
K M Cables & Conductors,Companies(Private),Nagar,"234, 3, Garudachar Complex, Chickpet, Bangalore 560053, KA",+91-80-22253445,,
GVS Electronics,Companies(Private),Nagar,"32, 1st Cross, Anjanadri Layout, Konanakunte, Bangalore 560062, KA",+91-80-26321399,",gvsestatespvtltd@gmail.com,cs@blissgvs.com,shrinivas.hari@zcltd.com,",
Gupta Power Infrastructure Ltd,Companies(Private),Nagar,"Cuttack Road, Bhubaneswar 751006, OD",+91-674-2313898,",rd.led@guptapower.com,info@guptapower.com,x3ecompliance@guptapower.com,guptas_ngp@sancharnet.in,kishalay_08@rediffmail.com,rhino@guptapower.com,compliance@guptapower.com,",
Garg Electronics Pvt Ltd,Companies(Private),Nagar,"195-196, Industrial Area, Udyog Vihar, Phase? 2, Panchkula, Haryana 134113, TS",+91-172-2591449,",ashish.k@dixoninfo.com,x3egarg.industries@rediffmail.com,care@gargrealty.com,garg.industries@rediffmail.com,x3eashish.k@dixoninfo.com,",
Gajanan Engineering Works,Companies(Private),Nagar,"5-D, 3, Godown No. 1, Kothari Compound, Opposite Tikujiniwadi Chitalsar Manpada Thane, Mumbai 400610, MH",+91-22-41023838,",Gajananengg1@gmail.com,shreegajananengineers@rediffmail.com,xxxx@gwradiators.com,roc@mustafaco.com,gajanan.e.w@gmail.com,",
Flora Electronics Pvt Ltd (Hariram Gobindram Group),Companies(Private),Nagar,"101, Owners Industrial Estate, Gabrial Road, L.J. Road, Mahim, Mumbai 400016, MH",+91-22-24448811,,
Flexible Automation Systems Pvt Ltd,Companies(Private),Nagar,"412, Prestige Centre Point, Cunningham Road, Bangalore 560052, KA",+91-80-22282484,",fasindia@in.cehgroup.com,IN_-_fasblraccts@in.cehgroup,fasblraccts@in.cehgroup.com,",
Enviro Technologies,Companies(Private),Nagar,"1, Arihant Plaza, Phase 2, Ghodbunder Road, Ovale Village 400607, MH",+91-22-64646500,"surajchoudhary08@gmail.com,,office@setwater.co.in,admin@jmenviro.com,Psquare.tech@yahoo.com,",
Entraco Power Systems Pvt Ltd,Companies(Private),Nagar,"36-A, 2, Nice Area, Midc Satpur, Nashik 422007, MH",+91-253-6698128,"rajesh.nasikkar@entracogroup.com,,info@entracobks.comWebsite,",
Elkay Telelinks Ltd,Companies(Private),Nagar,"141, Sector 24, Faridabad 121005, HR",+91-129-4182700,",pradeep.kumar@careratings.com,gp@suranamailindia.com,achin.nirwani@careratings.com,info@elkaygroup.net,spl@redifmail.com,suranagoa@surana.com,finance@elkay.in,ACCOUNTS@ELKAYGROUP.NET,kgarg@elkay.in,",
