Name,Sector,City,Address,Phone,Email,Lat-Long
M R Electricals,Companies(Private),Nashik,"95, 4, Opposite Ceat Company, Midc-Satpur, Nasik 422007, MH",+91-253-2363423,,
Epitome Components Ltd,Companies(Private),Nashik,"17-G, Midc, Ahemadnagar, 414111, MH",+91-241-2777681,",u003efinance@epitomeindia.com,finance@epitomeindia.com,",
Entrix Infra India Pvt Ltd,Companies(Private),Nashik,"401, 8, 3, 10, 3, 4, 14, Janaki Nivas, Nandi Nagar, Banjara Hills, Hyderabad 500034, TS",+91-9000007866,",contact@rowanccpl.com,cagvrandco@gmail.com,",
Electro Expo Systems,Companies(Private),Nashik,"Electronic City, Industrial Module Number 62, Sector 18, Gurgaon 122015, HR",+91-124-4013021,",n.switches@gmail.com,accounts@bhagyalaxmi.com,",
Avalon Technologies Pvt Ltd (Sienna Corporation),Companies(Private),Nashik,"7-B, MEPZ-SEZ, Tambaram, Chennai 600045, TN",+91-44-42220400,"sales@avalontec.com,info@avalontec.com,x3einfo@avalontec.com,,",
Amitec Electronics Ltd,Companies(Private),Nashik,"504, Nilgiri Towers 9, Barakhamba Road, New Delhi 110001, DL",+91-11-41505510,"mail@amitec.co,amitecltd@gmail.com,,",
ALEMAC Electrical Pvt Ltd,Companies(Private),Nashik,"Gogatewadi, Aarey Road Goregaon, Mumbai 400063, MH",+91-22-29275480,"u003econtact@alemacswitches.com,,contact@alemacswitches.com,",
Lakshmi Machine Works Ltd,Companies(Private),Nashik,"1, Perianaickenpalayam, Coimbatore 641020, TN",+91-422-3022255,",secretarial@lmw.co.in,info@lmw.co.in,shetepravinbaban@lmw.co.in,x3eregd.off@lmw.co.in,regd.off@lmw.co.in,",
Arrow Threads India,Companies(Private),Nashik,"6, Palgota Plaza, 4th Cross, Lalbagh Road, Bangalore 560027, KA",+91-80-22973333,",info@arrowthreads.com,",
WestCoast Fine Foods India Pvt Ltd,Companies(Private),Nashik,"1401-D, Lotus Corporate Park, Gram Path, Goregaon East, Mumbai 400063, MH",+91-22-67806780,",Brijrajjadeja303@gmail.com,abbas.m@westcoast.in,u003elegal@westcoast.in,legal@westcoast.in,",
Vasai Frozen Food Company,Companies(Private),Nashik,"1st Floor, 102, Meward Signature Building, Opposite Reliance Marble, Sandor Village, Vasai, Thane 401201, MH",+91-250-6294488,",mail@vasaifrozenfood.com,haribaabaaexports@gmail.com,info@vlcspices.com,",
Supreme Gums Pvt Ltd,Companies(Private),Nashik,"G-999/1000, Sitapura Industrial Area Extension, Jaipur 302022, RJ","+91-141-2770741, +91-141-2770743",",hb1@vsnl.com,u003einfo@supremegums.com,info@supremegums.com,",
Sark Spice Products Pvt Ltd,Companies(Private),Nashik,"TAK Industrial Complex, Eara North, Neelamperoor, Alappuzha 686534, KL",+91-477-2710015,",chairman@sarkspiceindia.comm,doe@sarkspiceindia.com,jamiinfratech@gmail.com,info@thomasandassociatesindia.com,",
Rajena Agro Products Pvt Ltd,Companies(Private),Nashik,"Patel Auto Compound, S. V Road, Goregaon West, Mumbai 400062, MH","+91-22-28759111, +91-22-28760198",",allutaher@gmail.com,",
National Research Center on Meat,Companies(Private),Nashik,"Post Box No 19, Chengicherla, Boduppal, Hyderabad 500039, TS",+91-40-29801672,",everestg121@gmail.com,",
Grandmas Food Products,Companies(Private),Nashik,"Post Box No 31, Muvattupuzha 686661, KL",+91-485-2834730,",office@grandmasfoods.com,x3eoffice@grandmasfoods.com,mail@avtspice.com,","19.9907312,73.754244"
Dhunseri Petrochem Ltd,Companies(Private),Nashik,"Dhunseri House, 2nd Floor, 4A, Woodburn Park, Kolkata 700020, WB","+91-33-22836128, +91-33-22801950",",info@ivldhunseri.com,finance@aspetindia.com,Info@Interplexindia.Com,last@ivldhunseri.com,hrd@aspetindia.com,x3einfo@ivldhunseri.com,","19.0596054,72.8140982"
Swipe Technologies,Companies(Private),Nashik,"29, 2, 1st Floor, Chamiers Road, Nandanam, Chennai 600035, TN",+91-44-24332993,",balan@swipetechnologies.in,support@plugo.io,raja@swipetechnologies.in,helpdesk@mswipe.com,tanminder.bomrah@justswipe.com,","19.9851711,73.7865318"
Jyotsna Prakashan,Companies(Private),Nashik,"430-31, Dhavalgiri, Shaniwar Peth, Pune 411030, MH",+91-20-24451453,",rakesh.shejwal@aartigroup.cominfo,info@jyotsnaprakashan.com,","19.956105,73.7635718"
Amfico Agencies Pvt Ltd,Companies(Private),Nashik,"31-A, Navjivan Kutir, Altamount Road, Mumbai 400026, MH","+91-22-40287521, +91-22-402875235",",amficoaccounts@gmail.com,corpoffice@amfilogistics.com,",
Jyoti Minerals Pvt Ltd,Companies(Private),Nashik,"8-D, New Fatehpura, Udaipur 313001, RJ",-2415265,",jainbhavya04@yahoo.in,info@khetanmarbles.com,xxxx@khetanmarbles.com,contact@jsl.co.in,",
GC Media Pvt Ltd,Companies(Private),Nashik,"1/16, Lalita Park, 3rd Floor, Vikas Marg, Laxmi Nagar, New Delhi 110092, DL","+91-11-22462038, +91-11-22462040",",pearlsandswaraajcollserpvt.ltd@gmail.com,madan.sharma@gcmedia.in,info@gcmedia.in,",
Designing Labs,Companies(Private),Nashik,"B-2-B/107, Janakpuri, New Delhi 110058, DL",-9810535282,"krishna.chaudhary84@yahoo.com,sumit@rgistech.com,,prameshg@gmail.com,x3erohit.chawla@gmail.com,rohit.chawla@gmail.com,x3ekrishna.chaudhary84@yahoo.com,x22rohit.chawla@gmail.com,x3eprameshg@gmail.com,",
Swarup International,Companies(Private),Nashik,"57, Banarsi Dass Estate, Lucknow Road, New Delhi 110054, DL",-22010630,"sales.swisscarbonate@gmail.com,info@swissformulations.com,",
Shrey Plastic Moulders,Companies(Private),Nashik,"340/19-C, Street No 1B, Friends Colony, Industrial Area, GT Road, Shahdara, New Delhi 110095, DL","+91-11-22136820, +91-11-22131693","shripad@ecoshripad.com,",
S.R.Brothers,Companies(Private),Nashik,"204-205, Bandra-kurla Complex, Balarama, Bandra East, Mumbai 400051, MH",+91-22-2659 0267,,
Mullackal Polymers,Companies(Private),Nashik,"107, BT Compound, Malad West, Mumbai 400064, MH","+91-22-28825401, +91-22-28820362","info@naclind.com,minilab2015@yahoo.com,info@naclind.com,cs-nacl@naclind.com,dnaveen.kumar@careratings.com,info@naclind.com,minilab2015@yahoo.com,info@naclind.com,dnaveen.kumar@careratings.com,x3ecs-nacl@naclind.com,",
Glasfibro Products,Companies(Private),Nashik,"51, Deccan Court, SV Road, Bandra West, Mumbai 400050, MH",-67423701,"cdtolia@gmail.com,ram@alphaogm.com,ram@alphaogm.com,ram@alphaogm.com,bcpl_calcutta@bcplindia.com,bcpl_calcutta@bcplindia.com,bcpl_calcutta@bcplindia.com,support@navpad.in,support@navpad.in,support@navpad.in,dd.chandrasekaran@yahoo.com,drsreedents@yahoo.com,ms@gnetimpex.com,ms@gnetimpex.com,dd.chandrasekaran@yahoo.com,drsreedents@yahoo.com,x3ecdtolia@gmail.com,x22ram@alphaogm.com,x3eram@alphaogm.com,x3eram@alphaogm.com,x22bcpl_calcutta@bcplindia.com,x3ebcpl_calcutta@bcplindia.com,x3ebcpl_calcutta@bcplindia.com,x22support@navpad.in,x3esupport@navpad.in,x3esupport@navpad.in,",
Frontier Polymers Pvt Ltd,Companies(Private),Nashik,"B-1/H-2, Mohan Co-Operative, Industrial Estate, Mathura Road, New Delhi 110044, DL","+91-11-41622733, +91-11-41622734","webgalaxy@galaxysurfactants.com,Pallavi.Agarwal@galaxysurfactants.com,investorservices@galaxysurfactants.com,investorservices@galaxysurfactants.com,galaxy@galaxysurfactants.com,webgalaxy@galaxysurfactants.com,Pallavi.Agarwal@galaxysurfactants.com,investorservices@galaxysurfactants.com,galaxy@galaxysurfactants.com,x3einvestorservices@galaxysurfactants.com,",
Asha Penn Color Pvt Ltd,Companies(Private),Nashik,"Plot No 808/C, Asha House, Dr BA Road, Dadar, Mumbai 400014, MH",+91-22-24178050,"plaza1@satyam.net.in,ashokplasticworks@gmail.com,plaza1@satyam.net.in,",
Agro Life Science Corporation Pvt Ltd,Companies(Private),Nashik,"1115, 98, Hemkunt Tower, Nehru Place, New Delhi 110019, DL",+91-11-30885555,"accounts@ajayair.in,accounts@ajayair.in,accounts@ajayair.in,accounts@ajayair.in,AJAYAIR@AIRTELMAIL.COM,accounts@ajayair.in,accounts@ajayair.in,AJAYAIR@AIRTELMAIL.COM,AJAYAIR@AIRTELMAIL.COM,",
Agrico Organics Ltd,Companies(Private),Nashik,"7th Floor, Gopala Tower, Rajender Palace, New Delhi 110060, DL",+91-11-45002600,,
IVANAN Consultancy & Services Inc,Companies(Private),Nashik,"44, Venkatadri, Vidyaranyapura, Bangalore 560037, KA",+91-80-41708154,"priyahas.jani@vigiljuris.com,advabhishekjani@gmail.com,jxxxxxxl@manubhai.in,",
Digvijaya Consultancy Services,Companies(Private),Nashik,"207, Jolly Plaza, Athwa Gate, Opposite Traffic Police Gate, Surat 395001, GJ",+91-261-2463534,,
ARA LAW,Companies(Private),Nashik,"1001-C, B Wing, Bandra-Kurla Complex, Bandra East, Mumbai 400002, MH",+91-22-66199800,"hr@arkinfotechspectrum.com,accounting1@arkinfotechspectrum.com,info@arkinfotechspectrum.com,John@arkinfotechspectrum.com,",
