Name,Sector,City,Address,Phone,Email,Lat-Long
Rak Ceramics India Pvt Ltd,Companies(Private),Navi Mumbai,"325, 1st & 3rd Floor, Dheeraj Heritage, SV Road, Santacruz West, Mumbai 400054, MH",+91-22-26605913,"nataraj.nallam@rakceramics.com,ptc.india@yahoo.co.in,,x3enataraj.nallam@rakceramics.com,",
Elegant Associates,Companies(Private),Navi Mumbai,"3, Perumpilly Building, Opposite Marajas College, Ground Stop, Ernakulam 682011, KL","+91-484-2350484, +91-484-3040318",",surenderelegant@hotmail.com,rkdas.associates@gmail.com,acpl2102@gmail.com,rs@rkvlogistics.mumbai,grievances@llcl.co.in,rkdas.associates@yahoo.com,anil.chikodi@abmllp.com,",
Mysore Sales International Ltd (MSIL),Companies(Private),Navi Mumbai,"36, MSIL House, Cunningham Road, Bangalore 560052, KA",+91-80-22264021,"xxxx@msilonline.com,,cs.sridevi@msilonline.com,",
Think Straight,Companies(Private),Navi Mumbai,"Unit no. 1227 ,1228, Tower C in Alphathum, Sector 90, Noida, Uttar Pradesh",+91-9958159213,",niknikesh@gmail.com,",
Victory Art Foundation,Companies(Private),Navi Mumbai,"1203, Marathon Icon, Opposite Peninsula Park, Ganpatrao Kadam Marg, Lower Parel West, Mumbai 400013, MH",+91-22-61543000,",victoryindia@shiamak.com,",
Parivartan,Companies(Private),Navi Mumbai,"Behind Welcome Park, Malewadi, Kherdi, Chiplun, Ratnagiri 415604, MH","+91-2355-256052, +91-2355-254740",",abd.pra@gmail.com,nikhilearner21@gmail.com,accounts.aurangabad@capra.co.in,aparna.chalke@yuvaparivartan.org,",
Goonj,Companies(Private),Navi Mumbai,"6-B, Raju Industrial Estate Premises Co-Operative Society Limited, Opposite Nike Factory Store, Penkar Pada Road, Dahisar Check Naka, Off. Western Express Highway, Mira Road East, Thane 401104, MH","+91-8287971374, +91-8287969735",",chandan@goonj.org,mail@goonj.org,",
Aaryan Overseas Education Consultent,Companies(Private),Navi Mumbai,,,",x3econtact@edvoy.com,aryanoverseasbzp@gmail.com,aryan.overseas@gmail.com,",
G3 Technologies,Companies(Private),Navi Mumbai,,,",last@g3ti.net,amtchairman@gmail.com,dsplmca3@servicesnext.com,",
Percipere,Companies(Private),Navi Mumbai,"1005, Kohinoor Square, 10th Floor, NC Kelkar Road, Shivaji Park, Dadar West, Mumbai 400028, MH",+91-22-41946425,",contactus@percipere.co,",
Frappe Technologies,Companies(Private),Navi Mumbai,"D-324, Neelkanth Business Park, Vidyavihar West, Mumbai 400086, MH",+91-22-48970555,"accounts@erpnext.com,hello@frappe.io,,",
Jak Software,Companies(Private),Navi Mumbai,"52, Janpath, New Delhi 110001, DL",+91-7827249056,",sales@LawyerServices.in,info@LawyerServices.in,bl.mangal8@gmail.com,",
Mphasis Technologies,Companies(Private),Navi Mumbai,"Tower A, Bagmane Laurel, 1st Floor, Bagmane Technology Park, C V Raman Nagar, Bengaluru 560093, KA",,",subramanian.narayan@mphasis.com,x3esubramanian.narayan@mphasis.com,",
AV BagMiller,Companies(Private),Navi Mumbai,"37/4, Shalom Building, Mannar Street, T. Nagar, Chennai 600017, TN",+91-9940042951,",office@bagmiller.com,",
