Name,Sector,City,Address,Phone,Email,Lat-Long
Aesthetic Fitness - Kharghar - Navi Mumbai,Gym,Navi Mumbai,"Shop no 08 & 09, Sai Sakshaat society, Plot no-09, Sector-06, near Singhsaab Fine Dine Restaurant, Kharghar, Navi Mumbai, Maharashtra 410210",089286 03693,",edgelinkseo1@gmail.com,","19.0451899,73.0607454"
Yuva Fitness Gym - Seawoods - Navi Mumbai,Gym,Navi Mumbai,"20-23, New Horizon Co-operative Housing Society, Opposite Navratna Hotel, Sector 46, Seawoods, Navi Mumbai 400706, MH",+91-22-33126198,,
Your Fitness Club - Kharghar - Navi Mumbai,Gym,Navi Mumbai,"26/3, Bhoomi Tower, Next To ITM College, Sector 4, Kharghar, Navi Mumbai 410210, MH",+91-7506652071,,
YogKunj - Kharghar - Navi Mumbai,Gym,Navi Mumbai,"55/A-7/703, Bhumiraj Woods Co-operative Housing Society, Near Jalvayu Vihar 1, Sector 20, Kharghar, Navi Mumbai 410210, MH",+91-9029280400,",yogkunj123@gmail.com,contactus@physcgym.com,",
Yogi's Fitness World - Seawoods - Navi Mumbai,Gym,Navi Mumbai,"8-A/11-A, Shanti Vaibhav Co-operative Housing Society, 1st Floor, Near D-Mart, Sector 42-A, Seawoods, Navi Mumbai 400706, MH",+91-9136169993,,
Vulkan Health Club - Nerul - Navi Mumbai,Gym,Navi Mumbai,"464, Shree Samarth Krupa, Near Nmmc Hospital, Nerul Gaon, Sector 20, Nerul, Navi Mumbai 400706, MH",+91-9833699346,,
Volkas Health and Fitness - Kalamboli - Navi Mumbai,Gym,Navi Mumbai,"C-73, Natyakarmi Sunil Premanand, Kambli Marg, Kamgaar Nagar, Kurla, Mumbai 400024, MH",+91-9920834392,",panvel.mh@apolloclinic.com,",
Vinipul Fitness - Panvel - Navi Mumbai,Gym,Navi Mumbai,"Shree Sahay Galaxy, 2nd Floor, Shivaji Chowk, MCCH Society, Opposite Mtnl Road, Panvel, Navi Mumbai 410206, MH",+91-9920180486,",sunilnahin@gmail.com,",
Versatile Dance Institute - Navi Mumbai - Navi Mumbai,Gym,Navi Mumbai,"56/7, Om Shree Vinayak Co-operative Housing Society, Near Corporation Ban, Sector 50, Seawoods, Navi Mumbai 400706, MH",+91-22-33126204,",response@ananteshstudio.com,nrityastudio30@gmail.com,",
V4S FITNESS - Vashi - Navi Mumbai,Gym,Navi Mumbai,"115-118, Plot No 84, Vardhaman Chambers, Liberty Housing Society, Sector 17, Vashi, Navi Mumbai 400705, MH",+91-9167361219,",vashi.mumbai@goldsgymindia.com,",
