Name,Sector,City,Address,Phone,Email,Lat-Long
Absolute Fitness - Kalkaji - New Delhi,Gym,New Delhi,"E189, Shyam Sunder Malhotra Marg, Block E, Kalkaji, New Delhi, Delhi 110019",098180 70636,",gagan.fx@gmail.com,absolutefitnessindia@gmail.com,","28.5445571,77.2516206"
Zone 57 - Vasant Vihar - New Delhi,Gym,New Delhi,"New, 61, Basant Lok Community Center, Near PVR Priya, Vasant Vihar, New Delhi, Delhi 110057",+91-9333333757,",fmo@nic.in,","28.5574836,77.1534398"
Yes Gym and Fitness Centre - Dwarka - New Delhi,Gym,New Delhi,"B-17, Mansa Ram Park, Opposite Metro Pillar No 750, Uttam Nagar, Dwarka, New Delhi 110059, DL",+91-9210490670,",manager@centraldynamics.in,rkfitnessdwarka@gmail.com,","28.5851441,77.011496"
Yes Fitness :Gym and Aerobics Studio - Safdarjung Enclave - New Delhi,Gym,New Delhi,"A 2, 8, Africa Ave, Block A 2, Safdarjung Enclave, New Delhi, Delhi 110029",098100 42482,"info@yesfitness.co,,","28.5674036,77.1793996"
Y3 Fitness - Rajouri Garden - New Delhi,Gym,New Delhi,"WZ-106/141, Near Cambridge School, Road No 28, Rajouri Garden, New Delhi 110027, DL",+91-9899310036,",delhi.rajourigarden@goldsgym.in,","28.6472321,77.112677"
Xception Gym And Spa - Pitampura - New Delhi,Gym,New Delhi,"Xception Gym & Spa, Block GP, Poorvi, Hotel City Park Road, Pitampura, New Delhi 110034, DL",+91-11-47049113,",contact@xceptiion.com,","28.7021951,77.1203969"
Workout Studio - Malviya Nagar - New Delhi,Gym,New Delhi,"C-51, 3rd Floor, Near Laxminarayan Mandir, Main Market Road, Malviya Nagar, New Delhi 110017, DL",+91-11-41731111,",fitnessprimegym@gmail.com,","28.5344177,77.20676"
Vivafit - Greater Kailash 2 - New Delhi,Gym,New Delhi,"E-597, 1st Floor, Gurdwara Road, Greater Kailash 2, New Delhi 110048, DL",+91-9953757388,,"28.553403,77.1941292"
Victory Gym - Dwarka - New Delhi,Gym,New Delhi,"METRO PILLAR NO, Shop No.B-7 Main Kakrola Road Patel Garden, Dwarka, 787, More, dwarka mor, New Delhi, Delhi 110078",097166 51990,"coscofitness974@gmail.com,,contact@fitarrow.com,","28.618436,77.0204847"
Victorious Gym - Anand Vihar - New Delhi,Gym,New Delhi,"M846+M45, Ram Vihar, Anand Vihar, Delhi, 110092",+91-9899283313,",varunkhurana110@gmail.com,","28.6566426,77.3000722"
VFC Gym And Spa - Dwarka - New Delhi,Gym,New Delhi,"H373+WJP, Dwarka Phase 1, Sector 23, Dwarka, New Delhi, Delhi, 110077",,",theimperialspa@theimperialindia.com,rkfitnessdwarka@gmail.com,","28.5648258,77.0437803"
Versatile Dance Academy - Dwarka - New Delhi,Gym,New Delhi,"Rising Stars Junior School, Pocket 1, Sector 10 Dwarka, Dwarka, New Delhi, Delhi, 110075",099997 53344,"admissions@paramountschool.in,,versatiledance@gmail.com,info@paramountschool.in,","28.5881506,77.0471532"
UP :The Sports And Training Facility - Hauz Khas - New Delhi,Gym,New Delhi,"E-13, 2nd Floor, Near Dr. Dang Clinic, Hauz Khas, New Delhi 110016, DL",,",info@iitd.ac.in,fmo@nic.in,goawgzup@gmail.com,","28.5514818,76.4898676"
Unique One health and Fitness - Cr Park - New Delhi,Gym,New Delhi,Send to your phone,+91-9910320528,",rahul@thegym.in,","14.5146934,34.9762924"
Ultimate MMA and Fitness Zone - Janakpuri - New Delhi,Gym,New Delhi,"11/22, Block No 2, Double S Storey, Opposite Vishal Mega Mart, Shivaji Marg, Tilak Nagar, Janakpuri, New Delhi 110058, DL",+91-9818543812,,"28.6196035,77.0794286"
UFS Gym Ultimate Fitness Studio - Malviya Nagar - New Delhi,Gym,New Delhi,"C 81, Malviya Nagar, New Delhi, Delhi 110017",011 4652 0111,,"28.5368691,77.2000324"
Turnsteps Workout Studio - Rajouri Garden - New Delhi,Gym,New Delhi,"E-224, Tagore Garden, Block H, Janta Colony, Tagore Garden Extension, New Delhi, Delhi, 110027",098183 78727,",delhi.rajourigarden@goldsgym.in,","28.6594546,77.1076852"
